"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
0,9.53481106707734,0.898,0.049,0,"S100a8","Injured_vs_Uninjured"
0,8.53097487282081,0.851,0.031,0,"Ppbp","Injured_vs_Uninjured"
0,12.3023405285059,0.821,0.001,0,"Xist","Injured_vs_Uninjured"
0,6.67064313140167,0.86,0.051,0,"Cxcl3","Injured_vs_Uninjured"
0,8.13650554999675,0.841,0.046,0,"Srgn","Injured_vs_Uninjured"
0,8.69498279691973,0.805,0.023,0,"Spp1","Injured_vs_Uninjured"
0,-5.96765573801118,0.043,0.792,0,"Ces1d","Injured_vs_Uninjured"
0,6.80338647475147,0.968,0.253,0,"S100a9","Injured_vs_Uninjured"
0,-6.29460136025073,0.052,0.754,0,"Cyp4a12b","Injured_vs_Uninjured"
0,-4.04717574525742,0.176,0.869,0,"Gsta3","Injured_vs_Uninjured"
0,-4.10344838336406,0.115,0.803,0,"Ddx3y","Injured_vs_Uninjured"
0,-11.8046742392007,0,0.687,0,"Eif2s3y","Injured_vs_Uninjured"
0,-3.84981039907168,0.289,0.954,0,"Adh1","Injured_vs_Uninjured"
0,5.97608010770541,0.686,0.021,0,"Ccl4","Injured_vs_Uninjured"
0,-3.72339609171333,0.271,0.93,0,"Cdo1","Injured_vs_Uninjured"
0,6.03738740971164,0.98,0.324,0,"Cxcl2","Injured_vs_Uninjured"
0,7.04158998789301,0.739,0.087,0,"Slc7a11","Injured_vs_Uninjured"
0,7.8800078007846,0.658,0.006,0,"Ccl3","Injured_vs_Uninjured"
0,7.32029283834118,0.673,0.032,0,"Il1b","Injured_vs_Uninjured"
0,-4.25183093933775,0.097,0.73,0,"Erich5","Injured_vs_Uninjured"
0,-5.20410366837471,0.354,0.987,0,"Slurp1","Injured_vs_Uninjured"
0,11.3373391419327,0.623,0.002,0,"Clec4d","Injured_vs_Uninjured"
0,7.88158246180036,0.619,0.003,0,"Saa3","Injured_vs_Uninjured"
0,-4.76460135607123,0.335,0.951,0,"Dapl1","Injured_vs_Uninjured"
0,-4.84572705132863,0.117,0.729,0,"Dsg1a","Injured_vs_Uninjured"
0,5.25632908789866,0.667,0.059,0,"Sprr2d","Injured_vs_Uninjured"
0,-4.08945817374205,0.213,0.818,0,"Paqr5","Injured_vs_Uninjured"
0,3.57145303094894,0.898,0.293,0,"Msn","Injured_vs_Uninjured"
0,-4.198325975936,0.107,0.711,0,"Chst9","Injured_vs_Uninjured"
0,8.54187704121385,0.608,0.007,0,"Fcer1g","Injured_vs_Uninjured"
0,10.4760493419217,0.598,0.001,0,"Clec4e","Injured_vs_Uninjured"
0,-3.51782805673309,0.331,0.922,0,"Upk1b","Injured_vs_Uninjured"
0,5.08359994525051,0.615,0.027,0,"Cxcl5","Injured_vs_Uninjured"
0,10.0883432747818,0.592,0.006,0,"Acod1","Injured_vs_Uninjured"
0,-2.7721018002986,0.345,0.922,0,"Mxra7","Injured_vs_Uninjured"
0,7.29796409947013,0.615,0.042,0,"Cd14","Injured_vs_Uninjured"
0,-3.87252461659231,0.309,0.873,0,"Gyg","Injured_vs_Uninjured"
0,5.9668748909563,0.654,0.09,0,"Basp1","Injured_vs_Uninjured"
0,5.80816168198697,0.58,0.02,0,"Sprr2e","Injured_vs_Uninjured"
0,-3.37653967346803,0.38,0.94,0,"Adh7","Injured_vs_Uninjured"
0,3.42566149814283,0.703,0.148,0,"Actn1","Injured_vs_Uninjured"
0,-3.07085377759282,0.315,0.86,0,"Hlf","Injured_vs_Uninjured"
0,3.58396699540786,0.775,0.237,0,"Sprr2f","Injured_vs_Uninjured"
0,-3.35992274478829,0.101,0.63,0,"Lsamp","Injured_vs_Uninjured"
0,-3.17016611699049,0.415,0.942,0,"D130009I18Rik","Injured_vs_Uninjured"
0,5.08751706272526,0.615,0.091,0,"Zeb2","Injured_vs_Uninjured"
0,7.82873412864734,0.529,0.015,0,"Lcn2","Injured_vs_Uninjured"
0,-2.18974795959586,0.275,0.788,0,"Ephx1","Injured_vs_Uninjured"
0,-3.85288557437133,0.279,0.791,0,"Gm50397","Injured_vs_Uninjured"
0,-3.38724700528553,0.254,0.763,0,"Gsta2","Injured_vs_Uninjured"
0,-4.20031373690787,0.053,0.562,0,"Irgm1","Injured_vs_Uninjured"
0,-2.94438324044726,0.272,0.78,0,"Guca1a","Injured_vs_Uninjured"
0,-2.77278892877175,0.441,0.941,0,"2610528A11Rik","Injured_vs_Uninjured"
0,-2.05000710209703,0.085,0.578,0,"Pygl","Injured_vs_Uninjured"
0,2.73465545547034,0.757,0.265,0,"Mmp3","Injured_vs_Uninjured"
0,-3.99343282800832,0.503,0.991,0,"Mgarp","Injured_vs_Uninjured"
0,-3.00098896758108,0.152,0.637,0,"Fam169a","Injured_vs_Uninjured"
0,-3.03671120609854,0.142,0.624,0,"Aldh1a1","Injured_vs_Uninjured"
0,8.53210528834224,0.485,0.007,0,"Plek","Injured_vs_Uninjured"
0,3.91756354407491,0.57,0.092,0,"Tnfaip2","Injured_vs_Uninjured"
0,-2.32847467973671,0.142,0.608,0,"Lonrf3","Injured_vs_Uninjured"
0,-5.63115440529931,0.534,0.999,0,"Lypd2","Injured_vs_Uninjured"
0,5.2936524399848,0.582,0.118,0,"Fxyd5","Injured_vs_Uninjured"
0,-2.66792726519369,0.286,0.749,0,"Lancl1","Injured_vs_Uninjured"
0,-2.19823211984936,0.373,0.836,0,"Epas1","Injured_vs_Uninjured"
0,-2.21115201722452,0.429,0.888,0,"Rras2","Injured_vs_Uninjured"
0,1.76444051954235,0.665,0.207,0,"Vim","Injured_vs_Uninjured"
0,9.23678478697,0.461,0.004,0,"Nlrp3","Injured_vs_Uninjured"
0,-2.54308086974807,0.32,0.774,0,"Cyp3a13","Injured_vs_Uninjured"
0,-2.89859384878022,0.14,0.593,0,"E130218I03Rik","Injured_vs_Uninjured"
0,-2.36899224107459,0.145,0.597,0,"Crlf1","Injured_vs_Uninjured"
0,9.18412047366418,0.455,0.006,0,"Tyrobp","Injured_vs_Uninjured"
0,-3.04467004921678,0.424,0.871,0,"Adm","Injured_vs_Uninjured"
0,-2.78698385923597,0.191,0.637,0,"Adtrp","Injured_vs_Uninjured"
0,6.87019163949146,0.452,0.007,0,"Bcl2a1b","Injured_vs_Uninjured"
0,-4.47666660730917,0.046,0.49,0,"Gm45941","Injured_vs_Uninjured"
