"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
0,9.24059645854625,0.914,0.055,0,"S100a8","Injured_vs_Uninjured"
0,8.51248425183337,0.88,0.044,0,"Srgn","Injured_vs_Uninjured"
0,8.50380873268019,0.84,0.011,0,"Ccl4","Injured_vs_Uninjured"
0,-5.40203928230097,0.154,0.942,0,"Adh1","Injured_vs_Uninjured"
0,-6.40638481909486,0.195,0.981,0,"Slurp1","Injured_vs_Uninjured"
0,13.1043119657264,0.783,0.001,0,"Xist","Injured_vs_Uninjured"
0,7.41578043114227,0.823,0.046,0,"Cxcl3","Injured_vs_Uninjured"
0,10.7634834003788,0.779,0.003,0,"Ccl3","Injured_vs_Uninjured"
0,-11.9404520914121,0,0.771,0,"Eif2s3y","Injured_vs_Uninjured"
0,-4.90807533130687,0.231,0.986,0,"D130009I18Rik","Injured_vs_Uninjured"
0,9.00273134908073,0.764,0.018,0,"Spp1","Injured_vs_Uninjured"
0,10.2353752877635,0.768,0.025,0,"Il1b","Injured_vs_Uninjured"
0,-8.34828308077356,0.01,0.749,0,"Ces1d","Injured_vs_Uninjured"
0,-4.3832002701741,0.17,0.899,0,"Cdo1","Injured_vs_Uninjured"
0,-6.28107903036049,0.223,0.948,0,"Dapl1","Injured_vs_Uninjured"
0,7.06531731519629,0.81,0.088,0,"Slc7a11","Injured_vs_Uninjured"
0,10.0544629605246,0.713,0.002,0,"Clec4e","Injured_vs_Uninjured"
0,-9.33211353026985,0.011,0.709,0,"Cyp4a12b","Injured_vs_Uninjured"
0,-6.83593408505903,0.3,0.997,0,"Lypd2","Injured_vs_Uninjured"
0,-4.62997914622234,0.144,0.841,0,"Gsta3","Injured_vs_Uninjured"
0,11.3752997171177,0.697,0.003,0,"Clec4d","Injured_vs_Uninjured"
0,7.05526839256653,0.718,0.026,0,"Ppbp","Injured_vs_Uninjured"
0,-6.36910982029662,0.054,0.741,0,"Dsg1a","Injured_vs_Uninjured"
0,-4.80911992644345,0.133,0.819,0,"Paqr5","Injured_vs_Uninjured"
0,9.96688173995359,0.689,0.005,0,"Acod1","Injured_vs_Uninjured"
0,-5.40056948586818,0.058,0.736,0,"Erich5","Injured_vs_Uninjured"
0,-4.2103891974915,0.096,0.767,0,"Ddx3y","Injured_vs_Uninjured"
0,6.68881202170356,0.983,0.313,0,"Cxcl2","Injured_vs_Uninjured"
0,4.03779342129923,0.92,0.252,0,"Msn","Injured_vs_Uninjured"
0,-4.51216131673165,0.269,0.936,0,"Adh7","Injured_vs_Uninjured"
0,6.31301932595594,0.961,0.297,0,"S100a9","Injured_vs_Uninjured"
0,8.46022259695224,0.669,0.007,0,"Fcer1g","Injured_vs_Uninjured"
0,5.19987905009575,0.746,0.087,0,"Zeb2","Injured_vs_Uninjured"
0,13.660545857264,0.656,0.002,0,"Saa3","Injured_vs_Uninjured"
0,-4.39557161630393,0.236,0.886,0,"Gyg","Injured_vs_Uninjured"
0,7.6705412514411,0.672,0.037,0,"Cd14","Injured_vs_Uninjured"
0,6.43203090781066,0.702,0.072,0,"Basp1","Injured_vs_Uninjured"
0,-3.03599097993793,0.295,0.922,0,"Mxra7","Injured_vs_Uninjured"
0,-3.59484940555162,0.188,0.809,0,"Guca1a","Injured_vs_Uninjured"
0,-5.12479225170062,0.066,0.686,0,"Chst9","Injured_vs_Uninjured"
0,-3.95752925083467,0.299,0.914,0,"Upk1b","Injured_vs_Uninjured"
0,-5.0874662259826,0.384,0.99,0,"Mgarp","Injured_vs_Uninjured"
0,-3.78009481569516,0.336,0.941,0,"2610528A11Rik","Injured_vs_Uninjured"
0,8.01525147636379,0.62,0.025,0,"Lcn2","Injured_vs_Uninjured"
0,4.87150027645203,0.622,0.034,0,"Cxcl5","Injured_vs_Uninjured"
0,-3.9811963960656,0.186,0.766,0,"Gsta2","Injured_vs_Uninjured"
0,-3.24907691779651,0.268,0.842,0,"Hlf","Injured_vs_Uninjured"
0,8.76585955888044,0.579,0.007,0,"Plek","Injured_vs_Uninjured"
0,-6.43764141435534,0.427,0.996,0,"Aldh3a1","Injured_vs_Uninjured"
0,10.0060463816619,0.571,0.003,0,"Nlrp3","Injured_vs_Uninjured"
0,-2.78691665104348,0.197,0.763,0,"Ephx1","Injured_vs_Uninjured"
0,3.1154247549521,0.807,0.245,0,"Mmp3","Injured_vs_Uninjured"
0,4.24229583363089,0.644,0.091,0,"Tnfaip2","Injured_vs_Uninjured"
0,-3.47502003757215,0.395,0.94,0,"Cbr2","Injured_vs_Uninjured"
0,-3.93158400950893,0.137,0.677,0,"Fam25c","Injured_vs_Uninjured"
0,-4.73006906056412,0.191,0.73,0,"Psca","Injured_vs_Uninjured"
0,7.85052647264838,0.545,0.007,0,"Bcl2a1b","Injured_vs_Uninjured"
0,-2.30956649702186,0.083,0.621,0,"Pygl","Injured_vs_Uninjured"
0,3.54506078223673,0.653,0.116,0,"Actn1","Injured_vs_Uninjured"
0,2.01305226979688,0.712,0.175,0,"Vim","Injured_vs_Uninjured"
0,-2.83463547814328,0.394,0.928,0,"Tmprss11a","Injured_vs_Uninjured"
0,-3.35019581887024,0.139,0.672,0,"Adtrp","Injured_vs_Uninjured"
0,-3.19787992581625,0.211,0.742,0,"Cyp3a13","Injured_vs_Uninjured"
0,5.53063286994735,0.634,0.106,0,"Fxyd5","Injured_vs_Uninjured"
0,-5.46207005183073,0.029,0.55,0,"St6galnac1","Injured_vs_Uninjured"
0,-4.20570191971359,0.458,0.975,0,"Calml3","Injured_vs_Uninjured"
0,6.92164535557586,0.614,0.1,0,"Tnf","Injured_vs_Uninjured"
0,-2.68859068206617,0.388,0.9,0,"Prss23","Injured_vs_Uninjured"
0,-3.43729822722079,0.409,0.92,0,"Ptgr1","Injured_vs_Uninjured"
0,-2.47183660697132,0.109,0.62,0,"Crlf1","Injured_vs_Uninjured"
0,-3.1329807805687,0.129,0.639,0,"Lsamp","Injured_vs_Uninjured"
0,-3.60321365280024,0.085,0.594,0,"E130218I03Rik","Injured_vs_Uninjured"
0,-2.22984647791699,0.25,0.754,0,"Smpdl3a","Injured_vs_Uninjured"
0,-3.31720427655747,0.19,0.692,0,"Sytl1","Injured_vs_Uninjured"
0,-7.1947650070892,0.013,0.513,0,"Gm45941","Injured_vs_Uninjured"
0,-3.21923092737884,0.18,0.679,0,"Aldh1a1","Injured_vs_Uninjured"
0,-2.12677073135228,0.346,0.839,0,"Efemp1","Injured_vs_Uninjured"
