"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
0,9.30440004464666,0.906,0.053,0,"S100a8","Injured_vs_Uninjured"
0,8.32920800145531,0.859,0.045,0,"Srgn","Injured_vs_Uninjured"
0,12.8470610758648,0.803,0.001,0,"Xist","Injured_vs_Uninjured"
0,7.04370807369703,0.843,0.048,0,"Cxcl3","Injured_vs_Uninjured"
0,8.860522706174,0.786,0.02,0,"Spp1","Injured_vs_Uninjured"
0,7.89244599917822,0.79,0.028,0,"Ppbp","Injured_vs_Uninjured"
0,7.27265813639178,0.758,0.015,0,"Ccl4","Injured_vs_Uninjured"
0,-6.55337541033099,0.028,0.768,0,"Ces1d","Injured_vs_Uninjured"
0,-12.9053048392257,0,0.733,0,"Eif2s3y","Injured_vs_Uninjured"
0,-4.33708310138545,0.227,0.947,0,"Adh1","Injured_vs_Uninjured"
0,9.15377631116735,0.714,0.004,0,"Ccl3","Injured_vs_Uninjured"
0,-5.73019846449664,0.281,0.984,0,"Slurp1","Injured_vs_Uninjured"
0,-7.1154960698608,0.033,0.729,0,"Cyp4a12b","Injured_vs_Uninjured"
0,-4.25232405346,0.161,0.854,0,"Gsta3","Injured_vs_Uninjured"
0,-3.91407836035466,0.224,0.913,0,"Cdo1","Injured_vs_Uninjured"
0,8.40015463708217,0.717,0.028,0,"Il1b","Injured_vs_Uninjured"
0,6.44053809704956,0.965,0.277,0,"S100a9","Injured_vs_Uninjured"
0,7.03601199952185,0.772,0.088,0,"Slc7a11","Injured_vs_Uninjured"
0,-4.15092562992713,0.106,0.783,0,"Ddx3y","Injured_vs_Uninjured"
0,-5.30666488607537,0.283,0.949,0,"Dapl1","Injured_vs_Uninjured"
0,6.38077494963614,0.981,0.318,0,"Cxcl2","Injured_vs_Uninjured"
0,11.3553563010698,0.657,0.003,0,"Clec4d","Injured_vs_Uninjured"
0,-4.71370080005491,0.079,0.733,0,"Erich5","Injured_vs_Uninjured"
0,10.1480874076129,0.651,0.002,0,"Clec4e","Injured_vs_Uninjured"
0,-5.44178976496951,0.088,0.736,0,"Dsg1a","Injured_vs_Uninjured"
0,-4.39732507221189,0.176,0.819,0,"Paqr5","Injured_vs_Uninjured"
0,3.80773248124435,0.908,0.27,0,"Msn","Injured_vs_Uninjured"
0,-4.06115723087487,0.33,0.966,0,"D130009I18Rik","Injured_vs_Uninjured"
0,9.36010622957379,0.636,0.002,0,"Saa3","Injured_vs_Uninjured"
0,9.99411474789297,0.637,0.006,0,"Acod1","Injured_vs_Uninjured"
0,8.47321312877591,0.636,0.007,0,"Fcer1g","Injured_vs_Uninjured"
0,-3.78554145019003,0.328,0.938,0,"Adh7","Injured_vs_Uninjured"
0,-4.54964709236996,0.088,0.697,0,"Chst9","Injured_vs_Uninjured"
0,-4.105225896453,0.275,0.88,0,"Gyg","Injured_vs_Uninjured"
0,7.48862485612777,0.641,0.039,0,"Cd14","Injured_vs_Uninjured"
0,-2.8965784615672,0.322,0.922,0,"Mxra7","Injured_vs_Uninjured"
0,-3.69338288595931,0.317,0.917,0,"Upk1b","Injured_vs_Uninjured"
0,6.20377052799938,0.676,0.08,0,"Basp1","Injured_vs_Uninjured"
0,5.12512422857406,0.676,0.089,0,"Zeb2","Injured_vs_Uninjured"
0,4.85971692965192,0.618,0.031,0,"Cxcl5","Injured_vs_Uninjured"
0,-6.07224510383205,0.426,0.998,0,"Lypd2","Injured_vs_Uninjured"
0,-3.26145844577691,0.233,0.796,0,"Guca1a","Injured_vs_Uninjured"
0,-3.1316284548031,0.293,0.85,0,"Hlf","Injured_vs_Uninjured"
0,7.88410891179344,0.572,0.021,0,"Lcn2","Injured_vs_Uninjured"
0,3.49193282077935,0.68,0.13,0,"Actn1","Injured_vs_Uninjured"
0,-3.18599795147811,0.393,0.941,0,"2610528A11Rik","Injured_vs_Uninjured"
0,-4.41614444251827,0.448,0.991,0,"Mgarp","Injured_vs_Uninjured"
0,-3.66516724297856,0.223,0.764,0,"Gsta2","Injured_vs_Uninjured"
0,-2.43430057010111,0.239,0.774,0,"Ephx1","Injured_vs_Uninjured"
0,4.64668914625961,0.591,0.06,0,"Sprr2d","Injured_vs_Uninjured"
0,2.90760662084348,0.78,0.254,0,"Mmp3","Injured_vs_Uninjured"
0,8.64467557603719,0.529,0.007,0,"Plek","Injured_vs_Uninjured"
0,-3.25406562727253,0.114,0.635,0,"Lsamp","Injured_vs_Uninjured"
0,-2.21490506696422,0.084,0.602,0,"Pygl","Injured_vs_Uninjured"
0,5.84612398887265,0.533,0.018,0,"Sprr2e","Injured_vs_Uninjured"
0,4.07128246070222,0.604,0.092,0,"Tnfaip2","Injured_vs_Uninjured"
0,3.19531654721306,0.729,0.219,0,"Sprr2f","Injured_vs_Uninjured"
