"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
4.49849092708648e-71,-1.95739125437566,0.967,0.975,1.12552242995704e-66,"B2m","KO_vs_WT"
8.49965040804544e-64,-3.22204488284862,0.279,0.685,2.12661253209297e-59,"9330111N05Rik","KO_vs_WT"
1.15745914417046e-59,0.783128956153044,1,1,2.8959627787145e-55,"Ctsl","KO_vs_WT"
1.42246768558291e-59,-4.26114111231994,0.059,0.483,3.55901414932844e-55,"H2-Q7","KO_vs_WT"
3.74132907870838e-52,4.99637581387682,0.405,0.02,9.36080535492838e-48,"Gcnt1","KO_vs_WT"
6.77629606052893e-48,-0.7114802319692,0.998,0.998,1.69542927434434e-43,"H2-K1","KO_vs_WT"
1.358083403384e-44,-2.6108731256439,0.155,0.534,3.39792467526677e-40,"Ifi27l2a","KO_vs_WT"
2.89666693551959e-43,-2.37264116523771,0.148,0.513,7.24746067267003e-39,"Cxcl14","KO_vs_WT"
1.78928937699663e-40,1.466310471541,0.876,0.726,4.47680202124558e-36,"Gm47283","KO_vs_WT"
1.97796088460467e-36,2.26898023123911,0.431,0.086,4.94885813328089e-32,"Trim72","KO_vs_WT"
3.95830142480879e-33,-3.37462847566753,0.028,0.29,9.90367016487159e-29,"H2-Q6","KO_vs_WT"
6.30945598561318e-30,-0.353376653490866,0.997,1,1.57862588760042e-25,"Uba52","KO_vs_WT"
1.22391963265155e-29,-0.835292456893818,0.749,0.886,3.06224692089418e-25,"1500015L24Rik","KO_vs_WT"
3.46782988911191e-28,-1.51007470061118,0.499,0.706,8.67651038255801e-24,"Gm8797","KO_vs_WT"
1.08521692699546e-27,0.728057166034186,0.883,0.616,2.71521275134264e-23,"Psca","KO_vs_WT"
3.80086765811792e-26,-0.929132067707046,0.754,0.738,9.50977088061104e-22,"Mmp3","KO_vs_WT"
2.43560339408254e-25,-0.472480862655834,0.995,0.994,6.09387969199451e-21,"H2-D1","KO_vs_WT"
5.63477812319277e-25,-1.17013018858859,0.391,0.673,1.40982148642283e-20,"Slc6a20a","KO_vs_WT"
3.32654016481818e-24,-0.299652142206886,1,1,8.32300349237509e-20,"Rps29","KO_vs_WT"
9.75460220133652e-24,-0.304758075204052,1,0.998,2.4406014707744e-19,"Rps28","KO_vs_WT"
4.97540156395345e-23,-0.564988291656472,0.958,0.969,1.24484547130115e-18,"Pycard","KO_vs_WT"
9.67103757631664e-23,-0.478249642074735,0.995,0.984,2.41969360159442e-18,"Gspt1","KO_vs_WT"
1.76605012320825e-22,0.674243002649669,0.904,0.865,4.41865740826704e-18,"Mmp14","KO_vs_WT"
8.76128998860776e-20,-0.775954828250444,0.729,0.765,2.19207475514966e-15,"Apod","KO_vs_WT"
1.54901044983831e-19,-1.34309935983661,0.353,0.577,3.87562414549546e-15,"Bst2","KO_vs_WT"
1.17509260320487e-18,-0.374503175365568,0.986,0.992,2.94008169321859e-14,"Rell1","KO_vs_WT"
2.79230765127118e-18,-0.259320739287315,1,0.998,6.98635374348048e-14,"Eif2s2","KO_vs_WT"
1.44793218581028e-17,-0.771624786042558,0.709,0.818,3.62272632889732e-13,"Ifi211","KO_vs_WT"
2.36081846013804e-17,-0.307445826496978,1,0.998,5.90676778726537e-13,"Rpl38","KO_vs_WT"
4.84100411970007e-17,0.398543148663205,0.581,0.656,1.21121923074896e-12,"Ccl4","KO_vs_WT"
1.60560461221541e-16,-0.264814234140142,0.998,0.996,4.01722273976295e-12,"Nsa2","KO_vs_WT"
8.58465511463052e-16,-0.695370018896821,0.803,0.843,2.14788070968056e-11,"Ide","KO_vs_WT"
2.39627677385441e-15,-0.5675206696823,0.979,0.977,5.99548448818373e-11,"Hmgb2","KO_vs_WT"
3.14039015829784e-15,2.2593438124003,0.326,0.143,7.85725617606119e-11,"Eif3j2","KO_vs_WT"
9.01398374014809e-15,1.25065416914617,0.332,0.137,2.25529873178505e-10,"Ttr","KO_vs_WT"
1.01993356321619e-14,-0.294947633886188,1,1,2.5518737751669e-10,"Gm10076","KO_vs_WT"
1.71367631443891e-14,-1.82237331585405,0.049,0.2,4.28761813872616e-10,"Gm39469","KO_vs_WT"
1.83265998983923e-14,-1.38438923561657,0.068,0.239,4.58531529457774e-10,"Ccr9","KO_vs_WT"
2.0299436776443e-14,0.728509130520283,0.728,0.585,5.07891908146603e-10,"Rfk","KO_vs_WT"
5.84492380333776e-14,0.320777231852763,0.986,0.98,1.46239993559511e-09,"Ostf1","KO_vs_WT"
