"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
1.60050596033912e-58,1.2964180010392,1,1,4.00446591276848e-54,"Ctsl","KO_vs_WT"
1.63248986203343e-28,1.60521706078168,0.993,0.95,4.08448963480764e-24,"Krt14","KO_vs_WT"
4.3681126504393e-26,-1.42008477968479,0.726,0.804,1.09290178513991e-21,"D130009I18Rik","KO_vs_WT"
5.31287952078456e-26,1.40838982677931,0.769,0.504,1.3292824561003e-21,"Lgals7","KO_vs_WT"
8.56070881375948e-26,1.52931622466919,0.867,0.645,2.14188934520262e-21,"Dynap","KO_vs_WT"
1.12524733056628e-24,1.49789565888673,0.605,0.251,2.81536882107682e-20,"Trim72","KO_vs_WT"
1.80115342394975e-23,1.67516589339164,0.731,0.474,4.50648586672228e-19,"Ltf","KO_vs_WT"
2.97267769720574e-23,-1.41056478132474,0.876,0.901,7.43763959840877e-19,"Aldh3a1","KO_vs_WT"
5.9629034455205e-23,0.601841927694298,0.995,0.981,1.49191844206923e-18,"Rps13","KO_vs_WT"
4.48882573075923e-22,2.62725582614934,0.626,0.391,1.12310419783596e-17,"Dmkn","KO_vs_WT"
4.75951520853436e-22,0.719959825320525,0.879,0.683,1.1908307051753e-17,"Slpi","KO_vs_WT"
5.45859613175011e-22,-0.866678575722659,0.726,0.928,1.36574075216388e-17,"Plac8","KO_vs_WT"
1.09130990667436e-21,0.856067417426689,0.914,0.741,2.73045738649926e-17,"Pkm","KO_vs_WT"
3.86317819699847e-21,0.583120650332151,0.981,0.967,9.66567184889018e-17,"Ctsb","KO_vs_WT"
1.88223216471698e-20,1.71106907343975,0.829,0.595,4.70934487612188e-16,"Sbsn","KO_vs_WT"
2.62958275835801e-20,-0.891169464657446,0.722,0.884,6.57921606141174e-16,"Galnt18","KO_vs_WT"
3.15755051764152e-20,0.46452092232127,0.983,0.986,7.90019139513908e-16,"Atp6v0e","KO_vs_WT"
5.5941443512758e-20,0.421866988604785,0.997,0.986,1.39965491668921e-15,"Rpl10","KO_vs_WT"
5.83162033174127e-20,0.741304929286083,0.924,0.871,1.45907140700166e-15,"Psmb5","KO_vs_WT"
8.15862703898483e-20,1.60308975499392,0.522,0.234,2.04128848515401e-15,"Sprr2d","KO_vs_WT"
1.61045312739267e-19,1.21102810779656,0.562,0.281,4.02935372473645e-15,"Ppbp","KO_vs_WT"
4.0151190565405e-19,-0.920678259766794,0.474,0.741,1.00458278794643e-14,"Enpp3","KO_vs_WT"
5.99092954942222e-19,-0.894910623560416,0.703,0.826,1.49893057326544e-14,"Egln3","KO_vs_WT"
6.36741580399883e-19,1.75360740993251,0.552,0.309,1.59312743416051e-14,"Slc27a4","KO_vs_WT"
8.28319783421457e-19,0.75636910777085,0.888,0.744,2.07245609812049e-14,"Arpc1b","KO_vs_WT"
9.70320376622718e-19,1.23529217472171,0.676,0.427,2.42774158231004e-14,"Tmprss2","KO_vs_WT"
1.36183623396402e-18,0.552397911026285,1,0.997,3.40731425737797e-14,"Sprr1a","KO_vs_WT"
1.78024523721855e-18,-1.03219654956921,0.455,0.716,4.4541735835208e-14,"Cyp4a12b","KO_vs_WT"
2.98074390677774e-18,0.492471145500686,1,1,7.45782125475792e-14,"Lgals3","KO_vs_WT"
7.58568972209048e-18,1.43683988280654,0.631,0.399,1.89793956846704e-13,"Cystm1","KO_vs_WT"
1.01362041884863e-17,1.28604200058109,0.814,0.642,2.53607828795928e-13,"Sprr1b","KO_vs_WT"
1.50361433403711e-17,0.985082842995683,0.969,0.939,3.76204306376085e-13,"Fabp5","KO_vs_WT"
1.66072091110092e-17,-1.00326654983384,0.331,0.609,4.15512371957451e-13,"Eif2s3y","KO_vs_WT"
2.04906217379228e-17,-1.57384423658221,0.422,0.606,5.12675355882829e-13,"Gm8797","KO_vs_WT"
2.2757750806778e-17,-1.25408336140288,0.738,0.835,5.69398925185587e-13,"Mgarp","KO_vs_WT"
2.52281742143348e-17,1.5293816525077,0.562,0.322,6.31208918842656e-13,"Gm47283","KO_vs_WT"
