"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
2.89145976786954e-141,-4.72676767838903,0.163,0.788,7.23443233920959e-137,"9330111N05Rik","KO_vs_WT"
4.64657684973636e-133,-1.99697586184185,0.908,0.976,1.16257352780404e-128,"B2m","KO_vs_WT"
1.96480565607851e-84,-0.977930839573639,0.942,0.941,4.91594375150843e-80,"Mmp3","KO_vs_WT"
6.83728946782068e-80,-0.613873291878122,1,1,1.71068982484873e-75,"mt-Co3","KO_vs_WT"
3.60525562561515e-76,2.19225679280834,0.928,0.57,9.02034957528911e-72,"Cnfn","KO_vs_WT"
2.64758119720894e-72,0.511905642022452,0.953,0.737,6.62424815541677e-68,"Krt15","KO_vs_WT"
9.15602288780121e-69,0.597430019424332,1,0.998,2.29083692652786e-64,"Perp","KO_vs_WT"
3.31268995372241e-68,3.34471305185184,0.606,0.141,8.28835026421346e-64,"Eif3j2","KO_vs_WT"
2.26744999364243e-65,2.46264650142241,0.796,0.364,5.67315988409335e-61,"Psca","KO_vs_WT"
2.4306554300132e-65,3.71865540834835,0.513,0.04,6.08149988589303e-61,"Trim72","KO_vs_WT"
3.36695223141018e-65,-2.74212638537484,0.15,0.572,8.42411448298827e-61,"Cxcl14","KO_vs_WT"
2.80296373962266e-55,0.827275241761115,0.983,0.905,7.0130152765359e-51,"Mmp14","KO_vs_WT"
2.40510855374085e-54,-0.467006282768348,1,1,6.01758160145962e-50,"mt-Co1","KO_vs_WT"
1.80394600194646e-52,-1.49258089767409,0.665,0.893,4.51347289687003e-48,"1500015L24Rik","KO_vs_WT"
1.06119747792291e-51,0.758919341347925,0.99,0.917,2.65511608976313e-47,"Rab25","KO_vs_WT"
1.47952413443298e-51,0.590427982786028,1,0.994,3.70176938435133e-47,"Dynll1","KO_vs_WT"
1.32404614005446e-50,0.853763809680369,0.94,0.727,3.31276344241626e-46,"Gm47283","KO_vs_WT"
1.98194323207979e-50,0.929160114780889,0.972,0.895,4.95882196666363e-46,"Gltp","KO_vs_WT"
6.68995879656955e-50,-3.20344380764568,0.063,0.396,1.6738276909017e-45,"Ifi27l2a","KO_vs_WT"
1.43071028365039e-49,-0.863469855166685,0.932,0.976,3.57963712969327e-45,"Eif3j1","KO_vs_WT"
1.14127811031126e-48,-1.17023440752717,0.712,0.838,2.85547783199877e-44,"Ccl4","KO_vs_WT"
1.71482328271337e-48,-1.14095911669681,0.753,0.865,4.29048785334884e-44,"Apod","KO_vs_WT"
1.33026313836027e-45,-2.77502229177137,0.092,0.43,3.32831837217739e-41,"H2-Q6","KO_vs_WT"
4.77300236299006e-45,0.427465650240985,1,0.994,1.19420519122011e-40,"H3f3a","KO_vs_WT"
1.68938771455242e-44,0.423085983230989,1,0.988,4.22684806181016e-40,"Arf1","KO_vs_WT"
2.45172662377554e-44,-2.89067097426976,0.064,0.376,6.1342200126864e-40,"H2-Q7","KO_vs_WT"
3.06007261910007e-44,-1.60571313577915,0.947,0.992,7.65630169298837e-40,"Atf3","KO_vs_WT"
