"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
0,-0.895692846580712,0.845,0.938,0,"Gm2000","KO_vs_WT"
0,-0.857226763931888,0.865,0.94,0,"Nudcd3","KO_vs_WT"
0,-1.06785059166031,0.888,0.952,0,"D130009I18Rik","KO_vs_WT"
0,-0.843641436785863,0.929,0.971,0,"Wdr89","KO_vs_WT"
0,0.415129596486218,0.999,0.999,0,"Rpl10","KO_vs_WT"
5.15354394147731e-293,0.368898594675977,0.997,0.996,1.28941669415762e-288,"Gm10076","KO_vs_WT"
1.54964832192665e-277,-0.904805068382249,0.732,0.853,3.87722010146049e-273,"Rps27rt","KO_vs_WT"
1.90188710011406e-267,-1.06248751039888,0.612,0.778,4.75852152448539e-263,"Gm14164","KO_vs_WT"
1.05991348380763e-263,0.296195850809373,1,0.998,2.65190353648668e-259,"Rps13","KO_vs_WT"
3.09208141353646e-185,-0.755469222065949,0.726,0.826,7.73638769666822e-181,"Rpl9-ps6","KO_vs_WT"
6.75733945816669e-175,-0.423096459928153,0.985,0.983,1.69068633243331e-170,"Aldh3a1","KO_vs_WT"
5.0649866202022e-163,-2.58232195028399,0.053,0.237,1.26725965237459e-158,"Taf1c","KO_vs_WT"
1.46817098585758e-147,-0.489922730027015,0.924,0.956,3.67336380661566e-143,"Slurp1","KO_vs_WT"
3.71308119270538e-134,-0.524891309689787,0.807,0.857,9.29012914414885e-130,"Rpl10-ps3","KO_vs_WT"
2.61470686896443e-125,-0.314780618975113,0.979,0.986,6.54199658614901e-121,"Uba52","KO_vs_WT"
9.43738378016495e-122,0.561330867332251,0.836,0.707,2.36123342179727e-117,"Hmga1","KO_vs_WT"
1.33262763918682e-117,1.1783323389965,0.671,0.47,3.33423435324541e-113,"Ly6a","KO_vs_WT"
7.1984033358194e-113,0.484865067365691,0.916,0.839,1.80104051462201e-108,"Sap18","KO_vs_WT"
1.23733613565772e-109,-0.58382243305633,0.701,0.788,3.0958150114156e-105,"Rrm2b","KO_vs_WT"
4.87162430720308e-105,-0.28722765154177,0.999,1,1.21888040166221e-100,"Camk1d","KO_vs_WT"
7.83865223787179e-98,-0.320610969671967,1,1,1.96123078991552e-93,"Krt12","KO_vs_WT"
1.48860583163188e-96,-0.54806863421321,0.596,0.757,3.72449179074297e-92,"Eif2s3y","KO_vs_WT"
1.49826688214769e-94,1.06971522809169,0.508,0.349,3.74866373913353e-90,"Irgm1","KO_vs_WT"
3.0846033998774e-93,1.09381937497602,0.39,0.212,7.71767770649326e-89,"Trim72","KO_vs_WT"
3.22945411480777e-93,0.996964925332597,0.517,0.324,8.08009419524905e-89,"Emb","KO_vs_WT"
6.01457085388498e-88,0.451009552279936,0.839,0.718,1.50484562764202e-83,"Eno1","KO_vs_WT"
2.07365795663605e-87,-0.499429622502453,0.827,0.883,5.1882922075034e-83,"Gm19951","KO_vs_WT"
9.29641947147209e-85,-0.885953092983923,0.406,0.539,2.32596415176232e-80,"AC154200.1","KO_vs_WT"
3.80318986835499e-84,0.512440571940431,0.84,0.677,9.51558105062419e-80,"Dynap","KO_vs_WT"
3.0299299790488e-78,-0.767166469300365,0.465,0.585,7.5808848075801e-74,"Tecpr2","KO_vs_WT"
7.48667659403738e-75,0.780301524288227,0.728,0.562,1.87316648382815e-70,"Gm47283","KO_vs_WT"
5.57723272645614e-74,0.683079581320583,0.713,0.545,1.39542362815933e-69,"Slpi","KO_vs_WT"
5.55573410353909e-72,-0.270702160459285,0.973,0.985,1.39004467270548e-67,"Anp32a","KO_vs_WT"
4.7635895754388e-70,-0.822922736316561,0.423,0.54,1.19185011177479e-65,"Gm8797","KO_vs_WT"
2.15507840916883e-69,-0.321233037846754,0.933,0.94,5.39200617974042e-65,"Cnot6","KO_vs_WT"
2.25945338260939e-69,-0.297111744037659,0.984,0.991,5.6531523632887e-65,"Tmtc2","KO_vs_WT"
3.38826175253759e-69,-0.579173284713356,0.598,0.704,8.47743090484905e-65,"Aldh1a1","KO_vs_WT"
6.2447109247463e-69,3.00537038727678,0.105,0.024,1.56242667337153e-64,"Ltf","KO_vs_WT"
2.36883947866537e-67,1.81597230078982,0.205,0.09,5.92683637562076e-63,"Ppbp","KO_vs_WT"
2.75017694001379e-67,-0.419258576244337,0.785,0.829,6.88094270391449e-63,"Gm11808","KO_vs_WT"
3.07476036304196e-67,1.08461017557007,0.182,0.071,7.69305042833098e-63,"Xist","KO_vs_WT"
