"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
6.37435176634792e-12,1.38778528150627,1,0.938,1.59486281194025e-07,"Gsto1","KO_vs_WT"
3.28403704998981e-09,1.15545882270243,1,0.954,8.21666069907451e-05,"Krt12","KO_vs_WT"
2.49037690657352e-08,1.0098408447325,0.977,0.969,0.000623092302024695,"Sprr1a","KO_vs_WT"
1.2665833849731e-07,0.815201305531506,1,0.985,0.0031689916292027,"Krt16","KO_vs_WT"
4.44273051794622e-07,-0.682997304147812,0.955,1,0.0111157117559014,"Rps28","KO_vs_WT"
7.7157857496835e-07,-2.91091029693468,0.364,0.754,0.0193048959457081,"Apod","KO_vs_WT"
2.88270591642908e-06,2.63641192632207,0.568,0.154,0.0721253020290557,"Psca","KO_vs_WT"
3.88261257731817e-06,1.57523744360443,0.818,0.492,0.0971429666845007,"Aqp5","KO_vs_WT"
9.60580401809727e-06,1.52589552800689,0.818,0.631,0.240337216532794,"Krt6b","KO_vs_WT"
1.07419920103865e-05,1.22647112604656,0.909,0.754,0.268764640099871,"Perp","KO_vs_WT"
1.38848670780564e-05,-2.54714593818226,0.591,0.8,0.347399374292971,"Mmp3","KO_vs_WT"
2.19009375860315e-05,1.10337718923278,0.932,0.892,0.547961458402509,"Gsta4","KO_vs_WT"
3.34481853878553e-05,-1.76647784794925,0.386,0.708,0.83687359840414,"Snap23","KO_vs_WT"
4.02425079151897e-05,-0.842387754818562,0.818,0.954,1,"Fxyd5","KO_vs_WT"
4.70069437996422e-05,-0.61124336046033,0.977,0.985,1,"Rpl35","KO_vs_WT"
7.0723599049527e-05,-0.808297901098257,0.841,0.923,1,"mt-Nd4l","KO_vs_WT"
8.29853064661362e-05,1.052601425754,0.818,0.6,1,"Lypd3","KO_vs_WT"
8.76441209188996e-05,1.35471065131776,0.705,0.385,1,"Calml3","KO_vs_WT"
8.90249297268822e-05,-0.579148325816038,1,1,1,"Rps29","KO_vs_WT"
9.09410150191445e-05,1.36258433687084,0.886,0.862,1,"Plet1","KO_vs_WT"
9.10457800454115e-05,-0.779460372409785,0.864,0.969,1,"Cox7c","KO_vs_WT"
9.1333497356356e-05,-0.453045606406755,1,1,1,"mt-Nd1","KO_vs_WT"
9.92990367094925e-05,-2.54655436982984,0.114,0.446,1,"Ccl3","KO_vs_WT"
0.000123355464676328,-1.6549506655179,0.273,0.615,1,"Gm8797","KO_vs_WT"
0.000134493992297424,2.52275101551629,0.386,0.092,1,"Eif3j2","KO_vs_WT"
0.000161948634470338,2.04218659833617,0.636,0.323,1,"Lypd2","KO_vs_WT"
0.000213639495230255,-1.47852507215382,0.205,0.569,1,"Mfap3","KO_vs_WT"
0.000224083280869577,-0.325814488264347,1,0.985,1,"Rpl26","KO_vs_WT"
0.000240974838276462,-0.299414739552791,1,0.985,1,"Rpl24","KO_vs_WT"
0.000246865880479747,-0.455872810909888,1,1,1,"Rps21","KO_vs_WT"
0.000255211416488592,-2.09373124694297,0.273,0.569,1,"Ccl4","KO_vs_WT"
0.000268597945164975,-1.01684106710978,0.614,0.846,1,"Eif2s3x","KO_vs_WT"
0.000271807691388591,-0.571020136294997,1,0.985,1,"Rpl39","KO_vs_WT"
0.000274331322222265,1.02852006825616,0.932,0.923,1,"Krt5","KO_vs_WT"
0.000284384187477921,-0.79016795258174,0.727,0.923,1,"Romo1","KO_vs_WT"
0.000285646899515677,2.12998239653673,0.273,0.031,1,"Lce3a","KO_vs_WT"
0.000328850406988947,-1.74540445131279,0.114,0.446,1,"9330111N05Rik","KO_vs_WT"
0.000334496164022193,1.44969037495746,0.886,0.769,1,"Mal","KO_vs_WT"
0.000353074124109025,0.653977592078318,1,0.954,1,"Hspb1","KO_vs_WT"
0.000371597043985734,-1.32443879636714,0.523,0.738,1,"S100a8","KO_vs_WT"
0.000405868645115259,-2.63326011062161,0.023,0.292,1,"L2hgdh","KO_vs_WT"
0.000416149858530398,-0.308329945720932,1,0.969,1,"Rps15","KO_vs_WT"
0.000418777977475847,-1.59487588647635,0.159,0.508,1,"Tsen15","KO_vs_WT"
0.000451006282594412,0.97407155054512,0.932,0.954,1,"Krt6a","KO_vs_WT"
0.000478414140701448,-0.448280792429739,1,0.985,1,"Rpl38","KO_vs_WT"
0.000566181329566717,-1.71285008734569,0.227,0.538,1,"Peli2","KO_vs_WT"
0.000682571968597982,1.44874406904778,0.614,0.338,1,"Upk3bl","KO_vs_WT"
0.000745396719081253,-2.9592541724932,0.023,0.277,1,"Cxcl14","KO_vs_WT"
0.000799347487891816,1.22697238069577,0.545,0.231,1,"Cx3cl1","KO_vs_WT"
0.000812553796869853,2.97727145980202,0.205,0.015,1,"Nccrp1","KO_vs_WT"
0.000840055582824016,-0.815908837003558,0.659,0.831,1,"Lyar","KO_vs_WT"
0.000881051229490937,1.53504180095695,0.659,0.508,1,"Krt15","KO_vs_WT"
0.000920068818693503,-0.962861606198367,0.636,0.8,1,"Psenen","KO_vs_WT"
0.000921511522838751,-0.449758410317695,1,1,1,"Rpl37a","KO_vs_WT"
0.00096978237294126,2.72124079362624,0.205,0.015,1,"Eif2s3y","KO_vs_WT"
0.000984475414935144,-0.382283590847057,1,1,1,"Rps26","KO_vs_WT"
0.000984905263963064,1.82448600313008,0.659,0.369,1,"Mmp10","KO_vs_WT"
0.00100544347054972,-1.41522182096576,0.295,0.569,1,"Fam43a","KO_vs_WT"
0.00101951358704484,-0.648070263914107,0.727,0.892,1,"Spcs2","KO_vs_WT"
0.00108084748698389,-1.55938298370339,0.477,0.738,1,"Thbs1","KO_vs_WT"
0.00112289945092644,-1.38928798246765,0.659,0.8,1,"Mgp","KO_vs_WT"
