"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
6.73991065175301e-116,0.963146057470535,0.996,0.976,1.6863256450686e-111,"Gsto1","KO_vs_WT"
1.61174801731131e-62,0.783367229975396,0.976,0.91,4.03259353931289e-58,"Sprr1a","KO_vs_WT"
9.15555969536671e-56,0.632372292192265,0.991,0.982,2.29072103578075e-51,"Krt16","KO_vs_WT"
1.40058498475153e-50,1.14006285863582,0.882,0.697,3.50426363184834e-46,"Mal","KO_vs_WT"
1.01832213988023e-47,0.826522325459497,0.956,0.886,2.54784199398035e-43,"Krt6a","KO_vs_WT"
1.00808757807488e-45,0.884210925853409,0.926,0.786,2.52223512034334e-41,"Plet1","KO_vs_WT"
1.79385618427284e-33,0.547021492525904,0.954,0.876,4.48822817305065e-29,"Krt5","KO_vs_WT"
7.98347485330654e-32,1.65106011626051,0.493,0.178,1.9974654082973e-27,"Psca","KO_vs_WT"
1.05823624453967e-31,0.67962502331932,0.952,0.882,2.64770708383826e-27,"Krt14","KO_vs_WT"
3.6042501184255e-30,0.513899228567807,0.985,0.934,9.01783379630061e-26,"Krt12","KO_vs_WT"
9.5044164229736e-30,-1.72144845555075,0.265,0.55,2.378004989028e-25,"Gm8797","KO_vs_WT"
3.51144232538195e-28,0.962380682114242,0.675,0.435,8.78562869810564e-24,"Krt15","KO_vs_WT"
1.14369955285536e-26,0.663511651091394,0.884,0.754,2.86153628124411e-22,"Perp","KO_vs_WT"
5.55951803821015e-26,0.873472235940322,0.741,0.561,1.39099141316018e-21,"Krt6b","KO_vs_WT"
2.54221205206648e-22,-1.94296893235146,0.029,0.226,6.36061455427033e-18,"9330111N05Rik","KO_vs_WT"
6.57947078749233e-22,0.922866138913324,0.711,0.517,1.64618359103058e-17,"Aqp5","KO_vs_WT"
2.43876088689874e-21,1.73721125061873,0.401,0.183,6.10177973902066e-17,"Cnfn","KO_vs_WT"
9.82049699275825e-21,0.386535882073904,0.998,0.99,2.45708834758811e-16,"Anxa2","KO_vs_WT"
1.37484356012004e-20,0.850461301630892,0.869,0.726,3.43985858742034e-16,"Gm47283","KO_vs_WT"
6.93845171445785e-19,1.25722943907923,0.583,0.411,1.73600061895735e-14,"Dmkn","KO_vs_WT"
8.6994141798439e-19,0.54265475756558,0.908,0.829,2.17659342779694e-14,"Gsta4","KO_vs_WT"
5.71554768368992e-18,0.427627550541197,0.965,0.943,1.43003003045922e-13,"Sfn","KO_vs_WT"
1.70705371873879e-17,-2.11135014279086,0.61,0.733,4.27104840428445e-13,"Cxcl14","KO_vs_WT"
3.29214503017891e-17,1.17162238608228,0.619,0.553,8.23694686550763e-13,"Ppbp","KO_vs_WT"
5.55946894657845e-16,-0.767831285898484,0.719,0.814,1.39097913043393e-11,"Sod2","KO_vs_WT"
1.20180361197247e-14,1.06311991293239,0.515,0.351,3.00691263715511e-10,"Sbsn","KO_vs_WT"
2.36699869517463e-14,1.81919689605631,0.346,0.168,5.92223073532691e-10,"Clec3b","KO_vs_WT"
2.4373614924868e-14,0.638787713545071,0.695,0.549,6.09827845420196e-10,"Cstdc5","KO_vs_WT"
7.26996976598265e-14,1.1574085099527,0.756,0.598,1.81894643544886e-09,"Hspa1a","KO_vs_WT"
8.88653879869216e-14,0.298085947544104,1,0.987,2.22341200743278e-09,"Dynll1","KO_vs_WT"
1.23479445525087e-13,0.318812734601509,0.904,0.883,3.08945572703768e-09,"Fabp5","KO_vs_WT"
1.39765972098799e-13,0.800082833025669,0.812,0.744,3.49694462191195e-09,"Zfp36","KO_vs_WT"
2.16479838426642e-13,-0.364236055910764,0.993,0.997,5.41632555743458e-09,"Ncl","KO_vs_WT"
8.62881108449173e-13,1.45138059351937,0.318,0.156,2.15892853333983e-08,"Prss22","KO_vs_WT"
9.3091053163591e-13,0.533796004122651,0.925,0.874,2.32913815015305e-08,"Fos","KO_vs_WT"
2.32303942860764e-12,-0.402411773125643,0.972,0.979,5.81224465037632e-08,"Sdc4","KO_vs_WT"
7.128179410291e-12,-0.47705044301154,0.721,0.816,1.78347048845481e-07,"Cxcl2","KO_vs_WT"
7.24574776295314e-12,0.77899878606476,0.489,0.328,1.81288609029087e-07,"Slc6a14","KO_vs_WT"
7.45819584935198e-12,0.335851708921925,0.994,0.991,1.86604060150786e-07,"S100a11","KO_vs_WT"
9.57367176743628e-12,0.377948229747981,0.816,0.708,2.39533267621256e-07,"Ifitm1","KO_vs_WT"
1.14640387287313e-11,1.18636157470812,0.77,0.7,2.86830248992858e-07,"Hspa1b","KO_vs_WT"
1.22392242617055e-11,-1.11392148927721,0.381,0.552,3.06225391027873e-07,"Cd200","KO_vs_WT"
1.34922316139576e-11,-1.29983438895787,0.566,0.711,3.37575634981219e-07,"Cxcl5","KO_vs_WT"
1.42184744655169e-11,-0.492035221610508,0.719,0.814,3.55746231127232e-07,"Ddx21","KO_vs_WT"
1.46348599685364e-11,1.01669847048747,0.399,0.237,3.6616419641278e-07,"Dsc2","KO_vs_WT"
1.47630615750916e-11,0.944229686027449,0.487,0.315,3.69371800608792e-07,"Mid1","KO_vs_WT"
1.57963281539912e-11,0.658078093591122,0.829,0.7,3.9522413041286e-07,"Btg2","KO_vs_WT"
1.99244435966091e-11,0.474383583283976,0.971,0.943,4.9850957878716e-07,"Junb","KO_vs_WT"
2.45785361835917e-11,-1.2248715623377,0.158,0.328,6.14954975313464e-07,"Zfp52","KO_vs_WT"
2.54960262504163e-11,0.499448312351117,0.884,0.805,6.37910576785415e-07,"Lgals3","KO_vs_WT"
2.87065042619235e-11,0.941224169182507,0.537,0.357,7.18236736633325e-07,"Gm15726","KO_vs_WT"
3.18602967704244e-11,0.633042162930888,0.719,0.607,7.97144625196019e-07,"S100a16","KO_vs_WT"
3.65901979656385e-11,-0.684170194508719,0.851,0.921,9.15486753100275e-07,"Mmp3","KO_vs_WT"
4.14872816734523e-11,0.479274909843009,0.938,0.933,1.03801178746978e-06,"Bag3","KO_vs_WT"
5.28183170483674e-11,0.583903133459971,0.875,0.787,1.32151429255015e-06,"Ogn","KO_vs_WT"
5.61029060325726e-11,1.14725289110253,0.298,0.147,1.40369470893497e-06,"Cbr2","KO_vs_WT"
6.75813755136459e-11,0.314268882464795,0.978,0.958,1.69088601535142e-06,"Zbtb20","KO_vs_WT"
7.06089520242745e-11,-2.3381950383498,0.119,0.259,1.76663597964735e-06,"Esm1","KO_vs_WT"
8.7373562497945e-11,0.284365691290083,0.983,0.96,2.18608653369858e-06,"Cd81","KO_vs_WT"
9.85573421621436e-11,0.374590536668354,0.976,0.967,2.46590470089683e-06,"Serpinh1","KO_vs_WT"
1.56932927823537e-10,-0.531842749063968,0.699,0.816,3.92646185414489e-06,"Gja1","KO_vs_WT"
1.63119980010715e-10,0.472220362036055,0.765,0.6,4.08126189986808e-06,"Cavin3","KO_vs_WT"
2.13626090311044e-10,-0.478934153168921,0.743,0.843,5.34492477958232e-06,"Gpm6b","KO_vs_WT"
4.00593643831896e-10,-0.330763277482116,0.923,0.967,1.0022852968674e-05,"Serbp1","KO_vs_WT"
4.56892488566553e-10,-0.791927908677675,0.491,0.625,1.14314500639352e-05,"Acsl4","KO_vs_WT"
4.92107183499368e-10,-1.03894684666937,0.217,0.388,1.23125217311542e-05,"Ccl4","KO_vs_WT"
5.60095975679862e-10,-1.10188177059526,0.224,0.382,1.40136013115101e-05,"Kcnj15","KO_vs_WT"
9.42329816018112e-10,-0.745799075747325,0.956,0.979,2.35770919967732e-05,"Mt2","KO_vs_WT"
1.68933874524018e-09,-1.36659558093724,0.347,0.49,4.22672554059093e-05,"Csf3","KO_vs_WT"
1.85478758675753e-09,0.420354876404123,0.921,0.864,4.64067854206734e-05,"Pnp","KO_vs_WT"
1.87638699629235e-09,-0.355027764137929,0.903,0.952,4.69472026472345e-05,"Btg1","KO_vs_WT"
1.90220358808292e-09,0.506366755251365,0.761,0.652,4.75931337738346e-05,"Mxra7","KO_vs_WT"
2.66427030468154e-09,-0.843012107717746,0.961,0.961,6.66600430231321e-05,"Mt1","KO_vs_WT"
3.03498209542161e-09,-0.61199701309045,0.55,0.694,7.59352520274486e-05,"Tnc","KO_vs_WT"
3.89967817536036e-09,-0.312761110390623,0.967,0.984,9.75699479475162e-05,"Plpp3","KO_vs_WT"
4.06061064894845e-09,1.40965808578999,0.239,0.117,0.00010159647843669,"Prss27","KO_vs_WT"
4.2914477742806e-09,0.719621902160279,0.585,0.472,0.0001073720233125,"S100a14","KO_vs_WT"
4.80672394167383e-09,0.609481692644728,0.651,0.562,0.000120264233020679,"Lgals7","KO_vs_WT"
4.90055354517221e-09,0.700995359055766,0.59,0.475,0.000122611849700209,"Lypd3","KO_vs_WT"
4.92726556250286e-09,2.17174259758201,0.119,0.033,0.000123280184373822,"Ltf","KO_vs_WT"
5.94801465846161e-09,0.672911134344734,0.524,0.379,0.00014881932675471,"Col14a1","KO_vs_WT"
6.36115290719074e-09,-0.377762084958482,0.833,0.87,0.000159156045737912,"Gspt1","KO_vs_WT"
