"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
5.13660616626346e-197,1.26531417221249,0.905,0.722,1.28517886279912e-192,"Gsto1","KO_vs_WT"
2.98647377574015e-114,2.66746871332911,0.405,0.091,7.47215738690187e-110,"Gdpd3","KO_vs_WT"
2.10904803310724e-111,0.800390943763604,0.916,0.828,5.27683817883431e-107,"Krt16","KO_vs_WT"
2.53355755915578e-105,-6.67164083708848,0.008,0.25,6.33896101300777e-101,"Gm39469","KO_vs_WT"
6.50924319458748e-91,0.66598008106309,0.937,0.882,1.62861264728579e-86,"Krt14","KO_vs_WT"
2.4933275795511e-90,1.13225288246509,0.732,0.518,6.23830560403686e-86,"Krt12","KO_vs_WT"
1.09899928106131e-79,1.35676948304941,0.593,0.342,2.74969620121539e-75,"Mal","KO_vs_WT"
3.54422474201239e-76,1.00485148182537,0.795,0.671,8.867650304515e-72,"Tuba1c","KO_vs_WT"
1.74637272301781e-67,1.02048885541522,0.708,0.534,4.36942455299055e-63,"Sprr1a","KO_vs_WT"
2.46321884235788e-67,0.937336212086224,0.742,0.593,6.16297354357942e-63,"Krt6a","KO_vs_WT"
3.4587398147236e-63,2.2624301407995,0.285,0.079,8.65376701643845e-59,"Itgax","KO_vs_WT"
1.09253223923923e-61,-0.625974640193206,0.974,0.989,2.73351566257655e-57,"Cxcl2","KO_vs_WT"
6.73125515835446e-59,0.491917849813354,0.987,0.967,1.68416004062028e-54,"S100a11","KO_vs_WT"
3.81421336421082e-57,1.18575659164527,0.646,0.433,9.54316183725548e-53,"Gm47283","KO_vs_WT"
6.81190611230974e-53,0.389584188766963,0.983,0.977,1.7043389092999e-48,"Fabp5","KO_vs_WT"
7.3786791608752e-50,-1.80549719775415,0.08,0.268,1.84614552605098e-45,"Gm8797","KO_vs_WT"
9.47981114881452e-50,-0.466783210475126,0.88,0.965,2.37184874943339e-45,"mt-Co3","KO_vs_WT"
6.51668398574346e-46,-3.76727144354738,0.007,0.125,1.63047433323301e-41,"9330111N05Rik","KO_vs_WT"
9.15439529280749e-46,-1.0004056417026,0.78,0.894,2.29042970226043e-41,"Ccl4","KO_vs_WT"
9.78187869721495e-46,-0.94805147442765,0.368,0.59,2.44742605004318e-41,"Itgam","KO_vs_WT"
3.04928708960186e-45,1.08508781826667,0.547,0.381,7.62931629818387e-41,"Ppbp","KO_vs_WT"
3.05219020899446e-44,0.267208499450085,1,1,7.63657990290415e-40,"Gm42418","KO_vs_WT"
4.47511593680642e-43,-0.80793329099623,0.324,0.555,1.11967400738897e-38,"Mmp3","KO_vs_WT"
5.38376811493251e-40,1.285621561727,0.435,0.258,1.34701878235612e-35,"Tubb4b","KO_vs_WT"
1.6283430663194e-38,-0.652304561230109,0.885,0.937,4.07411435193114e-34,"Ccl3","KO_vs_WT"
1.37118189379189e-37,2.16454549148142,0.198,0.061,3.4306970982673e-33,"Cnfn","KO_vs_WT"
3.56314004806572e-36,-1.04829231278681,0.683,0.802,8.91497640026044e-32,"Tnf","KO_vs_WT"
8.89174137243846e-36,0.401714482190935,0.638,0.492,2.2247136913841e-31,"Plet1","KO_vs_WT"
3.16288648877999e-34,1.22650350924384,0.396,0.234,7.91354199492753e-30,"Krt6b","KO_vs_WT"
1.20633907477898e-32,-2.84022403190136,0.016,0.112,3.01826036509702e-28,"Hal","KO_vs_WT"
2.09183221771777e-31,2.88751347970846,0.116,0.021,5.23376420872986e-27,"Psca","KO_vs_WT"
2.40810307735618e-31,0.35081081753544,0.991,0.981,6.02507389954517e-27,"Ubb","KO_vs_WT"
3.37745317877095e-30,-0.495145813732148,0.739,0.86,8.45038785328491e-26,"Slc15a3","KO_vs_WT"
7.25274669899395e-30,0.640575346093982,0.743,0.644,1.81463722408829e-25,"Ifitm1","KO_vs_WT"
2.2206707306948e-29,0.636895419360061,0.751,0.658,5.5561181681984e-25,"AY036118","KO_vs_WT"
3.70920938328528e-29,0.888016671002735,0.484,0.346,9.28044187697976e-25,"Perp","KO_vs_WT"
1.59541707803565e-28,-1.29144381629356,0.134,0.28,3.99173352924518e-24,"Nr4a1","KO_vs_WT"
9.75936048618736e-28,0.729538506095494,0.609,0.511,2.44179199364408e-23,"Krt5","KO_vs_WT"
2.40954802987372e-27,-1.09735466728939,0.201,0.357,6.02868917074404e-23,"Plk2","KO_vs_WT"
1.3765284082108e-26,-0.68338359511592,0.405,0.585,3.44407407734343e-22,"Plin2","KO_vs_WT"
4.95257613736321e-26,0.435300818042855,0.884,0.842,1.23913454956827e-21,"Tyrobp","KO_vs_WT"
1.05296349004829e-25,-0.760761612307821,0.376,0.538,2.63451465210083e-21,"Dleu2","KO_vs_WT"
