"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
0,-3.5949773245429,0.128,0.485,0,"9330111N05Rik","KO_vs_WT"
0,2.38226010292679,0.546,0.191,0,"Psca","KO_vs_WT"
0,2.20008020542684,0.671,0.338,0,"Cnfn","KO_vs_WT"
0,1.09458362748367,0.912,0.792,0,"Krt12","KO_vs_WT"
0,1.23499593205335,0.971,0.884,0,"Gsto1","KO_vs_WT"
0,-0.891680164708358,0.884,0.922,0,"B2m","KO_vs_WT"
1.3873080099946e-275,-0.48591424255496,0.961,0.983,3.4710446410065e-271,"mt-Co3","KO_vs_WT"
3.28037785976578e-274,-2.6384197257998,0.153,0.456,8.20750540513398e-270,"Cxcl14","KO_vs_WT"
8.82828294310235e-263,-1.06222560918608,0.757,0.807,2.20883639236421e-258,"Mmp3","KO_vs_WT"
1.87698627083058e-262,1.49164960854147,0.867,0.699,4.69621964961811e-258,"Mal","KO_vs_WT"
2.19854177476559e-255,3.68886407678404,0.235,0.015,5.50075152046351e-251,"Trim72","KO_vs_WT"
3.23079156393405e-251,-1.95459248674884,0.066,0.311,8.08344049296298e-247,"H2-Q7","KO_vs_WT"
1.38649362365343e-237,0.826063387432501,0.905,0.796,3.46900704638087e-233,"Sprr1a","KO_vs_WT"
3.38574430412874e-230,-1.37425176543985,0.1,0.358,8.47113224893011e-226,"Ifi27l2a","KO_vs_WT"
1.16229928788524e-222,1.28794019874298,0.792,0.61,2.90807281828887e-218,"Krt6b","KO_vs_WT"
1.04408370499255e-213,-6.38231400222645,0.021,0.199,2.61229742989136e-209,"Gm39469","KO_vs_WT"
8.87842873587052e-213,2.16250750496967,0.405,0.145,2.2213828697148e-208,"Ltf","KO_vs_WT"
6.54913102561771e-208,-2.0100380683341,0.334,0.547,1.63859258260955e-203,"Gm8797","KO_vs_WT"
1.13220074117819e-190,-1.30055713421029,0.686,0.84,2.83276625442783e-186,"Ccl4","KO_vs_WT"
5.27321816302607e-189,2.49180536319195,0.307,0.092,1.31935918438912e-184,"Eif3j2","KO_vs_WT"
6.3165972798958e-188,1.15396812399142,0.881,0.764,1.58041263942993e-183,"Plet1","KO_vs_WT"
5.70609961760441e-182,0.716184699832777,0.981,0.952,1.42766612432462e-177,"Krt14","KO_vs_WT"
1.56333112143404e-181,1.05802900461818,0.719,0.526,3.91145446582796e-177,"Aqp5","KO_vs_WT"
5.32160559935782e-180,0.879953067600701,0.855,0.665,1.33146572095933e-175,"Gm47283","KO_vs_WT"
1.79373239251267e-176,0.689052833701855,0.974,0.927,4.48791844606669e-172,"Krt16","KO_vs_WT"
4.92632667871976e-173,1.47145627293118,0.716,0.508,1.23256693501568e-168,"Krt15","KO_vs_WT"
3.15562545956333e-172,0.87192099809618,0.918,0.83,7.89537489982745e-168,"Krt6a","KO_vs_WT"
2.48845755752146e-167,0.810847099311298,0.911,0.821,6.22612080891869e-163,"Ifitm1","KO_vs_WT"
1.13956085486459e-161,1.55245352713521,0.592,0.395,2.85118125887121e-157,"Cbr2","KO_vs_WT"
1.59123934761546e-161,0.577936958381994,0.919,0.837,3.98128084773388e-157,"Tuba1c","KO_vs_WT"
1.28177518905164e-160,0.440321647140689,0.996,0.984,3.2070015230072e-156,"S100a11","KO_vs_WT"
3.95470488278213e-159,0.285050239265908,0.999,0.997,9.89467161672088e-155,"Tpt1","KO_vs_WT"
4.28971522834576e-157,0.911644717089264,0.83,0.705,1.07328675013211e-152,"Perp","KO_vs_WT"
8.56904926687305e-157,1.06513526432451,0.851,0.718,2.14397612657164e-152,"Ppbp","KO_vs_WT"
1.61291776292052e-156,1.02875258782708,0.781,0.625,4.03552024282713e-152,"Dmkn","KO_vs_WT"
1.81014302432997e-153,1.19632798830085,0.534,0.3,4.5289778468736e-149,"Lypd2","KO_vs_WT"
6.8385419854758e-147,1.61382222282706,0.359,0.148,1.71100320476605e-142,"Nccrp1","KO_vs_WT"
1.53355281206778e-145,0.666169685581866,0.804,0.673,3.83694913579357e-141,"Tubb4b","KO_vs_WT"
3.90876224021059e-140,0.702955855352805,0.868,0.801,9.7797231250069e-136,"Ctsl","KO_vs_WT"
1.13329855849442e-139,0.678422755075379,0.876,0.792,2.83551299335303e-135,"Krt5","KO_vs_WT"
9.1788510469095e-136,0.744255551335443,0.655,0.509,2.29654853193676e-131,"Spint2","KO_vs_WT"
5.35643182449116e-135,1.1770263615425,0.644,0.458,1.34017924248769e-130,"Calml3","KO_vs_WT"
5.62086272086061e-133,-1.2255852683792,0.586,0.682,1.40633985275932e-128,"Apod","KO_vs_WT"
1.07154642200007e-131,1.18554792611089,0.552,0.338,2.68100914784418e-127,"Prss27","KO_vs_WT"
2.12810488570786e-131,-1.55765197250717,0.041,0.185,5.32451842404107e-127,"H2-Q6","KO_vs_WT"
5.29454656744161e-124,1.76367179463981,0.313,0.127,1.32469555117389e-119,"Lce3a","KO_vs_WT"
3.28827708175319e-123,0.786695706674187,0.682,0.527,8.22726925854647e-119,"Rab25","KO_vs_WT"
4.88782828138391e-123,0.498715352996425,0.815,0.739,1.22293463600225e-118,"Capg","KO_vs_WT"
2.16347471103525e-121,0.783885718414822,0.747,0.631,5.41301372701019e-117,"S100a16","KO_vs_WT"
2.89204873814879e-121,0.401565513663655,0.867,0.816,7.23590594284828e-117,"Myl12a","KO_vs_WT"
1.73469671452999e-117,0.489573397735523,0.32,0.142,4.34021117975403e-113,"Stfa1","KO_vs_WT"
8.43604386741133e-115,-1.23410529317957,0.341,0.16,2.11069817562631e-110,"Hbb-bs","KO_vs_WT"
1.02333857817611e-113,-0.326801622353263,0.966,0.978,2.56039312259662e-109,"mt-Nd1","KO_vs_WT"
1.37654975688615e-113,1.61327661066247,0.24,0.083,3.44412749172915e-109,"Ttr","KO_vs_WT"
1.62296486289378e-113,0.80440780977376,0.631,0.471,4.06065808696024e-109,"Mgst3","KO_vs_WT"
2.50640388008477e-111,1.38177981023013,0.44,0.254,6.2710225079721e-107,"Trex2","KO_vs_WT"
4.65491716763219e-111,0.504015786403651,0.988,0.974,1.16466027534157e-106,"Actg1","KO_vs_WT"
6.58224335993327e-111,1.04751016272023,0.463,0.29,1.64687728865531e-106,"Ap4s1","KO_vs_WT"
6.90668392407776e-111,1.46537022315188,0.423,0.237,1.72805231780425e-106,"Slc5a1","KO_vs_WT"
8.81499943297794e-111,0.58808590702204,0.748,0.636,2.20551285813108e-106,"Ly6e","KO_vs_WT"
1.78183787792366e-109,1.10841110982324,0.549,0.369,4.45815837056499e-105,"H60c","KO_vs_WT"
2.76216962143031e-109,2.19806736088552,0.174,0.042,6.91094839281865e-105,"Gm49980","KO_vs_WT"
4.6970728377238e-109,1.84987698551957,0.325,0.145,1.1752076239985e-104,"Crct1","KO_vs_WT"
