"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
6.80931654205817e-69,0.772223733922614,0.997,0.992,1.70369099882295e-64,"Gsto1","KO_vs_WT"
5.28803332915602e-49,0.626077549757393,0.984,0.962,1.32306593895484e-44,"Sprr1a","KO_vs_WT"
1.91041297691452e-28,0.566572984562999,0.965,0.96,4.77985326824014e-24,"Krt6a","KO_vs_WT"
2.32236952982617e-28,0.771093059112004,0.902,0.819,5.81056856362507e-24,"Mal","KO_vs_WT"
4.69899284250434e-26,0.4935918835577,0.953,0.907,1.17568800919459e-21,"Plet1","KO_vs_WT"
1.37628240979081e-23,0.589606773452384,0.994,0.992,3.4434585892966e-19,"Krt16","KO_vs_WT"
2.19105584766271e-19,-1.62569875564756,0.37,0.619,5.48202173085211e-15,"Gm8797","KO_vs_WT"
3.76822415101275e-19,0.783283640712429,0.864,0.718,9.4280968258339e-15,"Krt6b","KO_vs_WT"
3.78222583191875e-19,0.833167799230653,0.813,0.592,9.4631290314607e-15,"Krt15","KO_vs_WT"
9.58098228631635e-17,1.0753873394668,0.627,0.316,2.39716176803635e-12,"Psca","KO_vs_WT"
2.05191170937283e-16,0.381223222336052,0.927,0.867,5.13388309685082e-12,"Perp","KO_vs_WT"
1.38984414957015e-14,1.61915276063566,0.456,0.246,3.47739006222452e-10,"Cnfn","KO_vs_WT"
1.39305384009649e-14,0.604924994839666,0.87,0.815,3.48542070792142e-10,"Lgals3","KO_vs_WT"
8.60732925606031e-13,0.649897383632026,0.949,0.888,2.15355377986629e-08,"Krt14","KO_vs_WT"
8.77531923010175e-13,1.2706790751813,0.573,0.343,2.19558487137146e-08,"Gm15726","KO_vs_WT"
1.294177091635e-11,-2.00580357318353,0.253,0.459,3.23803108327078e-07,"Ccl4","KO_vs_WT"
2.18139330804488e-11,1.48705604460181,0.396,0.196,5.45784605672828e-07,"Eif3j2","KO_vs_WT"
1.97188541715472e-10,-0.395372025923268,0.991,0.994,4.93365731372112e-06,"Fstl1","KO_vs_WT"
