"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
1.86836969464347e-63,-3.66270143191285,0.089,0.482,4.67466097599797e-59,"9330111N05Rik","KO_vs_WT"
3.20938738525011e-46,1.30855137690342,0.808,0.415,8.02988723789578e-42,"Psca","KO_vs_WT"
1.95344217352404e-45,0.731193434691594,1,0.997,4.88751231815715e-41,"Sprr1a","KO_vs_WT"
7.31039186847213e-37,1.57403820749884,0.583,0.319,1.82906004549173e-32,"Cnfn","KO_vs_WT"
2.34466942550393e-32,-2.56161774822364,0.062,0.314,5.86636290261083e-28,"H2-Q7","KO_vs_WT"
5.7029350379646e-31,-0.262291589091666,0.997,1,1.42687434649874e-26,"Rps28","KO_vs_WT"
2.02978679260465e-30,-1.08825288374155,0.922,0.933,5.07852655509683e-26,"B2m","KO_vs_WT"
1.58139850198247e-29,-1.99942046946109,0.095,0.361,3.95665905196015e-25,"Cxcl14","KO_vs_WT"
5.99430887140226e-29,4.03926314241266,0.238,0.025,1.49977607962485e-24,"Gcnt1","KO_vs_WT"
1.31323986618547e-26,-1.75722711498937,0.107,0.356,3.28572614519604e-22,"Ifi27l2a","KO_vs_WT"
2.82403651100874e-26,0.437581104295203,0.999,1,7.06573935054387e-22,"Ctsl","KO_vs_WT"
5.60263373507228e-26,-0.333846197445054,0.99,0.99,1.40177896051509e-21,"Uba52","KO_vs_WT"
6.70508818812071e-26,0.730433328442071,0.997,0.983,1.6776130646678e-21,"Krt15","KO_vs_WT"
4.87204760781825e-24,0.571097081040146,0.981,0.946,1.21898631147613e-19,"Mal","KO_vs_WT"
1.46865811815403e-22,-0.376037729963144,0.993,0.995,3.67458261162138e-18,"Gspt1","KO_vs_WT"
2.61397979443598e-21,0.439061406589869,0.958,0.874,6.54017744567883e-17,"Aqp5","KO_vs_WT"
1.45812699306414e-20,-0.607733705380019,0.869,0.948,3.64823373664647e-16,"Nudcd3","KO_vs_WT"
1.9821559955179e-20,2.25244208010598,0.273,0.081,4.9593543007858e-16,"Ltf","KO_vs_WT"
5.98895900507631e-20,1.97366406412962,0.211,0.035,1.49843754307009e-15,"Trim72","KO_vs_WT"
1.3489390765134e-19,-0.532278959841601,0.88,0.958,3.37504556943654e-15,"Gm2000","KO_vs_WT"
2.21542383166339e-19,0.679860603839478,0.9,0.75,5.5429904268218e-15,"Gm47283","KO_vs_WT"
3.17007842367626e-18,-1.31499101919066,0.32,0.513,7.931536216038e-14,"Gm8797","KO_vs_WT"
8.27015861474959e-18,0.625137778613061,0.964,0.951,2.06919368541035e-13,"Ifitm1","KO_vs_WT"
1.21774866753592e-17,-0.529005201946637,0.906,0.966,3.04680716617487e-13,"Wdr89","KO_vs_WT"
6.94123285196608e-17,0.405091022496529,0.983,0.955,1.73669645956191e-12,"Tubb4b","KO_vs_WT"
8.7877346488714e-17,0.39380703517698,0.994,0.99,2.19869120914762e-12,"Aqp3","KO_vs_WT"
1.24514331941744e-16,2.44225976990782,0.192,0.042,3.11534858518244e-12,"Gm49980","KO_vs_WT"
2.33601258119829e-16,0.498509572265644,0.999,0.982,5.84470347815812e-12,"Wfdc2","KO_vs_WT"
3.19962475375306e-15,-0.773112838357508,0.519,0.686,8.00546113389015e-11,"1500015L24Rik","KO_vs_WT"
9.39763505660038e-15,0.43640617490356,0.929,0.886,2.35128829116141e-10,"Krt6b","KO_vs_WT"
2.65661927056061e-14,1.18456950525145,0.457,0.301,6.64686141494264e-10,"Prss27","KO_vs_WT"
7.87579077703012e-14,2.03936586341329,0.302,0.146,1.97052285241294e-09,"Ccr3","KO_vs_WT"
1.56575911258249e-13,-0.317931808251768,0.999,1,3.91752929968138e-09,"Anxa1","KO_vs_WT"
7.29472143027113e-13,0.589382425729161,0.85,0.743,1.82513930185384e-08,"Adh7","KO_vs_WT"
8.93491349719809e-13,-0.655539548545571,0.763,0.884,2.23551535699896e-08,"Rps27rt","KO_vs_WT"
