"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
3.14266859376633e-07,1.11329841949451,0.939,0.853,0.00786295682160336,"Sprr1a","KO_vs_WT"
6.91428162673637e-07,-1.15351466793242,0.469,0.907,0.0172995326300944,"H2-D1","KO_vs_WT"
1.99751537267367e-06,0.825118641150425,0.98,0.92,0.0499778346242951,"Gsto1","KO_vs_WT"
2.84523032361021e-06,-0.772793507033781,0.98,1,0.0711876626967274,"Ifitm3","KO_vs_WT"
3.91864896980112e-06,0.295621084045865,0.98,0.92,0.098044597224424,"Krt12","KO_vs_WT"
1.68038887027188e-05,-0.980293867655249,0.918,0.987,0.420433295342025,"B2m","KO_vs_WT"
3.81317676211066e-05,1.58216291742925,0.592,0.253,0.954056825880088,"Ptprf","KO_vs_WT"
4.3521250550438e-05,-2.60888101909056,0.245,0.627,1,"Cxcl5","KO_vs_WT"
5.50371828346322e-05,-3.77144021492166,0.02,0.32,1,"Vcan","KO_vs_WT"
8.38635211797695e-05,0.84836078478547,0.939,0.627,1,"Gm47283","KO_vs_WT"
0.00015660839851258,1.21094028917048,0.653,0.427,1,"Aqp5","KO_vs_WT"
0.000159943745606927,-1.75803265165802,0.143,0.507,1,"Asns","KO_vs_WT"
0.000163511257455806,0.661811804167624,0.98,0.933,1,"Krt16","KO_vs_WT"
0.000236481643564898,-3.72929390062877,0.02,0.28,1,"Ms4a4d","KO_vs_WT"
0.000237993025578694,-3.81072774069748,0,0.24,1,"Timm22","KO_vs_WT"
0.00028296004578567,-2.85024112982762,0.02,0.28,1,"Tpst1","KO_vs_WT"
0.000360884291041207,-1.12389470848519,0.347,0.707,1,"Eef1d","KO_vs_WT"
0.000368170390587166,-1.66968749397475,0.061,0.347,1,"Eif2ak2","KO_vs_WT"
0.000377698625809378,-0.880201196365185,0.612,0.893,1,"Plpp3","KO_vs_WT"
0.000467194077942064,-2.08329737279068,0.204,0.533,1,"Ccl11","KO_vs_WT"
0.000491665076393416,-1.32073685868797,0.082,0.373,1,"Crls1","KO_vs_WT"
0.000498409218529675,-1.45919554111705,0.122,0.453,1,"Tmem14c","KO_vs_WT"
0.000514301056186578,-2.59695365239722,0.02,0.267,1,"Zup1","KO_vs_WT"
0.0005766022813903,-2.37476025876925,0.041,0.307,1,"Gpx3","KO_vs_WT"
0.000594687407881108,-1.42514709650549,0.306,0.6,1,"Mmp3","KO_vs_WT"
0.000601638136129235,-1.46296526314486,0.224,0.547,1,"Slc15a3","KO_vs_WT"
0.000646311931930493,0.876493624394032,0.776,0.627,1,"Mal","KO_vs_WT"
0.000675226425735115,-0.764506765438247,0.673,0.907,1,"Kdm1a","KO_vs_WT"
0.000691670192504511,-1.58501275948189,0.061,0.333,1,"Vps13d","KO_vs_WT"
0.000734812159635438,-2.66826800879604,0.02,0.253,1,"Dcp2","KO_vs_WT"
0.000738587613055038,-1.5153543737126,0.286,0.587,1,"Cyp1b1","KO_vs_WT"
0.000753704438736338,-1.54748591226085,0.265,0.587,1,"Slc7a11","KO_vs_WT"
0.000755642699881571,2.26909996812006,0.347,0.12,1,"Cnfn","KO_vs_WT"
0.000759774011394992,-1.40713362773696,0.184,0.52,1,"Oaf","KO_vs_WT"
0.000798270368384302,-0.890538490434198,0.204,0.52,1,"Cop1","KO_vs_WT"
0.000916354845256254,0.620175000585845,0.796,0.733,1,"Plet1","KO_vs_WT"
0.000989072220297109,-1.77222747688475,0.204,0.48,1,"Gm8797","KO_vs_WT"
0.00109143097787526,-1.04296360501595,0.163,0.48,1,"Chmp5","KO_vs_WT"
0.00109962296596404,0.529375857404892,0.918,0.853,1,"Krt6a","KO_vs_WT"
0.00116117020257704,-1.79960018958893,0.306,0.627,1,"Bst2","KO_vs_WT"
0.00117245364524179,0.62208008608601,0.959,1,1,"Cebpb","KO_vs_WT"
0.00119369692583257,-0.285480544277163,0.98,1,1,"Rpl24","KO_vs_WT"
0.00125362719899543,-0.933875112800686,0.286,0.64,1,"Shisa5","KO_vs_WT"
0.00131001002018,-1.32416026667085,0.224,0.533,1,"Gm16685","KO_vs_WT"
0.00131887652214969,-3.30114223327878,0.02,0.227,1,"Asf1a","KO_vs_WT"
0.00139179484783397,-1.4431551880489,0.122,0.413,1,"Crkl","KO_vs_WT"
0.00140112354505782,-2.43987642783169,0.061,0.293,1,"H2-T22","KO_vs_WT"
0.00144342449042171,-3.99858582712046,0,0.187,1,"Slc7a8","KO_vs_WT"
0.00149406532654194,1.01902720791524,0.816,0.707,1,"Crim1","KO_vs_WT"
0.0015017532324002,-1.5398479735259,0.102,0.373,1,"Mrpl24","KO_vs_WT"
0.00150422710673235,-1.58023740600339,0.122,0.387,1,"Yod1","KO_vs_WT"
0.00164360229399992,-1.37263185558648,0.102,0.373,1,"Mettl16","KO_vs_WT"
0.00166029616139632,-2.51498739674674,0.02,0.227,1,"Rnf34","KO_vs_WT"
0.00170341268281178,-0.874869962160633,0.388,0.68,1,"Slc4a7","KO_vs_WT"
0.00172364182204792,-0.594782166716512,0.694,0.907,1,"Dhx15","KO_vs_WT"
0.00175751292705186,-2.97681087750003,0.02,0.227,1,"Ifi27l2a","KO_vs_WT"
0.00185612428997204,-1.98889188559166,0.041,0.267,1,"Il11ra1","KO_vs_WT"
0.00191024149467762,-0.738800385108331,0.306,0.64,1,"Tank","KO_vs_WT"
0.00191318257366829,-2.21479788487995,0.02,0.227,1,"Fkbp7","KO_vs_WT"
0.00197018677494631,-1.22827797032358,0.163,0.453,1,"Acvr1","KO_vs_WT"
0.00197866164986568,-1.7894124662473,0.082,0.333,1,"Arhgef3","KO_vs_WT"
0.00204760288562275,-1.62770344393824,0.102,0.36,1,"Tmem109","KO_vs_WT"
0.00205622403307451,0.538423295581833,0.959,0.973,1,"Cfl1","KO_vs_WT"
0.00214639856074959,-1.66387271697123,0.102,0.373,1,"Casp4","KO_vs_WT"
0.00222806818108352,-1.30793711540442,0.224,0.507,1,"Ssr1","KO_vs_WT"
0.00223718112493622,-4.15458591040444,0,0.173,1,"Alpl","KO_vs_WT"
0.00223718112493622,-3.31673433666178,0,0.173,1,"Tlcd2","KO_vs_WT"
0.00223718112493622,-3.30941299585221,0,0.173,1,"9330111N05Rik","KO_vs_WT"
0.00223718112493622,-2.99538288151937,0,0.173,1,"Aifm1","KO_vs_WT"
0.0023702434852133,-1.18348656794383,0.041,0.267,1,"Cmtm3","KO_vs_WT"
0.00240089381415266,-0.641995081387687,0.816,0.933,1,"Atp6v0c","KO_vs_WT"
0.00244836865484049,1.0605476627398,0.653,0.533,1,"Lrrc32","KO_vs_WT"
0.00253178028718801,0.845176534163987,0.776,0.76,1,"Esyt2","KO_vs_WT"
0.00258660075560797,2.09604885393247,0.327,0.133,1,"Rps6ka5","KO_vs_WT"
0.00269515840539083,-1.59364924073823,0.143,0.4,1,"Cxcl16","KO_vs_WT"
0.00271381229386716,-2.54936330477104,0.082,0.32,1,"Rab31","KO_vs_WT"
0.002751594304677,-1.60322176519448,0.143,0.4,1,"Dbn1","KO_vs_WT"
0.00276536398937839,-0.883955955351248,0.143,0.413,1,"Rai14","KO_vs_WT"
0.0028407930011557,-1.76999761820331,0.082,0.32,1,"Commd1","KO_vs_WT"
0.00285706654647729,-0.6402791673172,0.449,0.747,1,"St5","KO_vs_WT"
0.00286022019479608,-0.470191536339253,0.939,0.973,1,"Rpl36","KO_vs_WT"
0.0028850727353639,-0.409473837264652,0.959,1,1,"Rps24","KO_vs_WT"
0.0028927761781796,-1.13790235195438,0.184,0.453,1,"Arl15","KO_vs_WT"
0.00294879960919137,-1.87275445220222,0.102,0.333,1,"Ncbp1","KO_vs_WT"
0.00298510292253671,-1.19685073361762,0.204,0.48,1,"Cep83","KO_vs_WT"
0.0030184890715203,-1.12382641943835,0.265,0.533,1,"Sesn2","KO_vs_WT"
0.00309579469597434,-0.845808995296537,0.327,0.64,1,"Vps4b","KO_vs_WT"
0.00309984656792827,-1.98139881608878,0.02,0.213,1,"Bcap29","KO_vs_WT"
0.00310657558164103,-0.450354750297433,0.898,0.973,1,"Nfe2l2","KO_vs_WT"
0.00318714282453557,-1.81909283452831,0.041,0.253,1,"Plod2","KO_vs_WT"
0.00320232413392189,-0.856990027630673,0.408,0.72,1,"Fmnl2","KO_vs_WT"
0.0032294221479662,-1.1621819051296,0.306,0.573,1,"Ldlrad4","KO_vs_WT"
0.0032744973117277,-2.48987051329043,0.429,0.693,1,"S100a9","KO_vs_WT"
0.00330922158493815,2.46126771031556,0.367,0.173,1,"Tgfb1i1","KO_vs_WT"
0.00335226349888003,-1.09386587571652,0.041,0.253,1,"H6pd","KO_vs_WT"
0.00336970566152053,2.22360160897321,0.204,0.04,1,"Prkab1","KO_vs_WT"
0.00343771200807835,-1.62196037559684,0.041,0.253,1,"Brd3","KO_vs_WT"
0.00345258694256172,-3.14948834805255,0,0.16,1,"Tmem214","KO_vs_WT"
0.00345258694256172,-3.04721089861192,0,0.16,1,"Cln8","KO_vs_WT"
0.00360589838957488,0.382435750616057,0.98,1,1,"Calm1","KO_vs_WT"
0.00371468404947886,-1.08331250827238,0.163,0.44,1,"Plxnd1","KO_vs_WT"
0.00381146426884827,-1.8940632822105,0.041,0.24,1,"Adar","KO_vs_WT"
0.00381951469200436,-1.34341561507048,0.163,0.413,1,"Pno1","KO_vs_WT"
0.00385994493518456,-1.12374132942646,0.143,0.413,1,"Tdg","KO_vs_WT"
0.00388515870447458,-1.50038030727346,0.061,0.267,1,"Xaf1","KO_vs_WT"
0.00389605987755934,-0.988988030947073,0.245,0.547,1,"Mak16","KO_vs_WT"
0.0039611841270069,0.991139362079542,0.592,0.387,1,"1810026B05Rik","KO_vs_WT"
0.00400026550694619,-0.746582840779131,0.367,0.68,1,"Fam133b","KO_vs_WT"
0.00400039135158724,-0.63326588760473,0.367,0.68,1,"Marcksl1","KO_vs_WT"
0.00402040512768565,-2.24926388627362,0.082,0.293,1,"Rhbdd1","KO_vs_WT"
0.0040308496846572,-1.68330505830547,0.061,0.28,1,"Erlec1","KO_vs_WT"
0.00406875810810158,-0.910668448120124,0.367,0.68,1,"Sbno1","KO_vs_WT"
0.00407029863083364,-0.909587537467417,0.265,0.547,1,"Medag","KO_vs_WT"
0.00411285353713508,-3.52500210454851,0.082,0.293,1,"Spp1","KO_vs_WT"
0.00416439043877538,-2.57754107829149,0.041,0.24,1,"Btbd11","KO_vs_WT"
0.00427790704063081,-0.694887504533234,0.551,0.8,1,"Lamp1","KO_vs_WT"
0.00428512829835997,-1.54592112146581,0.143,0.387,1,"Anp32a","KO_vs_WT"
0.00437380896673505,-0.65121218584701,0.469,0.76,1,"Tmem176b","KO_vs_WT"
0.00439073025233472,0.588077036883498,0.878,0.8,1,"Aff4","KO_vs_WT"
0.00443342932598498,-1.89744982536758,0.163,0.4,1,"Ammecr1","KO_vs_WT"
0.00446197077337698,-1.24791479653907,0.184,0.453,1,"Actl6a","KO_vs_WT"
0.00449280765926734,-1.0425141505996,0.163,0.427,1,"Rab3gap1","KO_vs_WT"
0.00457803786753734,-0.774356241533573,0.245,0.533,1,"Tmem167","KO_vs_WT"
0.00459592013746105,-2.03177324762031,0.02,0.2,1,"Acsl5","KO_vs_WT"
0.00460317264210866,-1.10828035907301,0.102,0.333,1,"Fam111a","KO_vs_WT"
0.00463075091514707,-0.549073260513291,0.918,0.973,1,"Rps28","KO_vs_WT"
0.00463639733848009,-1.50423644809387,0.061,0.28,1,"Tfdp1","KO_vs_WT"
0.00465807505707416,-0.884119185317853,0.367,0.627,1,"Zfas1","KO_vs_WT"
0.00469301319197059,1.77121915382481,0.347,0.147,1,"Slc7a6","KO_vs_WT"
0.00488885774375203,0.696679299028244,0.796,0.613,1,"Cldnd1","KO_vs_WT"
0.00495522426692561,-0.589618301472539,0.082,0.32,1,"Ube2e3","KO_vs_WT"
0.00500194381626044,-1.62500623375881,0.143,0.373,1,"Stub1","KO_vs_WT"
0.00503413163142522,-0.591446082190346,0.531,0.773,1,"Tmed10","KO_vs_WT"
0.00504311768099719,4.01965922384177,0.102,0,1,"Map3k7cl","KO_vs_WT"
0.00515157151072811,-0.566910879253815,0.735,0.893,1,"Eef1g","KO_vs_WT"
0.00521169671372235,-0.77318873367219,0.265,0.547,1,"Ptbp2","KO_vs_WT"
0.00523800958292157,1.08533638483292,0.612,0.427,1,"Zcchc14","KO_vs_WT"
0.00530215688792933,0.348411941920415,0.939,1,1,"Cd9","KO_vs_WT"
0.00530778354627934,-2.91965056796411,0,0.147,1,"Pigm","KO_vs_WT"
0.00530778354627934,-3.54818470921746,0,0.147,1,"Coq5","KO_vs_WT"
0.00530778354627934,-3.13049776002291,0,0.147,1,"Cnpy4","KO_vs_WT"
0.00530778354627934,-3.25040854364002,0,0.147,1,"Zfp868","KO_vs_WT"
0.00530778354627934,-3.13598118697015,0,0.147,1,"Casp12","KO_vs_WT"
0.00530778354627934,-2.93855801925431,0,0.147,1,"Flrt2","KO_vs_WT"
0.00530778354627934,-3.00595384072797,0,0.147,1,"Golm1","KO_vs_WT"
0.00530778354627934,-3.02077549177459,0,0.147,1,"Irak4","KO_vs_WT"
0.00530778354627934,-3.25758428921334,0,0.147,1,"H2-Q7","KO_vs_WT"
0.00530778354627934,-2.98565354207669,0,0.147,1,"Gpc3","KO_vs_WT"
0.00540817937950917,-1.48694641279633,0.327,0.64,1,"Tslp","KO_vs_WT"
0.00542852349530215,-0.616055571899098,0.612,0.907,1,"Vapa","KO_vs_WT"
0.00543820073949538,-1.49349462891757,0.143,0.387,1,"Scarb2","KO_vs_WT"
0.00544611616142108,-2.57608714929942,0.02,0.187,1,"Cox11","KO_vs_WT"
0.00549640476522535,2.81098734502082,0.163,0.027,1,"Slc35e2","KO_vs_WT"
0.00568218867954866,2.92782637210584,0.163,0.027,1,"Cenpx","KO_vs_WT"
0.00570763724955621,-1.92269640832463,0.082,0.28,1,"Ndufs1","KO_vs_WT"
0.0057822828051305,3.02957355669669,0.184,0.04,1,"S100a7a","KO_vs_WT"
