"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
3.68246382938014e-12,1.23401276674389,0.966,0.87,9.2135245011091e-08,"Gsto1","KO_vs_WT"
7.29341438046103e-08,1.21842477190085,0.915,0.623,0.00182481227799135,"Sprr1a","KO_vs_WT"
7.83486428627268e-07,1.23110863644055,0.814,0.584,0.0196028304442542,"Krt5","KO_vs_WT"
1.36819917329057e-06,-2.94654395715494,0.085,0.468,0.03423234331573,"Gm8797","KO_vs_WT"
5.50240119858527e-06,-0.598974884805655,0.949,1,0.137670077988603,"mt-Co3","KO_vs_WT"
1.25116189274241e-05,1.27872726318317,0.763,0.494,0.313040705564151,"Plet1","KO_vs_WT"
1.76272399701821e-05,-1.22845490815954,0.915,0.935,0.441033544053957,"B2m","KO_vs_WT"
2.6148113757814e-05,-4.01958475112348,0.034,0.325,0.654225806220508,"H2-Q7","KO_vs_WT"
3.68133045107593e-05,-1.50223104304082,0.61,0.805,0.921068878859199,"H2-D1","KO_vs_WT"
4.36520423362151e-05,-1.53629867854852,0.593,0.779,1,"H2-K1","KO_vs_WT"
8.53212054289553e-05,-1.18643703217865,0.322,0.636,1,"Mmp3","KO_vs_WT"
0.000111074644602986,4.19419303441513,0.237,0.026,1,"Eif3j2","KO_vs_WT"
0.00012091041755954,-1.12904509617389,0.492,0.805,1,"Eif5b","KO_vs_WT"
0.000134046830224531,-2.300292335335,0.068,0.351,1,"Cbx5","KO_vs_WT"
0.000152563933861589,-2.50116930113906,0.186,0.494,1,"Cacna2d1","KO_vs_WT"
0.000264359006281414,0.56684143432923,0.949,0.883,1,"Krt16","KO_vs_WT"
0.000393677697554365,-3.54965768696016,0.034,0.26,1,"Lsmem1","KO_vs_WT"
0.000435372545649061,0.574081483141085,0.983,0.896,1,"Tnfrsf12a","KO_vs_WT"
0.000545002478119955,2.5102218898791,0.339,0.117,1,"Slc25a33","KO_vs_WT"
0.000581495141099613,2.0020006033118,0.39,0.156,1,"Krt15","KO_vs_WT"
0.000687524154059807,-1.51993535356628,0.169,0.455,1,"Rbis","KO_vs_WT"
0.000711825139571756,1.75983825362924,0.322,0.091,1,"Cdc42ep3","KO_vs_WT"
0.00071796050570366,-1.80448530952543,0.085,0.338,1,"Ankrd40","KO_vs_WT"
0.000773793843844414,-1.16057567292411,0.237,0.532,1,"Pgk1","KO_vs_WT"
0.000870208434107001,1.02363230002212,0.559,0.325,1,"Krt6b","KO_vs_WT"
0.000914911588600075,-1.66115870433645,0.068,0.312,1,"Myef2","KO_vs_WT"
0.000920728335019353,-0.773821392948458,0.729,0.831,1,"Crip1","KO_vs_WT"
0.00115273868250453,-1.26172953651907,0.288,0.584,1,"Ndufb7","KO_vs_WT"
0.00123201763929297,-1.64912329916785,0.085,0.325,1,"Cdip1","KO_vs_WT"
0.00128959645328932,-1.79748104470346,0.051,0.273,1,"Alas1","KO_vs_WT"
0.00138452393969671,-1.9449167474048,0.102,0.338,1,"Ehbp1","KO_vs_WT"
0.00139326917673772,-1.89336765975424,0.068,0.299,1,"Cdk5rap2","KO_vs_WT"
0.00142827024883462,1.03640021220743,0.678,0.506,1,"Pole4","KO_vs_WT"
0.00147930731689416,-1.11523476429124,0.203,0.481,1,"Sfrp1","KO_vs_WT"
0.00177317940116755,-1.61318317393283,0.119,0.364,1,"Slc35b1","KO_vs_WT"
0.00181200121194472,-1.55592639394982,0.068,0.286,1,"Map2k7","KO_vs_WT"
0.00190676431630784,-0.671337688204445,0.712,0.935,1,"Tiparp","KO_vs_WT"
0.00197942936699502,-1.35948143837014,0.39,0.61,1,"Lrrc8c","KO_vs_WT"
0.00203645504411374,4.04425432853974,0.119,0,1,"Gga3","KO_vs_WT"
0.00203671260877049,0.839842886395341,0.763,0.714,1,"Krt12","KO_vs_WT"
0.00221222795760246,-3.77377544683099,0.017,0.182,1,"Epb41l5","KO_vs_WT"
0.00231605326967959,0.947237809506883,0.78,0.623,1,"Hspb1","KO_vs_WT"
0.00239793677092777,-3.06124048407518,0.017,0.182,1,"9330111N05Rik","KO_vs_WT"
0.00259108125841257,-0.416602795647866,0.932,0.948,1,"Rpl35","KO_vs_WT"
0.0026091153265856,1.15659244084401,0.644,0.494,1,"Gsta4","KO_vs_WT"
0.0027106596959589,0.638921653944871,0.949,0.753,1,"Cltb","KO_vs_WT"
0.00296505829247809,-1.95666730069094,0.017,0.182,1,"Atmin","KO_vs_WT"
0.00303158905217525,-2.76900706220288,0.441,0.662,1,"Slpi","KO_vs_WT"
0.00320359059781269,-0.682986431110061,0.508,0.792,1,"BC005537","KO_vs_WT"
0.0032222683386636,-1.78187594077172,0.085,0.299,1,"Sdf2l1","KO_vs_WT"
0.00333548283212909,0.688906425255629,0.881,0.727,1,"Cnbp","KO_vs_WT"
0.00340563876475591,2.25955942607414,0.237,0.065,1,"Slc7a6","KO_vs_WT"
0.00341232376661006,0.834229575638844,0.78,0.675,1,"Krt6a","KO_vs_WT"
0.00345329846131899,-2.1367380872084,0.068,0.26,1,"Stx8","KO_vs_WT"
0.00357687542242002,-1.02827389349486,0.136,0.377,1,"Ppp1r11","KO_vs_WT"
0.00373498865917376,-1.00409871889592,0.678,0.883,1,"Cxcl2","KO_vs_WT"
0.0038546609498605,0.499345622486908,0.898,0.948,1,"Krt14","KO_vs_WT"
0.00391959400979258,-2.06193770781777,0.068,0.26,1,"Bola3","KO_vs_WT"
0.00391959400979258,-2.33146111972038,0.068,0.26,1,"Arhgap18","KO_vs_WT"
0.00397242382343648,-0.714853861008372,0.288,0.558,1,"Rtf1","KO_vs_WT"
0.00398042654735953,-1.0731907151095,0.407,0.61,1,"Rybp","KO_vs_WT"
0.00426802113183956,-3.79669087308663,0,0.13,1,"Ifih1","KO_vs_WT"
0.00426802113183956,-4.1579076766218,0,0.13,1,"Adcy9","KO_vs_WT"
0.00426802113183956,-4.31828884888575,0,0.13,1,"H2-Ab1","KO_vs_WT"
0.00426802113183956,-3.81507395690935,0,0.13,1,"Ndufaf7","KO_vs_WT"
0.00430152875805585,-1.037278301754,0.237,0.494,1,"Tecr","KO_vs_WT"
0.00433795810472403,-1.66504071268572,0.085,0.299,1,"Zfp787","KO_vs_WT"
0.00455250783184105,-1.29171239239443,0.237,0.468,1,"Rarres2","KO_vs_WT"
0.00484596115026797,-0.979624714218206,0.356,0.623,1,"Sap18","KO_vs_WT"
0.00496396330951582,-1.28701355718147,0.288,0.506,1,"Flna","KO_vs_WT"
0.00512614762469817,0.585362337147768,0.763,0.701,1,"Ddx6","KO_vs_WT"
0.00521914298101499,-1.45018291251724,0.051,0.234,1,"Bcar3","KO_vs_WT"
0.00537941348044588,-1.40880410212729,0.169,0.377,1,"Myo9b","KO_vs_WT"
0.00548832731772656,-1.09448233037826,0.22,0.455,1,"Sec61a1","KO_vs_WT"
0.00556756103496877,-1.28841525640241,0.068,0.26,1,"Ipo9","KO_vs_WT"
0.00559826735370935,-1.99753285854783,0.068,0.247,1,"Ttc28","KO_vs_WT"
0.00566381196407103,-2.39415015244244,0.034,0.195,1,"Dop1a","KO_vs_WT"
0.00566381196407103,-2.17698314103271,0.034,0.195,1,"Cdk2","KO_vs_WT"
0.00587945524040223,1.17440139333059,0.441,0.247,1,"Timm9","KO_vs_WT"
0.00590865927176054,-1.1951506582741,0.169,0.403,1,"Snrnp27","KO_vs_WT"
0.00593502041321718,-2.80042274207316,0.051,0.221,1,"Elp1","KO_vs_WT"
0.00593502341148966,-1.89882110854454,0.034,0.195,1,"Tbc1d22a","KO_vs_WT"
0.00597995545478828,3.31241326158329,0.153,0.026,1,"Zbtb40","KO_vs_WT"
0.00606800154224087,1.58647760109957,0.356,0.156,1,"Cpne8","KO_vs_WT"
0.00614124720823225,-0.741401036849285,0.373,0.636,1,"Atp5j","KO_vs_WT"
0.0063162971376668,-1.1665889002336,0.339,0.584,1,"Mbtd1","KO_vs_WT"
0.00636381648115376,-1.66083526586586,0.034,0.195,1,"Ncln","KO_vs_WT"
0.00673016795764069,-1.90420848644588,0.068,0.247,1,"Gas2l1","KO_vs_WT"
0.00678160347241392,-0.282520767076889,0.254,0.494,1,"Acod1","KO_vs_WT"
0.0069275352864574,-3.68214974765289,0,0.117,1,"B4galt7","KO_vs_WT"
0.0069275352864574,-4.29838966082739,0,0.117,1,"Gm14636","KO_vs_WT"
0.0069275352864574,-3.56815517131544,0,0.117,1,"Bgn","KO_vs_WT"
0.00698286839390099,-0.878549051896165,0.407,0.662,1,"Chmp2a","KO_vs_WT"
0.00712095528569897,-0.898979649051743,0.203,0.442,1,"Cd151","KO_vs_WT"
0.00714978594418759,-1.30636154852916,0.237,0.468,1,"Osbpl9","KO_vs_WT"
0.00715085785973395,-1.64240301577874,0.068,0.247,1,"Fam117b","KO_vs_WT"
0.0071833247390932,-0.869091028624035,0.407,0.636,1,"Col16a1","KO_vs_WT"
0.00736064477358403,-1.60107215840268,0.051,0.221,1,"Soat1","KO_vs_WT"
0.00740392663021964,-1.54036412873046,0.22,0.429,1,"Eif3l","KO_vs_WT"
0.00745544383592528,0.729923690282452,0.847,0.766,1,"Phlda1","KO_vs_WT"
0.00749474798804064,-0.808125215204315,0.119,0.338,1,"Crebrf","KO_vs_WT"
0.00768302425280914,-0.535598346125965,0.932,0.935,1,"Sptbn1","KO_vs_WT"
0.00769755028180536,-1.7790859703665,0.085,0.26,1,"Fstl1","KO_vs_WT"
0.00790200449250439,-1.01202104508351,0.424,0.649,1,"Ep400","KO_vs_WT"
0.00808197213986357,-2.63971482157388,0.034,0.182,1,"Serping1","KO_vs_WT"
0.00814942801083292,-0.407490293041624,0.915,0.961,1,"Rpl22","KO_vs_WT"
0.00827158520955208,-2.16085041777022,0.034,0.182,1,"Mfsd14b","KO_vs_WT"
0.00831015342450735,1.83616659187456,0.373,0.208,1,"Spred1","KO_vs_WT"
0.00835119597296565,1.01169889584177,0.559,0.364,1,"Tubb2a","KO_vs_WT"
0.00837185694578933,-1.16935329642448,0.322,0.558,1,"Myo9a","KO_vs_WT"
0.00843258400473997,0.996477821883891,0.441,0.234,1,"Brox","KO_vs_WT"
0.00858578708928093,-0.563346550760478,0.475,0.701,1,"Cox7b","KO_vs_WT"
0.00874059281276111,1.17304699457527,0.373,0.182,1,"Myo6","KO_vs_WT"
0.00886453270797104,-2.14315013438079,0.034,0.182,1,"Cxcl16","KO_vs_WT"
0.00889486317255213,2.98386567991421,0.186,0.052,1,"Psca","KO_vs_WT"
0.00907045781884276,-1.85085100936636,0.034,0.182,1,"Exoc6","KO_vs_WT"
0.00909182240553297,0.620901811172272,0.814,0.688,1,"Arf1","KO_vs_WT"
0.00910733494960621,-2.81118216483845,0.051,0.208,1,"Ifi27l2a","KO_vs_WT"
0.00930300832940349,-2.06279420736072,0.051,0.208,1,"Ythdc2","KO_vs_WT"
