"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
3.24324573780635e-81,1.10727203130761,0.828,0.516,8.11460083599149e-77,"Psca","KO_vs_WT"
1.89676566693339e-77,-2.94143218882983,0.209,0.483,4.74570769866734e-73,"9330111N05Rik","KO_vs_WT"
6.07765083861719e-77,1.23374189577562,0.668,0.402,1.52062823982202e-72,"Cnfn","KO_vs_WT"
6.0086387157628e-70,-3.50067642351929,0.09,0.354,1.50336140668385e-65,"H2-Q7","KO_vs_WT"
3.45298055432152e-59,1.21761760193448,0.862,0.694,8.63935734691244e-55,"Gm47283","KO_vs_WT"
5.56769378431882e-53,1.86567166346066,0.324,0.093,1.39303698483657e-48,"Gm49980","KO_vs_WT"
1.26076177149808e-45,1.71855069341245,0.297,0.097,3.15442595228819e-41,"Ltf","KO_vs_WT"
8.59484887343509e-44,0.689147053420018,0.947,0.861,2.15043118813346e-39,"Krt6b","KO_vs_WT"
1.17850631097886e-43,-1.42168209710595,0.448,0.61,2.94862279006911e-39,"Gm8797","KO_vs_WT"
1.52638011894765e-42,1.80739903412824,0.359,0.145,3.81900305760703e-38,"Nccrp1","KO_vs_WT"
8.04268820724365e-41,-1.43605109254747,0.888,0.871,2.01228058945236e-36,"B2m","KO_vs_WT"
2.73071685598565e-39,-1.6841463934327,0.179,0.394,6.83225357367609e-35,"Cxcl14","KO_vs_WT"
5.58989254579049e-39,0.730989073754694,0.939,0.839,1.39859111495678e-34,"Krt15","KO_vs_WT"
9.05094690398942e-39,-1.96592336373729,0.106,0.306,2.26454691537815e-34,"Ifi27l2a","KO_vs_WT"
5.2542260855193e-38,0.39672079514754,0.984,0.949,1.31460736659693e-33,"Sprr1a","KO_vs_WT"
5.3372696764546e-37,1.92419736758758,0.312,0.13,1.33538487304894e-32,"Eif3j2","KO_vs_WT"
1.31446850978309e-36,-0.302556820131708,0.988,0.986,3.2888002114773e-32,"mt-Co3","KO_vs_WT"
1.07124941447067e-35,0.434266634022882,0.997,0.968,2.68026603500562e-31,"Gsto1","KO_vs_WT"
3.32979287555964e-35,-0.537000316623365,0.884,0.887,8.33114177465021e-31,"Nudcd3","KO_vs_WT"
8.68592269690791e-33,0.419201227702515,0.574,0.371,2.17321785876636e-28,"Prss27","KO_vs_WT"
2.1676182979737e-32,1.31174764529957,0.297,0.113,5.4233809815302e-28,"Trim72","KO_vs_WT"
3.95667883827143e-32,-0.32382694186597,0.954,0.929,9.89961045335511e-28,"Uba52","KO_vs_WT"
5.38997507534707e-32,0.563803113826465,0.908,0.797,1.34857176385184e-27,"Ifitm1","KO_vs_WT"
8.35298638797436e-32,1.20761721788553,0.165,0.035,2.08991719427119e-27,"Gcnt1","KO_vs_WT"
1.19199838060772e-28,-2.17637266410959,0.05,0.185,2.98237994828051e-24,"H2-Q6","KO_vs_WT"
5.90370962325845e-28,-0.38522247970511,0.944,0.917,1.47710814773927e-23,"H2-K1","KO_vs_WT"
2.05064983192081e-26,1.8781038267554,0.218,0.08,5.13072587946586e-22,"Ttr","KO_vs_WT"
4.8437942302356e-26,1.57677344104495,0.241,0.101,1.21191731640495e-21,"Ccr3","KO_vs_WT"
6.26138863290775e-26,-0.808410613622045,0.615,0.698,1.56659943595352e-21,"1500015L24Rik","KO_vs_WT"
1.9344449945629e-25,0.322105853295184,0.502,0.298,4.83998137639638e-21,"Lce3a","KO_vs_WT"
2.54992049540771e-25,-1.41247751951717,0.308,0.155,6.37990107951008e-21,"Hbb-bs","KO_vs_WT"
6.52250988958901e-25,0.299155175200818,0.921,0.865,1.63193197437517e-20,"Ostf1","KO_vs_WT"
2.44360349438261e-22,0.868322822767963,0.553,0.413,6.11389594294529e-18,"Sprr2d","KO_vs_WT"
2.88796326717416e-22,0.608078861077045,0.741,0.598,7.22568409446974e-18,"Tubb2b","KO_vs_WT"
7.76794547166682e-22,-0.410462366703739,0.733,0.612,1.94353995701104e-17,"Arg1","KO_vs_WT"
1.36472586190406e-21,0.734082144091363,0.456,0.289,3.41454410648395e-17,"Stfa1","KO_vs_WT"
1.71121233125009e-21,0.320369033004589,0.975,0.921,4.28145325278773e-17,"Mal","KO_vs_WT"
2.73738411513993e-21,0.418140799525013,0.616,0.455,6.84893505608011e-17,"Rfk","KO_vs_WT"
3.9747541415674e-20,1.34851405243913,0.37,0.211,9.94483486220164e-16,"Crct1","KO_vs_WT"
4.01483738980957e-20,0.429947595129602,0.729,0.602,1.00451231493036e-15,"Ciapin1","KO_vs_WT"
7.93915447713156e-20,0.619191278369891,0.401,0.251,1.98637645017832e-15,"Slc5a1","KO_vs_WT"
8.47156501335053e-20,-0.378961692206401,0.897,0.885,2.1195855663403e-15,"Gm2000","KO_vs_WT"
1.3486355740379e-19,0.7954659568768,0.558,0.409,3.37428620624282e-15,"Trac","KO_vs_WT"
3.8528207874174e-19,0.871942311648846,0.638,0.526,9.63975761011834e-15,"Sprr2f","KO_vs_WT"
1.05667286445577e-18,-0.984368540364793,0.36,0.502,2.64379550686834e-14,"Psmb8","KO_vs_WT"
1.11951696938368e-18,0.918842254082225,0.39,0.242,2.80103145739797e-14,"Krt23","KO_vs_WT"
1.38904645507834e-18,0.506059661220565,0.524,0.366,3.47539423060601e-14,"Cysrt1","KO_vs_WT"
1.50506336584155e-18,0.567553917911922,0.548,0.395,3.76566854133556e-14,"Mid1","KO_vs_WT"
1.81583915350709e-18,0.44668566547085,0.847,0.725,4.54322956207475e-14,"Sbsn","KO_vs_WT"
7.80997322414349e-18,0.388559431910758,0.842,0.746,1.9540553006807e-13,"Tmem33","KO_vs_WT"
1.30779067565671e-17,0.603743237692733,0.538,0.373,3.27209227049309e-13,"Trex2","KO_vs_WT"
2.06051593080789e-17,0.66343321810583,0.758,0.675,5.15541085888135e-13,"Dmkn","KO_vs_WT"
2.13348542896332e-17,0.652413875803052,0.629,0.501,5.33798054326623e-13,"Tubb2a","KO_vs_WT"
4.3814714150679e-17,0.28112817271827,0.996,0.981,1.09624414804999e-12,"Krt14","KO_vs_WT"
1.08400685109231e-16,0.272159827608141,0.938,0.885,2.71218514143296e-12,"Strn3","KO_vs_WT"
1.10055519986135e-16,0.450727910223358,0.882,0.793,2.75358911005309e-12,"Lpin2","KO_vs_WT"
1.55676780588907e-16,0.697416328680424,0.676,0.531,3.89503305033445e-12,"Hopx","KO_vs_WT"
1.74964818508215e-16,-0.699724791826263,0.116,0.035,4.37761975907554e-12,"Hbb-bt","KO_vs_WT"
1.92880727283329e-16,-0.421554936853768,0.922,0.89,4.82587579662888e-12,"Wdr89","KO_vs_WT"
2.57534038869408e-16,0.679432643467234,0.272,0.153,6.4435016525126e-12,"Sprr2i","KO_vs_WT"
4.56750684978713e-16,0.46288447987713,0.613,0.479,1.14279021381674e-11,"Ceacam1","KO_vs_WT"
5.57613574612894e-16,0.316109315135265,0.675,0.537,1.39514916368146e-11,"Emb","KO_vs_WT"
1.46421127742517e-15,-1.77296440174902,0.179,0.082,3.66345661611778e-11,"Hba-a2","KO_vs_WT"
2.10453682519177e-15,-0.868774666640782,0.122,0.042,5.26555113662981e-11,"Crygb","KO_vs_WT"
2.3792489269512e-15,0.458763906691724,0.7,0.579,5.9528808152319e-11,"Tuba1a","KO_vs_WT"
