"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
0,0.402684194717221,0.909,0.73,0,"Psca","KO_vs_WT"
0,-0.982011379124585,0.672,0.821,0,"Rps27rt","KO_vs_WT"
0,-1.03533788495514,0.775,0.895,0,"Gm2000","KO_vs_WT"
0,-0.903156314361379,0.816,0.914,0,"Nudcd3","KO_vs_WT"
0,-0.891336699731963,0.877,0.944,0,"Wdr89","KO_vs_WT"
0,-0.890943015203847,0.942,0.986,0,"D130009I18Rik","KO_vs_WT"
0,0.435233202454938,0.998,0.999,0,"Rpl10","KO_vs_WT"
1.0862906371972e-307,-1.08618290099148,0.57,0.75,2.7178991742674e-303,"Gm14164","KO_vs_WT"
1.69491271700197e-275,0.400470037169459,0.987,0.984,4.24067161793894e-271,"Gm10076","KO_vs_WT"
3.35690635255912e-244,0.294762074812971,0.999,0.998,8.39897969410291e-240,"Rps13","KO_vs_WT"
2.85242931049304e-231,-0.833208514836753,0.661,0.789,7.13677813485359e-227,"Rpl9-ps6","KO_vs_WT"
1.39705587977473e-204,-0.334764714972528,0.988,0.992,3.49543381119638e-200,"Dstn","KO_vs_WT"
7.22653124663088e-193,-0.635979751579191,0.75,0.829,1.80807811790705e-188,"Rpl10-ps3","KO_vs_WT"
1.96584332152697e-185,-2.42057091498077,0.053,0.234,4.91853999046048e-181,"Taf1c","KO_vs_WT"
1.19000658796453e-183,1.18774382741703,0.562,0.344,2.97739648308724e-179,"Irgm1","KO_vs_WT"
1.04647540820258e-172,0.272727870434463,0.999,1,2.61828147132285e-168,"Ubb","KO_vs_WT"
2.60978044309915e-171,0.601514055221791,0.905,0.817,6.52967066863408e-167,"Sap18","KO_vs_WT"
2.65173301351574e-155,-0.360704384577138,0.945,0.962,6.63463599981637e-151,"Uba52","KO_vs_WT"
9.14244175222302e-153,0.670249659823173,0.774,0.646,2.2874389264062e-148,"Hmga1","KO_vs_WT"
2.02745725417348e-135,-0.272030252989803,0.982,0.988,5.07269804994204e-131,"Arf5","KO_vs_WT"
3.6127340210299e-118,-0.579750109367096,0.652,0.748,9.0390605206168e-114,"Rrm2b","KO_vs_WT"
4.09031757878801e-112,-0.310627104833847,0.995,0.996,1.02339745821276e-107,"Aldh3a1","KO_vs_WT"
3.34722357693529e-110,-0.920170499134593,0.377,0.525,8.3747533894921e-106,"AC154200.1","KO_vs_WT"
5.09273138095533e-104,-0.520212694432688,0.715,0.786,1.27420139151502e-99,"Gm11808","KO_vs_WT"
1.61486871636142e-103,1.11537129488174,0.376,0.209,4.04040152833628e-99,"Trim72","KO_vs_WT"
1.88157043016623e-103,-0.835002594684672,0.413,0.553,4.70768921627591e-99,"Tecpr2","KO_vs_WT"
