"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison"
0,0.328308307744978,0.725,0.506,0,"Psca","KO_vs_WT"
2.97607049907014e-286,0.262977411817713,0.945,0.949,7.4461283886735e-282,"Rpl10","KO_vs_WT"
8.50893632932466e-271,-0.637039446674278,0.733,0.78,2.12893586959703e-266,"Nudcd3","KO_vs_WT"
6.59924111709413e-267,-1.43327619924426,0.363,0.526,1.65113012749695e-262,"Gm8797","KO_vs_WT"
1.28578321288645e-240,1.34863965368617,0.304,0.128,3.21702959864189e-236,"Trim72","KO_vs_WT"
1.62443064698582e-234,-2.16866469178553,0.167,0.321,4.06432547875853e-230,"9330111N05Rik","KO_vs_WT"
3.01174847744459e-234,1.18025107751239,0.539,0.346,7.53539469056637e-230,"Cnfn","KO_vs_WT"
5.80606438534101e-232,0.91806170999799,0.766,0.593,1.45267730921232e-227,"Gm47283","KO_vs_WT"
1.13859322554811e-229,2.16696312278308,0.222,0.077,2.84876025032137e-225,"Ltf","KO_vs_WT"
4.64229441057474e-220,-0.61597253034321,0.768,0.786,1.1615020615258e-215,"Wdr89","KO_vs_WT"
6.59870693310423e-205,-0.612072158243994,0.701,0.744,1.65099647466268e-200,"Gm2000","KO_vs_WT"
3.23755997861874e-176,0.274794264817965,0.834,0.719,8.10037506650409e-172,"Krt15","KO_vs_WT"
3.81132149906884e-165,-1.82291366532503,0.054,0.162,9.53592639067023e-161,"Taf1c","KO_vs_WT"
9.51557671129454e-155,-1.52395785667112,0.042,0.139,2.38079729316589e-150,"H2-Q7","KO_vs_WT"
1.2755445458997e-153,0.521961194651678,0.875,0.781,3.19141245384105e-149,"Ifitm1","KO_vs_WT"
2.00837788156407e-152,1.73323670982505,0.13,0.037,5.0249614596733e-148,"Gm49980","KO_vs_WT"
1.45433948871809e-151,-1.00979073494767,0.676,0.672,3.63875740077265e-147,"D130009I18Rik","KO_vs_WT"
1.56770684380684e-146,1.33531288609229,0.445,0.314,3.92240252320471e-142,"Ppbp","KO_vs_WT"
7.43515634912102e-141,-0.81889700752303,0.497,0.576,1.86027611855008e-136,"Gm14164","KO_vs_WT"
2.09202679060033e-139,1.89028692268831,0.125,0.038,5.23425103008203e-135,"Ttr","KO_vs_WT"
3.53475323048301e-136,-0.61181394309843,0.609,0.667,8.84395258266849e-132,"Rps27rt","KO_vs_WT"
1.76610961554699e-134,1.12596797567785,0.601,0.488,4.41880625809857e-130,"Dmkn","KO_vs_WT"
2.4928206038588e-128,0.295178994518801,0.997,0.992,6.23703715085472e-124,"S100a11","KO_vs_WT"
2.80619864781176e-126,1.20349012790939,0.102,0.027,7.02110901682502e-122,"Gcnt1","KO_vs_WT"
8.14552306373025e-125,0.947312414897626,0.706,0.589,2.03800987054531e-120,"Sbsn","KO_vs_WT"
3.37207714779083e-122,1.53416587457785,0.222,0.114,8.43693702377265e-118,"Eif3j2","KO_vs_WT"
2.3747229218288e-120,-4.8478801217712,0.029,0.103,5.94155675041565e-116,"Gm39469","KO_vs_WT"
3.72454079538067e-119,0.924883535285759,0.552,0.414,9.31880107004243e-115,"Prss22","KO_vs_WT"
3.79458763827398e-118,0.371770554577751,0.985,0.951,9.49405827096149e-114,"Gsto1","KO_vs_WT"
2.34872678906889e-115,0.468595863397245,0.362,0.227,5.87651442625037e-111,"Krt4","KO_vs_WT"
7.91322633960548e-115,0.390249250205958,0.931,0.916,1.97988923016929e-110,"Ctsl","KO_vs_WT"
1.90542098053842e-114,0.972108490052034,0.366,0.244,4.76736329330714e-110,"Sprr2d","KO_vs_WT"
1.51151390928501e-113,-0.296303199300217,0.831,0.836,3.78180780103109e-109,"Uba52","KO_vs_WT"
