"comparison","total_genes","up_genes","down_genes"
"KO_vs_WT_overall",950,97,68
"Injured_vs_Uninjured_overall",7179,2450,2225
"KO_vs_WT_Injured",3384,555,365
"KO_vs_WT_Uninjured",628,42,58
"Injured_vs_Uninjured_KO",7125,2266,2170
"Injured_vs_Uninjured_WT",7378,2421,2345
"KO_vs_WT_Fibroblasts",3000,71,35
"KO_vs_WT_Transient_amplifying_cells__TACs_",1986,59,28
"KO_vs_WT_Immune_cells",1253,67,62
"KO_vs_WT_Conjunctival_basal_epithelial_cells",2379,27,41
"KO_vs_WT_Corneal_basal_epithelial_cells",5587,226,583
"KO_vs_WT_Conjunctival_epithelial_cells",3713,227,116
"KO_vs_WT_Corneal_epithelial_cells",884,151,53
"KO_vs_WT_Schwann_cells",4683,3,1
"KO_vs_WT_Keratocytes",3189,32,6
"KO_vs_WT_Limbal_stem_cells__LSCs_",1987,33,34
"KO_vs_WT_Endothelial_cells",6102,4,2
"KO_vs_WT_Myofibroblasts",4758,2,1
