"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043588","skin development","130/4138","342/28905",0.380116959064327,2.65521524933649,12.5864465901829,1.11977775958681e-27,7.15314032824057e-24,3.26621491770007e-24,"Sprr2d/Sprr2e/Sprr2f/Tnf/Asprv1/Cd109/Tfap2c/Sox9/Ptgs1/Fermt1/Cstdc4/Mafb/Krt7/Igfbp5/Eda/Yap1/Irf6/Itga6/Palld/Cdh1/Fras1/Fgfr2/Apc/Egfr/Jup/Sprr2i/Errfi1/Klf4/Ash1l/Rock2/Clic4/Krt17/Met/Ppp3ca/Dsp/Il1a/Cldn4/Cdkn1a/Sfn/Krt5/Cflar/Krt14/Sprr2k/Inhba/Cyp26b1/Notch1/Sprr1b/Nfkbiz/Foxq1/Ovol1/Col3a1/Stfa2l1/Cnfn/Evpl/Exph5/Rela/Traf3ip2/Scel/Sprr2h/Fzd6/Grhl1/Srsf6/Csta1/Tcf7l1/Dll1/Pphln1/Ppard/Dhcr24/Vdr/Numa1/Sprr1a/Zfp750/Pax6/Flnb/Abca12/Txnip/Sgpp1/Pdgfa/Smo/Barx2/Rbpj/Tcf7l2/Dicer1/Tgfb2/Tgm1/Lama5/Kazn/Ptgs2/Slc39a2/Lrp4/Fuz/Krt1/Tradd/Lncpint/Alox12/Gorab/Med1/Celsr1/Enpp1/Cdh3/Bcl2/Ngfr/Atp7a/Itga2/Lgr4/Myo5a/Casp3/Ext1/Slc27a4/Stard7/Srf/Sav1/Stk4/Mreg/Slc39a7/Prss8/Asah1/Extl3/Col1a1/Trps1/Fst/Cdsn/Wnt10a/Hdac2/Nsun2/Ncoa3/Runx1/Ldb1/Sox21/Cers3",130
"GO:0007015","actin filament organization","158/4138","477/28905",0.331236897274633,2.31377537837682,11.826185039569,1.07999754101618e-25,3.44951214600567e-22,1.57509115060833e-22,"Actn1/Zeb2/Plek/Csf3/Cobl/Nebl/Lcp1/Sema5a/Phldb2/Pawr/Wnt4/Myo6/Pof1b/Pak1/Prkci/Fam171a1/Myo1e/Baiap2/Msrb1/Elmo1/Abl2/Pdlim1/Arhgef5/Tacstd2/Arhgap17/Gsn/Rock2/Met/Actn4/Sdc4/Arpc1b/Actg1/Tmsb4x/Tmsb10/Arpc5/Rnd3/Pfn1/Casp4/Gja1/Cfl1/Myo1b/F11r/Add3/Sh3kbp1/Map3k1/Myo1f/Capn1/Carmil1/Tpm4/Rac2/Cald1/Tpm1/Cx3cl1/Scin/Marcks/Shroom2/Twf2/Bcar1/Cnn2/Marcksl1/Hcls1/Sh3bp1/Id1/Fat1/Dbnl/Ccn2/Tagln2/Specc1l/Baiap2l1/Sh3pxd2b/Ap1ar/Prkn/Arhgef2/Clasp1/Aqp2/Hsp90b1/Coro1a/Cdc42ep2/Hip1/Gas7/Tmsb15b1/Pak3/Itgb5/Clasp2/Arhgef10l/Limd2/Tpm2/Fhdc1/Cap1/Emp2/Rhod/Arpc4/Inf2/Arhgap35/Myadm/Nckap1l/Ttc8/Tac1/Ccdc88a/Flna/Washc2/Cd47/Rac3/Gdpd2/Rhoj/Shroom4/Rgcc/Sirpa/Arap1/Arhgap40/Dpysl3/Trim27/Diaph2/Rflnb/Washc3/Pecam1/Bcl2/Actr2/Inppl1/Gmfg/Myo5a/Tmsb15b2/Tmeff2/Capza1/Rhof/Ptk2b/Aif1l/Cdc42ep1/Tesk1/Rhpn2/Ptger4/Trpv4/Slit2/Washc4/Srf/Tnnt2/Rhog/Naa80/Abitram/Cotl1/Elmo3/Rhou/Tsc1/Mad2l2/Arhgef18/Fermt2/Wasl/Gmfb/Arhgap18/Fmn1/Lpar1/Itgb1bp1/Swap70/Rhov/Nrp1/Washc5/Vasp/Pstpip2",158
"GO:0008544","epidermis development","138/4138","397/28905",0.347607052896725,2.42812514837599,11.7115846170148,7.43231474225837e-25,1.58258755245155e-21,7.22629619326244e-22,"Sprr2d/Sprr2e/Sprr2f/Tnf/Cd109/Tfap2c/Sox9/Ptgs1/Fermt1/Cstdc4/Mafb/Krt7/Igfbp5/Eda/Yap1/Myo6/Irf6/Hes1/Spint1/Palld/Cdh1/Fgfr2/Apc/Krtdap/Egfr/Sprr2i/Errfi1/Klf4/Rock2/Clic4/Krt17/Met/Cux1/Ppp3ca/Dsp/Il1a/Maff/Cldn4/Cdkn1a/Sfn/Krt5/Cflar/Krt14/Sprr2k/Inhba/Cyp26b1/Notch1/Sprr1b/Nfkbiz/Foxq1/Ovol1/Stfa2l1/Cnfn/Evpl/Exph5/Rela/Scel/Sprr2h/Fzd6/Grhl1/Srsf6/Csta1/Dll1/Pphln1/Ppard/Esrp1/Sult2b1/Cst6/Vdr/Numa1/Sprr1a/Zfp750/Gab1/Pax6/Klf7/Flnb/Abca12/Txnip/Sgpp1/Pdgfa/Smo/Barx2/Rbpj/Tprn/Dicer1/Tgfb2/Tgm1/Lama5/Kazn/Ptgs2/Slc39a2/Lrp4/Ntf3/Fuz/Krt1/Tradd/Lncpint/Alox12/Gorab/Med1/Plod3/Celsr1/Cdh3/Tmc1/Ripor2/Bcl2/Ngfr/Atp7a/Lgr4/Myo5a/Casp3/Ext1/Scrib/Aldh3a2/Stard7/Srf/Sav1/Stk4/Wdpcp/Mreg/Slc39a7/Prss8/Asah1/Extl3/Spink5/Jag2/Trps1/Clic5/Fst/Cdsn/Wnt10a/Hdac2/Nsun2/Ncoa3/Runx1/Ldb1/Sox21/Cers3",138
"GO:0001667","ameboidal-type cell migration","152/4138","470/28905",0.323404255319149,2.25906234896085,11.2488225285214,1.41790599858091e-23,2.26439587973371e-20,1.0339519794915e-20,"S100a9/Zeb2/Lcn2/Adtrp/Tnf/Folr1/Sema5a/Fn1/Kit/Sox9/Epb41l4b/Fermt1/Dock1/Pak1/Adam8/Fgfbp1/Dusp10/Apc/Pdlim1/Cd63/Jup/Hdac7/Tacstd2/Klf4/Rock2/Lamtor2/Pkn2/Met/Actn4/Sdc4/Jun/Sema4d/Rtn4/Hmox1/Hspb1/Efna1/Map2k3/Tpbg/Edn1/Pfn1/Notch1/Epb41l5/Acta2/Prl2c2/Cfl1/Timp1/Snai2/Thbs1/Calr/Akap12/Pmp22/Itgb2/Acvr1/Kitl/Col18a1/Nfe2l2/Ppard/Appl1/Tns3/Fndc3b/Nrp2/Mmp12/Iqsec1/Phactr4/Cxcr4/Amotl2/Bcar1/Sh3bp1/Gipc1/Pax6/Sgpl1/Sema3a/Pik3c2a/Ptprg/Cyp1b1/Cln3/Eppk1/Mmp9/Pik3cb/Zc3h12a/Efnb1/Clasp1/Coro1a/Smo/Plcg2/Ptp4a3/Fstl1/Has2/Dicer1/Efnb2/Tgfb2/Nr4a1/Anxa3/Pak3/Lama5/Adora2b/Hif1a/Clasp2/Ptgs2/Nr2f2/Sema4b/Cap1/Emp2/Sema7a/Gab2/Rab13/Itgb7/Rffl/Prcp/Cenpv/Gata3/Arsb/Alox12/Tac1/Edn2/Rhoj/Sema3d/Rgcc/Ceacam1/Apoe/Marveld3/Rras/Pecam1/Sash1/Anln/Tmigd1/Ctsh/Itga2/Cib1/Fgf1/P2rx4/Pik3r3/S100a2/Ptk2b/Sema3e/Tesk1/Grn/Slit2/Pdgfb/Srf/Dcn/Wdpcp/Sema4a/Prr5l/Card10/Hyal1/Vhl/Itgb1bp1/Adam17/Gna12/Nrp1/Ephb4",152
"GO:0019221","cytokine-mediated signaling pathway","152/4138","471/28905",0.322717622080679,2.25426603824119,11.2180830904549,1.80295838927496e-23,2.30345963813769e-20,1.05178898877493e-20,"Ppbp/Cxcl3/Ccl4/Cxcl2/Ccl3/Il1b/Fcer1g/Cxcl5/Irgm1/Crlf1/Csf3/Tnf/Il1rap/Kit/Lilrb4a/F3/Ccl6/Cxcl1/Eda/Ccrl2/Ereg/Yap1/Il10rb/Il6st/Traf1/Osmr/Fosl1/Lyn/Ccr1/Ythdf2/Il13ra1/Ptprc/Actn4/Il1a/Ecm1/Ifitm3/Ifitm1/Klf6/Ifitm2/Usp25/Ghr/Tjp2/Fkbp1a/Ptprf/Irak3/Il33/Rack1/Edn1/Notch1/Lifr/Nfkbiz/Txndc17/Egr1/Casp4/Il15ra/Arg1/Laptm5/Il1rn/Rela/Pf4/Traf3ip2/Acsl1/Csf2rb/Cd300lf/Spi1/Osm/Ifnar2/Tnfrsf1a/Ifih1/Cx3cl1/Appl1/Mmp12/Eed/Csf3r/Cntf/Igtp/Cxcr4/Nfkbia/Hcls1/Il18rap/Gab1/Trim44/Krt18/Ikbke/Il1r2/Irf1/Ccl7/Oas3/Tslp/Prkn/Krt8/Csf2/Il4ra/Parp14/Syk/Ccl2/Dicer1/Duox1/Eda2r/Ccdc3/Csf1/Irak2/Rbm15/Hif1a/Sh2b2/Il3ra/Lims1/Ifngr2/Irf7/Rffl/Il18r1/Stat1/Wbp1l/Stk39/Tradd/Dnaja3/Med1/Ifnar1/Edn2/Ceacam1/Trim56/Irak4/Stat2/Axl/Ikbkg/Il1rl2/Cib1/Il23r/Card14/Stat5b/Ext1/Bbs2/Cd24a/Ptk2b/Oasl1/Il20rb/Slit2/Pdgfb/Ttll12/Stat6/Traf3/Il1r1/Crebrf/Rnf113a2/Cebpa/Oasl2/Mettl3/Tank/Adam17/Il17ra/Irf5/Kras",152
"GO:2001233","regulation of apoptotic signaling pathway","144/4138","436/28905",0.330275229357798,2.30705787931057,11.2405994744192,2.16761146803044e-23,2.30778367629641e-20,1.05376339963375e-20,"S100a8/S100a9/Il1b/Tnf/Sfrp1/Nr4a2/Cth/Bag5/Wnt4/Yap1/Slc25a4/Tnfrsf12a/Itga6/Traf1/Acaa2/Sgk3/Usp47/Herpud1/G0s2/Ybx3/Ptprc/Atf4/Ctnna1/Sfpq/Atf3/Hmox1/Dnaja1/Hspb1/Rps7/Cflar/Sh3rf1/Inhba/Rack1/Zmynd11/Tnfrsf23/Fcmr/Snai2/Bax/Thbs1/Plscr1/Gas1/Cdkn2d/Rela/Igbp1/Pmp22/Osm/Acvr1/Bok/Nupr1/Prelid1/Nfe2l2/Fas/Cx3cl1/Ctsc/P4hb/Nrg1/Pdia3/Bcl2l11/Gclm/Ivns1abp/Mmp9/Pik3cb/Mapk8/Apaf1/Tnfrsf22/Prkn/Fyn/Itm2c/Csf2/Eno1/Triap1/Eya3/Tcf7l2/Tgfb2/Siah2/Grina/Bub1/Pink1/Casp8/G2e3/Hif1a/Ptgs2/Bmyc/Tnfaip3/Parp1/Prkra/Rad9a/Rffl/Tmem14a/Daxx/Mfn2/Muc1/Slc35f6/Tlr4/Ppp2r1b/Stradb/Bcl2l1/Pdcd7/Unc5b/Rnf183/Erp29/Clu/Dab2/Wfs1/Ikbkg/Ripk3/Pmaip1/Fzd1/Bcl2/Ngfr/Stx4a/Ctsh/Ddias/Mapk9/Bak1/Eno1b/Fbh1/Kdm6a/Mcl1/Hyou1/Il10/Stk4/Hells/Flcn/Rnf34/Sod2/Casp2/Pih1d1/Wwox/Trps1/Caap1/Zfp385a/Vhl/Mpv17l/Hdac2/Ctss/Ppif/Bid/Mnt/Serinc3/Htra2/Nrp1/Nle1/Dedd2",144
"GO:0097193","intrinsic apoptotic signaling pathway","121/4138","338/28905",0.357988165680473,2.50063990550848,11.3433162230061,3.308526886458e-23,3.01926710724196e-20,1.37863578983085e-20,"S100a8/S100a9/Bcl2a1b/Tnf/Tnfrsf1b/Mndal/Aldh2/Bag5/Trp53bp2/Arl6ip5/Ifi203/Hipk2/Usp47/Chac1/Polb/Herpud1/Ybx3/Bcl2a1d/Atf4/Sfpq/Perp/Cdkn1a/Hmox1/Dnaja1/Hspb1/Sfn/Rps7/Selenok/Stk24/Rack1/Pnp/Snai2/Bax/Plscr1/Fhit/Cdkn2d/Bcl3/Bcl2a1a/Topors/Bok/Nupr1/Tnfrsf1a/Nfe2l2/Pdk1/Tmem109/P4hb/Msh2/Bcl2l11/Cycs/Ikbke/Ivns1abp/Casp12/Cyp1b1/Mmp9/Pdk2/Pik3cb/Sgpp1/Apaf1/Prkn/Fyn/Eno1/Dnajc10/Triap1/Ifi209/Phlda3/Eda2r/Grina/Bub1/Pink1/G2e3/Mllt11/Hif1a/Ptgs2/Bmyc/Parp1/Prkra/Rad9a/Daxx/Muc1/Bcl2l1/Prkdc/Brca2/Rnf183/Erp29/Clu/Wfs1/Ikbkg/Ripk3/Pmaip1/Fzd1/Bcl2/Ddias/Casp3/Bak1/Eno1b/Bnip3/Fbh1/Kdm6a/Mcl1/Itpr1/Hyou1/Il10/Xpa/Hells/Flcn/Sod2/Diablo/Msh6/Casp2/Gskip/Crip1/Wwox/Ifi207/Zfp385a/Shisa5/Hdac2/Ppif/Bid/Serinc3/Htra2/Fnip2",121
"GO:0022411","cellular component disassembly","156/4138","496/28905",0.314516129032258,2.1969764885639,10.9909694355062,8.93530936627313e-23,7.1348445289691e-20,3.25786082288722e-20,"Irgm1/Plek/Igfbp3/Tnf/Plaat3/Asph/Lcp1/Sema5a/Mmp13/Sh3gl2/Chmp4c/Adrb2/Ddr1/Slc25a4/Hk2/Apc/Gsn/Huwe1/Ascc3/Kif5b/Rpl23/Sqstm1/Gabarap/Irak3/Rack1/Hdgfl3/Map2/Cfl1/Snai2/Bax/Usp10/Add3/Pdpn/Wdr47/Ngef/Bok/Carmil1/Rac2/Tpm1/Camsap2/Scin/Klc1/Iqsec1/Nrg1/Pex14/Shroom2/Twf2/Igtp/Plin2/Arid1a/Sh3bp1/Cidea/Eef2k/Wipi2/Nav3/Cln3/Ccn2/Specc1l/Pex5/Chmp4b/Ptrh1/Apaf1/Adamts5/Sh3pxd2b/Prkn/Arhgef2/C3/Clasp1/Retreg1/Aqp2/Nedd9/Cisd2/Tex264/Cdk1/Dicer1/Tgfb2/Top2a/Atg9b/Pink1/Dctn1/Optn/Vps13c/Hif1a/Cdk5/Clasp2/Lrba/Epha4/Ogfod1/Prkaa2/Bmyc/Mtif3/Stx17/Camsap1/Smarcd2/Nod2/Gabarapl1/Mfn2/Vps4b/Zfand1/Epg5/Srebf1/Itgam/Wipi1/Pelo/Dnase2a/Aurka/Tigar/Pik3c3/Chmp1b/Ufm1/Dnase1l3/Grwd1/Endog/Atg2a/Dusp3/Cib1/Klhdc10/Mid1/Capza1/Bnip3/Hsf1/Cd24a/Clec16a/Map1b/Snx30/Kdm4a/Trpv4/Atg10/Phb2/Atg9a/Cst3/Nedd1/Trnt1/Rnf41/Tmem39a/Katnb1/Dffa/Uvrag/Atg14/Uba5/Tpx2/Rubcn/Ctss/Smarcd1/Prkaa1/Tecpr1/Swap70/Atg4c/Trip4/Supt16/Htra2/Vps33a/Vps13d/Dnajc6/Dedd2/Dhx8",156
"GO:0007264","small GTPase-mediated signal transduction","142/4138","439/28905",0.323462414578588,2.2594686064268,10.8691078898554,4.0644445035965e-22,2.88485238766383e-19,1.31726031806619e-19,"Rras2/Rapgef5/Auts2/Rasgrf1/Dock1/Bcar3/Nucb2/Arhgef12/Rassf1/Baiap2/Elmo1/Dock10/Abl2/Cnksr1/Arhgap17/Rapgef2/Rock2/Rap2b/Mapkap1/Met/Camk2d/Sema4d/Rtn4/Hmox1/Gabarap/Ngf/Arhgap32/Ywhaq/Rnd3/Arhgef3/Notch1/Nup62/Col3a1/Ralbp1/Dock2/F11r/Eps8l2/Timp2/Pdpn/Plce1/Kitl/Rac2/Nradd/Arhgap42/Ralgps2/Tns3/Tiam1/Arhgef11/Iqsec1/Adra1b/Vav3/Nrg1/Dhcr24/Cyth4/Phactr4/Nfix/Mras/Sh3bp1/Ctnnal1/Tiam2/Rap1gap/Dbnl/Rasip1/Pik3cb/Rapgefl1/Cdc42bpa/Arhgef2/Dennd4c/Rit1/Cdc42ep2/Tgfb2/Arhgap31/Csf1/Arhgdia/Rapgef4/Rasa3/Sh2b2/Dock4/Sdcbp/Lrp4/Rhod/Prag1/Arhgap35/Mfn2/Ccdc88a/Dnaja3/Arhgap30/Rac3/Ophn1/Rhoj/Scai/Arhgap24/Abca1/Celsr1/Rasgef1b/Icmt/Apoe/Rap1gap2/Arhgap40/Cdc42se1/Rtkn/Pecam1/Ripor2/Ngfr/Farp2/Dgkz/Dock8/Rap2c/Rhof/Hacd3/Cdc42ep1/Rabif/Slit2/Srgap1/Kctd10/Spry1/Flcn/Rhog/Bcl6/Adrb1/Heg1/Notch2/Ralgapa2/Adgrg1/Rhou/Arhgef18/Rasa2/Rab9/Ralgds/Als2/Arhgap18/Dennd4a/Iqsec2/Lpar1/Rhov/Itsn1/Psd4/Arfgef2/Gna12/Nrp1/Itpkb/Kras",142
"GO:0010631","epithelial cell migration","115/4138","329/28905",0.349544072948328,2.44165573430919,10.7496991400638,3.67913699098324e-21,2.29239880284673e-18,1.04673847060085e-18,"S100a9/Zeb2/Lcn2/Adtrp/Tnf/Sema5a/Kit/Sox9/Epb41l4b/Fermt1/Dock1/Adam8/Fgfbp1/Dusp10/Apc/Cd63/Jup/Hdac7/Tacstd2/Klf4/Rock2/Pkn2/Met/Actn4/Jun/Rtn4/Hmox1/Hspb1/Efna1/Map2k3/Pfn1/Notch1/Epb41l5/Prl2c2/Snai2/Thbs1/Calr/Itgb2/Kitl/Col18a1/Nfe2l2/Ppard/Tns3/Iqsec1/Cxcr4/Bcar1/Sh3bp1/Gipc1/Sema3a/Pik3c2a/Ptprg/Cyp1b1/Cln3/Eppk1/Mmp9/Pik3cb/Zc3h12a/Clasp1/Coro1a/Plcg2/Ptp4a3/Fstl1/Has2/Dicer1/Efnb2/Tgfb2/Nr4a1/Anxa3/Adora2b/Hif1a/Clasp2/Ptgs2/Nr2f2/Emp2/Gab2/Rab13/Prcp/Gata3/Arsb/Alox12/Tac1/Edn2/Rhoj/Rgcc/Ceacam1/Apoe/Marveld3/Rras/Pecam1/Sash1/Anln/Tmigd1/Ctsh/Itga2/Cib1/Fgf1/P2rx4/Pik3r3/S100a2/Ptk2b/Tesk1/Grn/Slit2/Pdgfb/Srf/Dcn/Wdpcp/Sema4a/Card10/Hyal1/Vhl/Itgb1bp1/Adam17/Nrp1/Ephb4",115
