"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase-mediated signal transduction","165/4436","439/28905",0.375854214123007,2.44906809270187,13.0264016206576,1.85398484976577e-30,1.18858968718483e-26,5.09748255535599e-27,"Rras2/F11r/Rapgef5/Bcar3/Dock1/Rasgrf1/Arhgap32/Baiap2/Rnd3/Arhgef12/Eps8l2/Elmo1/Cnksr1/Tiam1/Dock10/Arhgap17/Rap2b/Mapkap1/Ywhaq/Dhcr24/Met/Ralbp1/Auts2/Rock2/Abl2/Arf6/Col3a1/Dock2/Csnk1a1/Hmox1/Iqsec1/Vav3/Dock4/Dbnl/Gabarap/Eps8l1/Tns3/Rtn4/Ralgps2/Rac2/Net1/Rheb/Timp2/Rapgef2/Sh3bp1/Nup62/Nucb2/Cyth4/Nckap1/Csf1/F2rl1/Arhgef11/Rassf1/Notch1/Rhod/Cadm4/Arhgef2/Ngf/Sema4d/Sh2b2/Pdpn/Rala/Rasip1/Arhgap31/Tgfb2/Arhgap24/Nradd/Rhoj/Nrg1/Rap1gap/Ccdc88a/Arhgap42/Rasa3/Rapgefl1/Arhgap1/Rap1gap2/Eps8/Plce1/Abca1/Cdc42ep2/Sdcbp/Ripor2/Kitl/Ctnnal1/Rac3/Bcl6/Gm14137/Farp1/Rtkn/Mfn2/Rap1b/Dgkz/Adra1b/Pecam1/Rasgef1b/Rapgef1/Mras/Dnaja3/Pdgfrb/Rapgef4/Celsr1/Lrp4/Arhgap30/Arhgdia/Lpar1/Adrb1/Nkiras2/Rap2c/Plk2/Dynlt1a/Rab39/Tiam2/Als2/Arhgap40/Rabif/Ngfr/Flcn/Ophn1/Ralgapa2/Rap2a/Col1a2/Notch2/Rhoq/Scai/Itsn1/Spry1/Srgap1/Prag1/Nrp1/Dok5/Rabgef1/Kctd10/Rab33b/Abi2/Foxm1/Icmt/Itpkb/Cbl/Tnk1/Dennd3/Kank1/Arl6/Rit1/Iqsec2/Dock5/Rapgef3/Apoe/Lipa/Stard13/Slit2/Pik3cb/Cdc42se2/Dennd4a/Dennd1a/Rab9/Rgl1/Cdon/Arfgef2/Dynlt1c/Gna12/Gna13/Chm/Rhoc/Myo9b/Itgav",165
"GO:0097193","intrinsic apoptotic signaling pathway","138/4436","338/28905",0.408284023668639,2.66038090715555,13.0737566237396,6.38482587889248e-30,1.64832096758898e-26,7.06912357435399e-27,"S100a8/S100a9/Bcl2a1b/Tnf/Tnfrsf1b/Trp53bp2/Polb/Mndal/Chac1/Aldh2/Arl6ip5/Bcl2a1d/Usp47/Rrm2b/Ybx3/Herpud1/Pnp/Hipk2/Stk24/Perp/Bcl3/Bcl2l11/Atf4/Bcl2a1a/Hspb1/Rack1/Dnaja1/Hmox1/Sfn/Cdkn1a/Rps7/Nfe2l2/Tpt1/Bok/Plscr1/Fis1/Bag5/Map2k4/Nupr1/Bax/Park7/Bcap31/Selenok/Tnfrsf1a/Cyp1b1/Ifi203/Sfpq/Pycard/Vdac2/Ikbke/Casp12/Fhit/Uaca/Tmem109/Sod2/Eda2r/Gsk3b/Ndufs3/Ptgs2/Hif1a/Cdkn2d/Cycs/Triap1/Snai2/Grina/Phlda3/Msh2/Stk25/Pink1/Fyn/Nck2/Cd74/Sgpp1/Bub1/Bnip3/Pdk1/Parl/P4hb/Prkra/Brca1/Mllt11/Itpr1/Eno1/Pdk2/Dnajc10/Apaf1/Pmaip1/Ddias/Wfs1/Topors/Il10/Fzd1/Bmyc/Rad9a/Prkn/Trp63/Parp1/Xpa/Rrp8/Hells/Atad5/Cebpb/Ifi207/Txndc12/Prkdc/Bid/Flcn/Hyou1/Brca2/Skil/Noc2l/Mbd4/Ei24/Mcl1/Kdm6a/Bcl2/Ikbkg/G2e3/Bcl2l1/Muc1/Casp3/Ddit3/Hdac2/Fbh1/Aen/Sod1/E2f1/Atf2/Zfas1/Pik3cb/Casp9/Steap3/Map3k5/Gskip/Pias4/Wwox/Pik3r1/Serinc3",138
"GO:0031589","cell-substrate adhesion","146/4436","369/28905",0.395663956639566,2.57814848211602,12.990657401272,7.71324739161902e-30,1.64832096758898e-26,7.06912357435399e-27,"Spp1/Actn1/Lgals1/Fermt3/Wnt4/Ccn1/Muc4/Sfrp1/Ddr1/Fermt1/Lypd3/Itga6/Efna5/Gcnt2/Jup/Phldb2/Dock1/Apod/Tacstd2/Thbs1/Tiam1/Cd63/Tnfrsf12a/Slk/Emp2/Ninj1/Actn4/Fndc3b/Hsd17b12/Sdc4/Trem1/Col3a1/Bcl2l11/Plet1/Itgb2/Ptprz1/Arpc2/Anxa2/S100a10/Cfl1/Actg1/Eda/Lamb1/Utrn/Adam8/Rac2/Epb41l5/Dusp22/Efna1/Marcks/Mink1/Antxr1/Nedd9/Csf1/Notch1/Rhod/Macf1/Dab2/Itgam/Pdpn/Coro1c/Has2/Fn1/Itga2b/Srcin1/Gsk3b/Adam15/Ccn2/Dag1/Atxn3/Ppard/Cdk5/Hacd1/Axl/Coro1a/Sned1/Itga5/Col8a1/Calr/Bcam/Sirpa/Lamb3/Carmil1/P4hb/Itgb4/Fermt2/Vcam1/Efemp2/Myadm/Rac3/Itgb5/Ap1ar/Npnt/Bcl6/Emilin1/Bcar1/Lims1/Pecam1/Ntn4/Npy/Pcsk5/Fbln2/Pdgfb/Epha1/Col1a1/Dusp3/Flna/Itga2/Ccdc80/Ccl25/Lama5/L1cam/Cdh11/Ptprj/Itga1/Nrp1/Bcl2/Clasp1/Vegfa/Serpine1/Lrp1/Kank1/Rras/Wdpcp/Dock5/Ptn/Tesk1/Ptk2b/Tsc1/Adam9/Pik3cb/Pxn/Stk4/Tyro3/Gpm6b/Smoc2/Itgb1bp1/Ecm2/Fmn1/Cdk6/Dmd/Fbln1/Pik3r1/Itgav/Camsap3/Trpm7",146
"GO:0043588","skin development","137/4436","342/28905",0.400584795321637,2.61021269359151,12.7544290298972,1.02155990914545e-28,1.63730514438288e-25,7.0218802175998e-26,"Tnf/Asprv1/Sprr2f/Sprr2e/Sprr2d/Ptgs1/Cstdc4/Ppl/Cd109/Tfap2c/Fermt1/Irf6/Cdh1/Itga6/Jup/Evpl/Sox9/Egfr/Palld/Csta1/Inhba/Scel/Stfa1/Zfp750/Klf4/Dhcr24/Met/Mafb/Igfbp5/Yap1/Fgfr2/Grhl1/Dsp/Errfi1/Apc/Rock2/Krt6b/Krt17/Col3a1/Stfa2l1/Cldn4/Krt5/Sprr1a/Il1a/Sfn/Krt6a/Cdkn1a/Cflar/Foxq1/Eda/Ovol1/Ppp3ca/Krt7/Traf3ip2/Fras1/Sprr2k/Cstdc5/Exph5/Krt16/Ash1l/Rela/Notch1/Nfkbiz/Rbpj/Fzd6/Pax6/Il18/Ext1/Pphln1/Cyp26b1/Tgfb2/Ptgs2/Tsg101/Lsr/Tcf7l1/Nsdhl/Smo/Ppard/Dll1/Krt80/Cdsn/Sprr2i/Runx1/Vdr/Sgpp1/Flnb/Slc39a2/Myo5a/Enpp1/Gorab/Prss8/Itgb4/Col5a2/Sprr2h/Barx2/Pou2f3/Trps1/Fuz/Krt1/Alox12/Txnip/Atp7a/Kazn/Trp63/Sav1/Cysrt1/Sprr1b/Celsr1/Lrp4/Col1a1/Krt78/Itga2/Stard7/Ngfr/Lama5/Tmprss13/Col1a2/Mreg/Lncpint/Bcl11b/Col6a1/Bcl2/Abca12/Slc39a7/Pou3f1/Casp3/Hdac2/Fst/Sufu/Krt14/Mysm1/Krt75/Stk4/Wnt10a/Pias4/Cnfn/Slc27a4",137
"GO:2001233","regulation of apoptotic signaling pathway","160/4436","436/28905",0.36697247706422,2.39119464597414,12.462686446534,3.21897445921334e-28,4.12736905160334e-25,1.77009711315058e-25,"S100a8/Il1b/S100a9/Tnf/Wnt4/Sfrp1/Cth/Itga6/Slc25a4/Traf1/Sh3rf1/Thbs1/Inhba/Nr4a2/G0s2/Ptprc/Tmbim1/Tnfrsf12a/Usp47/Rrm2b/Acaa2/Ybx3/Yap1/Sgk3/Herpud1/Ctnna1/Mal/Bcl2l11/Atf4/Osm/Hspb1/Rack1/Dnaja1/Hmox1/Rps7/Cflar/Nfe2l2/Tpt1/Fas/Bok/Plscr1/Igbp1/Fis1/Tnfrsf23/Bag5/Nupr1/Bax/Park7/Bcap31/Zmynd11/Sfpq/Prdx2/Ppp2r1a/Rela/Pycard/Fcmr/Pmp22/Vdac2/Gas1/Dab2/Ctsc/Sod2/Gclm/Gsk3b/Ndufs3/Tgfb2/Ptgs2/Hif1a/Cdkn2d/Tnfaip3/Triap1/Nrg1/Snai2/Tnfrsf22/Grina/Eya3/Pink1/Fyn/Nck2/Cd74/Acvr1/Bub1/Parl/Cx3cl1/Fgfr1/P4hb/Prkra/Gstp1/Brca1/Siah2/Icam1/Eno1/Apaf1/Trps1/Pmaip1/Ddias/Wfs1/Il10/Fzd1/Itm2c/Mfn2/Bmyc/Rad9a/Prkn/Mapk9/Tmem14a/Trp63/Parp1/Stradb/Hells/Atad5/Hmgb2/Txndc12/Ctss/Bid/Ngfr/Tlr4/Flcn/Pdcd7/Unc5b/Hyou1/Casp8/Skil/Noc2l/Ei24/Mcl1/Kdm6a/Nrp1/Itprip/Bcl2/Ikbkg/G2e3/Bcl2l1/Muc1/Gdnf/Vegfa/Serpine1/Gclc/Ddit3/Hdac2/Fbh1/Sod1/Rbck1/Mnt/Raf1/Slc35f6/Caap1/Stx4a/Zfas1/Pik3cb/Vhl/Stk4/Steap3/Rnf34/Acsl5/Pias4/Wwox/Itgav/Rffl/Serinc3",160
"GO:0097191","extrinsic apoptotic signaling pathway","108/4436","243/28905",0.444444444444444,2.89600240456868,12.6373323534354,2.23919962739949e-27,2.39258480187635e-24,1.02610340820482e-24,"Il1b/Lcn2/Bcl2a1b/Tnf/Tnfrsf1b/Sfrp1/Itga6/Traf1/Sh3rf1/Thbs1/Inhba/Bag3/G0s2/Ptprc/Bcl2a1d/Tmbim1/Tnfrsf12a/Yap1/Fgfr2/Sgk3/Rock2/Dapk1/Ctnna1/Mal/Bcl2l11/Spi1/Bcl2a1a/Il1a/Hmox1/Cflar/Fas/Bok/Tnfrsf23/Gabarap/Bax/Park7/Tnfrsf1a/Erbb3/Zmynd11/Prdx2/Ppp2r1a/Rela/Pycard/Fcmr/Gas1/Nfkbiz/Ngf/Dab2/Il33/Il18/Gclm/Gsk3b/Sort1/Tgfb2/Tnfaip3/Nrg1/Snai2/Tnfrsf22/Eya3/Fyn/Krt18/Acvr1/Sgpp1/Cx3cl1/Fgfr1/Gstp1/Brca1/Mllt11/Siah2/Icam1/Kitl/Trps1/Pmaip1/Itm2c/Krt8/Stradb/Casp8ap2/Hmgb2/Bid/P2rx7/Tlr4/Unc5b/Casp8/Skil/Tgfb1/Mcl1/Nrp1/Itprip/Bcl2/Bcl2l1/Gdnf/Vegfa/Serpine1/Gclc/Rbck1/Tnfrsf10b/Raf1/Stx4a/Stk4/Rnf34/Acsl5/Wwox/Mknk1/Rnf41/Pik3r1/Itgav/Parp2/Rffl",108
"GO:0001667","ameboidal-type cell migration","166/4436","470/28905",0.353191489361702,2.30139765554554,12.1115287725333,4.74634774180052e-27,4.34697648181188e-24,1.86427974459894e-24,"S100a9/Zeb2/Lcn2/Adtrp/Tnf/Pak1/Fermt1/Pdlim1/Folr1/Lamtor2/Rab25/Sema5a/Jup/Sox9/Fgfbp1/Dock1/Timp1/Tacstd2/Thbs1/Kit/Glul/Cd63/Gipc1/Klf4/Met/Emp2/Edn1/Actn4/Fndc3b/Epb41l4b/Apc/Hdac7/Rock2/Arf6/Hbegf/Sdc4/Adipor1/Itgb2/Hspb1/Hmox1/Cfl1/Nfe2l2/Iqsec1/Map2k3/Pkn2/Fstl1/Tns3/Adam8/Rtn4/Dusp10/Epb41l5/Efna1/Col18a1/Cyp1b1/Jun/Krt16/Sh3bp1/Pmp22/Nckap1/Notch1/Prl2c2/Acta2/Macf1/Sema4d/Cxcr4/Coro1c/Pax6/Gab2/Has2/Fn1/Tgfb2/Adipor2/Ptgs2/Tpbg/Hif1a/Appl1/Smo/Rhoj/Pik3c2a/Ppard/Sgpl1/Snai2/Eppk1/Coro1a/Akap12/Plcg2/Calr/Plpp3/Acvr1/Zc3h12a/Adora2b/Prcp/Efnb2/Fgfr1/Efnb1/Itgb4/Gata3/Ptp4a3/Sema7a/Cln3/Kitl/Anln/Sema4b/Ptprg/Sema3a/Twist1/Alox12/Bcar1/S100a2/Fgf2/Sash1/Pecam1/Evl/Cenpv/Ddr2/Pdgfb/Jcad/Pak3/Arsb/Marveld3/Adgra2/Bmper/Itga2/Plk2/Edn2/Lama5/Tac1/Rab13/Tgfb1/Nrp1/Clasp1/Gdnf/Vegfa/Serpine1/Kank1/Rras/Fgf1/Wdpcp/Dock5/Apoe/Stard13/Slit2/Tesk1/Ptk2b/Fut8/P2rx4/Adam9/Tmigd1/Pik3cb/Megf8/Vhl/Pxn/Anxa3/Smoc2/Itgb1bp1/Sema3d/Akt3/Stat5a/Gna12/Gna13/Pik3r2/Schip1/Itgav/Atp2b4/Rffl/Cap1",166
"GO:0007015","actin filament organization","167/4436","477/28905",0.350104821802935,2.28128491303288,12.0142974799828,1.02910664340008e-26,8.24700336354741e-24,3.53687704284344e-24,"Zeb2/Plek/Actn1/Csf3/Wnt4/Pof1b/Cobl/Lcp1/Nebl/F11r/Pak1/Myo6/Pdlim1/Pawr/Gsn/Sema5a/Phldb2/Arhgef5/Scin/Myo1e/Baiap2/Rnd3/Shroom3/Tacstd2/Prkci/Elmo1/Tjp1/Arhgap17/Met/Casp4/Emp2/Capn1/Actn4/Cald1/Rock2/Abl2/Arf6/Sdc4/Rnh1/Capg/Arpc2/S100a10/Cfl1/Actg1/Tmsb4x/Tmsb10/Fam171a1/Dbnl/Myo1f/Tpm1/Arpc1b/Rac2/Ooep/Diaph2/Add1/Wdr1/Marcks/Hcls1/Sh3bp1/Pls3/Pycard/Nckap1/F2rl1/Tpm3/Rhod/Arpc5l/Msrb1/Arhgef2/Add3/Marcksl1/Hip1/Coro1c/Sh3kbp1/Gas7/Ccn2/Twf2/Shroom2/Arpc1a/Rhoj/Nckap1l/Fat1/Tpm4/Aqp2/Baiap2l1/Inf2/Map3k1/Gja1/Ccdc88a/Coro1a/Nck2/Sh3pxd2b/Myo1b/Eps8/Cd47/Sirpa/Dpysl3/Cx3cl1/Gdpd2/Myo5a/Carmil1/Id1/Hsp90b1/Cdc42ep2/Fermt2/Icam1/Aif1l/Tmsb15b1/Myadm/Rac3/Rhpn2/Itgb5/Ap1ar/Gm14137/Bcar1/Phactr1/Pecam1/Evl/Ttc8/Tmsb15b2/Prkn/Gmfg/Arap1/Pak3/Iqgap2/Washc3/Tmeff2/Epha1/Lpar1/Elmo3/Flna/Cnn2/Synpo/Arhgap40/Tagln2/Rhoq/Tac1/Inppl1/Washc4/Nrp1/Fhdc1/Washc2/Mkks/Bcl2/Clasp1/Abi2/Swap70/Ptger4/Gas2l3/Tlr2/Kank1/Trpv4/Abitram/Rapgef3/Slit2/Tesk1/Ptk2b/Tsc1/Pxn/Shroom4/Itgb1bp1/Fmn1/Ppp1r9b/Pik3r2/Rhoc/Arhgef10l/Pik3r1/Cap1",167
"GO:0051345","positive regulation of hydrolase activity","169/4436","488/28905",0.346311475409836,2.25656744741238,11.9199170892363,2.08296079854761e-26,1.48376240883208e-23,6.36338433427643e-24,"S100a8/Ccl4/Ccl3/S100a9/Plek/Nlrp3/Tnf/Wnt4/Ccn1/F3/Rapgef5/Itga6/Bcar3/Arap2/Gsn/Arhgef5/Asph/Dap/Mndal/Rasgrf1/Rgs10/Malt1/Tiam1/Dock10/Arhgap17/Arl6ip5/Ptprc/Ccl6/Mtch1/Slc1a1/Psme2/Ralbp1/Fgfr2/Snx18/Rock2/Dapk1/Abl2/Perp/Bcl2l11/Cldn4/Lyn/Rack1/S100a10/Ngef/Fas/Bok/Fis1/Usp6nl/Laptm5/Tnfrsf23/Psme1/Calm2/Mbp/Bax/Mefv/Ccl7/Ralgps2/Abr/Bcap31/Efna1/Net1/Ccl2/Rapgef2/Antxr1/Ifi203/Nedd9/Sh3bp1/Pycard/F2rl1/Pkp4/Ngf/Aph1a/Sema4d/Kalrn/Hip1/Ctsd/Coro1c/Uaca/Ccl19/Gsk3b/Cd300a/Epha4/Cycs/Arhgap24/Akt2/Cav2/Rap1gap/Vav1/Xdh/Syk/Arhgap42/Rapgefl1/Mex3b/Tbc1d10a/Bmp2/Cx3cl1/Fgfr1/Asap2/Fermt2/Apaf1/Pmaip1/Npnt/Cd200/Efna3/Rcn3/Lims1/Bmyc/Evi5/Rasgef1b/Evi5l/Rapgef1/Ntf3/Dnaja3/Arap1/Scrib/Tbc1d9/Pdgfrb/Rapgef4/Epha1/Lpar1/Gramd4/Gmip/Adrb1/Ifi207/Tbc1d7/Casp8ap2/Hmgb2/Ctss/Tiam2/Ccl25/Bid/Pdgfra/Als2/Ngfr/Ralgapa2/Il24/Casp8/Tbc1d2b/Nod1/Arhgef16/Ppp1r15a/Itga1/Tbc1d12/Hspd1/Plaa/Tbc1d8b/Rapgef3/Tsc1/Sgsm2/Smcr8/Pdcd2/Dennd1a/Tbc1d10b/Casp9/Mmut/Myo9a/Magi2/Map3k5/Rgl1/Arhgef26/Wrn/Calm3/Gna12/Rhoc/Picalm/Myo9b/Tbc1d5/Rgma/Slc27a4",169
"GO:0010810","regulation of cell-substrate adhesion","102/4436","230/28905",0.443478260869565,2.88970674716744,12.2510482688684,7.67293569592702e-26,4.91911907465881e-23,2.10965347765909e-23,"Spp1/Lgals1/Wnt4/Ccn1/Muc4/Ddr1/Fermt1/Itga6/Efna5/Gcnt2/Jup/Phldb2/Dock1/Apod/Tacstd2/Thbs1/Slk/Emp2/Ninj1/Actn4/Hsd17b12/Sdc4/Trem1/Plet1/Ptprz1/Arpc2/S100a10/Cfl1/Actg1/Utrn/Rac2/Epb41l5/Dusp22/Mink1/Nedd9/Csf1/Notch1/Rhod/Macf1/Dab2/Pdpn/Coro1c/Has2/Fn1/Gsk3b/Adam15/Dag1/Atxn3/Hacd1/Itga5/Col8a1/Calr/Carmil1/P4hb/Fermt2/Efemp2/Myadm/Rac3/Ap1ar/Npnt/Bcl6/Emilin1/Bcar1/Lims1/Npy/Pcsk5/Fbln2/Pdgfb/Epha1/Col1a1/Dusp3/Flna/Ccdc80/Ccl25/L1cam/Ptprj/Nrp1/Bcl2/Clasp1/Vegfa/Serpine1/Lrp1/Kank1/Rras/Wdpcp/Dock5/Ptn/Tesk1/Ptk2b/Tsc1/Pik3cb/Stk4/Gpm6b/Smoc2/Itgb1bp1/Ecm2/Fmn1/Cdk6/Dmd/Fbln1/Pik3r1/Camsap3",102
