"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043588","skin development","140/4347","342/28905",0.409356725146199,2.72198208887759,13.4777398660727,2.0534370627368e-31,1.31378903273901e-27,5.64803267887501e-28,"Sprr2d/Sprr2e/Sprr2f/Tnf/Asprv1/Cd109/Tfap2c/Cstdc4/Ptgs1/Fermt1/Sox9/Irf6/Itga6/Ppl/Cdh1/Mafb/Igfbp5/Inhba/Palld/Jup/Egfr/Ovol1/Evpl/Eda/Yap1/Scel/Krt7/Fgfr2/Klf4/Apc/Met/Errfi1/Csta1/Zfp750/Foxq1/Rock2/Fras1/Dhcr24/Krt17/Ash1l/Dsp/Stfa1/Grhl1/Notch1/Traf3ip2/Exph5/Clic4/Ppp3ca/Cyp26b1/Col3a1/Rela/Stfa2l1/Tcf7l1/Fzd6/Pphln1/Pax6/Sprr2k/Sprr2h/Il1a/Sprr2i/Cldn4/Dll1/Krt5/Ppard/Cdkn1a/Sprr1a/Sfn/Cflar/Nfkbiz/Sprr1b/Rbpj/Krt6b/Vdr/Krt14/Numa1/Tgfb2/Smo/Krt6a/Flnb/Sgpp1/Ptgs2/Barx2/Cstdc5/Txnip/Ext1/Slc39a2/Gorab/Abca12/Itgb4/Enpp1/Fuz/Nsdhl/Krt1/Alox12/Kazn/Il18/Myo5a/Lrp4/Dicer1/Krt80/Cnfn/Lama5/Celsr1/Trp63/Atp7a/Cdsn/Lncpint/Runx1/Prss8/Sav1/Col5a2/Trps1/Ngfr/Pou2f3/Itga2/Bcl2/Tradd/Stard7/Col1a1/Cdh3/Casp3/Tgm1/Srf/Mreg/Slc39a7/Fst/Stk4/Pou3f1/Hdac2/Col1a2/Sufu/Wnt10a/Col6a1/Krt78/Cysrt1/Mysm1/Slc27a4/Pias4/Krt75/Sox21",140
"GO:0007015","actin filament organization","169/4347","477/28905",0.354297693920335,2.35587182948408,12.5626705461497,9.95751819461044e-29,3.18541007045588e-25,1.36942079171143e-25,"Zeb2/Actn1/Plek/Csf3/Lcp1/Cobl/Nebl/Wnt4/Sema5a/Pof1b/Myo6/Pak1/F11r/Phldb2/Pawr/Pdlim1/Myo1e/Prkci/Rnd3/Baiap2/Arhgef5/Elmo1/Gsn/Nckap1/Tacstd2/Tjp1/Arhgap17/Scin/Shroom3/Fam171a1/Met/Abl2/Casp4/Actn4/Rock2/Gja1/Cald1/Emp2/Msrb1/Capn1/Sdc4/Add3/Arf6/Map3k1/Myo1b/Sh3bp1/Sh3kbp1/Shroom2/Rnh1/Dbnl/Tpm4/Tpm1/Tmsb10/Myo1f/Rac2/Twf2/Hcls1/Pfn1/S100a10/Arpc1b/Marcksl1/Marcks/Cfl1/Actg1/Tmsb4x/Carmil1/Arhgef2/Ccn2/Cx3cl1/Arpc5l/Fat1/Arpc5/Hip1/Diaph2/Gas7/Rhod/Aqp2/Baiap2l1/Coro1a/Id1/Sh3pxd2b/Bcar1/Hsp90b1/Nckap1l/Specc1l/Cdc42ep2/Inf2/Rhoj/Cnn2/Ap1ar/Ccdc88a/Cd47/Prkn/Tmsb15b1/Itgb5/Gdpd2/Tagln2/Sirpa/Dpysl3/Myadm/Pak3/Limd2/Rac3/Myo5a/Clasp1/Ttc8/Arap1/Flna/Phactr1/Pecam1/Aif1l/Tac1/Gmfg/Fhdc1/Rhpn2/Tmsb15b2/Washc3/Washc2/Fermt2/Tmeff2/Eps8/Arhgap40/Rflnb/Inppl1/Bcl2/Arhgef10l/Evl/Cap1/Washc4/Elmo3/Shroom4/Icam1/Ptger4/Lpar1/Trim27/Epha1/Srf/Mkks/Tnnt2/Slit2/Trpv4/Synpo/Iqgap2/Abitram/Tesk1/Ptk2b/Kank1/Swap70/Tsc1/Rgcc/Nrp1/Capza1/Rhoq/Rhof/Fmn1/Itgb1bp1/Abi2/Pxn/Gas2l3/Tlr2/Arhgap18/Pik3r2/Washc5/Rhog/Rhov/Rhob/Pstpip2/Ppp1r9b/Hip1r",169
"GO:0001667","ameboidal-type cell migration","165/4347","470/28905",0.351063829787234,2.3343685300207,12.2708712810972,1.46408205800943e-27,3.12239900238145e-24,1.34233207634338e-24,"S100a9/Zeb2/Lcn2/Adtrp/Tnf/Folr1/Sema5a/Fermt1/Pak1/Sox9/Kit/Dock1/Fn1/Pdlim1/Timp1/Epb41l4b/Fgfbp1/Jup/Lamtor2/Cd63/Nckap1/Rab25/Tacstd2/Thbs1/Edn1/Adam8/Glul/Klf4/Apc/Met/Hdac7/Efna1/Dusp10/Actn4/Gipc1/Rock2/Pkn2/Epb41l5/Emp2/Fndc3b/Notch1/Tpbg/Tns3/Sdc4/Iqsec1/Arf6/Pmp22/Phactr4/Appl1/Acta2/Snai2/Hbegf/Col18a1/Sh3bp1/Pax6/Calr/Fstl1/Map2k3/Adipor1/Akap12/Jun/Itgb2/Rtn4/Hspb1/Sema4d/Hmox1/Prl2c2/Ppard/Cyp1b1/Cxcr4/Pfn1/Cfl1/Nfe2l2/Acvr1/Macf1/Pik3c2a/Sgpl1/Has2/Nrp2/Kitl/Eppk1/Tgfb2/Smo/Gab2/Coro1a/Mmp9/Hif1a/Ptgs2/Plcg2/Zc3h12a/Sema3a/Cln3/Bcar1/Efnb1/Amotl2/Ptprg/Efnb2/Ptp4a3/Rhoj/Adora2b/Prcp/Gata3/Sema7a/Itgb4/Pak3/Itgb7/Sema4b/Alox12/Cenpv/Clasp1/Arsb/Pik3cb/Anln/Dicer1/Sash1/Lama5/Pecam1/Rab13/Plpp3/Edn2/S100a2/Tac1/Marveld3/Anxa3/Pdgfb/Itga2/Jcad/Evl/Rras/Cap1/Apoe/Sema3e/Fgf1/Rffl/Sema3d/Tmigd1/Srf/P2rx4/Slit2/Serpinf1/Plk2/Wdpcp/Tesk1/Ptk2b/Kank1/Pik3r3/Rgcc/Nrp1/Vhl/Tgfb1/Megf8/Itgb1bp1/Gdnf/Pxn/Fut8/Gna12/Grn/Prr5l/Dock5/Pik3r2/Stat5a/Adam9/Adam17/Rhob/Bcas3",165
"GO:0031589","cell-substrate adhesion","140/4347","369/28905",0.37940379403794,2.5228126677402,12.3862662924516,2.12058385806862e-27,3.39187388098076e-24,1.45818042661403e-24,"Spp1/Actn1/Lgals1/Fermt3/Ccn1/Sfrp1/Wnt4/Ddr1/Fermt1/Lamb1/Phldb2/Efna5/Muc4/Gcnt2/Dock1/Itga6/Fn1/Lypd3/Jup/Eda/Tnfrsf12a/Cd63/Tacstd2/Antxr1/Thbs1/Adam8/Utrn/Tiam1/Slk/Efna1/Ninj1/Actn4/Epb41l5/Apod/Emp2/Fndc3b/Notch1/Hsd17b12/Sdc4/Mink1/Col3a1/Trem1/Bcl2l11/Nedd9/Adam15/Calr/Itga2b/Sned1/Ptprz1/Itgb2/Plet1/Srcin1/Rac2/Ppard/Pdpn/S100a10/Marcks/Cfl1/Actg1/Dusp22/Carmil1/Macf1/Dag1/Ccn2/Csf1/Has2/P4hb/Atxn3/Rhod/Coro1a/Itgam/Lamb3/Dab2/Bcam/Bcar1/Cdk5/Ntn4/Hacd1/Ap1ar/Axl/Itga5/Itgb5/Col8a1/Sirpa/Myadm/Itgb4/Itgb7/Lims1/Rac3/Clasp1/Npy/Npnt/Pik3cb/Dicer1/Efemp2/Lama5/Flna/Egfl6/Ptprj/Pecam1/Vcam1/Bcl6/Fermt2/Dusp3/Pdgfb/Itga2/Fbln2/Bcl2/Rras/Col1a1/Ccl25/Ptn/Sema3e/Epha1/L1cam/Srf/Wdpcp/Pcsk5/Tesk1/Ptk2b/Kank1/Fbln1/Stk4/Tsc1/Nrp1/Cdk6/Itga1/Lrp1/Bves/Fmn1/Itgb1bp1/Ecm2/Pxn/Cdh11/Plekha2/Dock5/Adam9/Mdk/Tyro3/Dmd",140
"GO:0007264","small GTPase-mediated signal transduction","157/4347","439/28905",0.357630979498861,2.37803622323777,12.2407201218256,2.79540045312197e-27,3.57699441981487e-24,1.53776450189636e-24,"Rras2/Rapgef5/F11r/Rasgrf1/Bcar3/Auts2/Dock1/Arhgef12/Rnd3/Baiap2/Elmo1/Nckap1/Arhgap32/Net1/Dock10/Eps8l2/Arhgap17/Cnksr1/Ywhaq/Rap2b/Timp2/Mapkap1/Tiam1/Met/Abl2/Ralbp1/Nucb2/Rassf1/Rock2/Dhcr24/Ngf/Vav3/Notch1/Rapgef2/Rheb/Tns3/Nup62/Camk2d/Iqsec1/Arf6/Col3a1/Arhgef3/Ralgps2/Phactr4/Arhgef11/Sh3bp1/Nradd/Dock2/Dbnl/Dock4/Rtn4/Sema4d/Hmox1/Rac2/Cyth4/Pdpn/Gabarap/Nrg1/Arhgap42/Arhgef2/Rasip1/Plce1/Csf1/Eps8l1/Rap1gap/Arhgap31/Kitl/Tgfb2/Nfix/Sh2b2/Rhod/Rapgefl1/Ctnnal1/Adra1b/Mras/Rasa3/Cdc42ep2/Arhgap24/Rhoj/Ccdc88a/Sdcbp/Tiam2/Arhgap1/Rap1gap2/Cdc42bpa/Abca1/Arhgdia/Rac3/Rapgef4/Ripor2/Mfn2/Lrp4/Dnaja3/Pik3cb/Rit1/Arhgap30/Rtkn/Rasgef1b/Celsr1/Dgkz/Farp1/Pecam1/Scai/Bcl6/Ophn1/Prag1/Rap2c/Eps8/Arhgap40/Ngfr/Icmt/Rabif/Adrb1/Flcn/Dynlt1a/Apoe/Ralgapa2/Srgap1/Spry1/Kctd10/Notch2/Lpar1/Hacd3/Als2/Slit2/Plk2/Kank1/Rapgef1/Itsn1/Nrp1/Iqsec2/Itpkb/Rhoq/Col1a2/Rhof/Rab9/Rab39/Rab33b/Cdc42se1/Abi2/Arfgef2/Lipa/Gna12/Dennd3/Rasa2/Ralgds/Cdc42se2/Arhgap18/Dock5/Rgl1/Rhog/Rabgef1/Chm/Rhov/Rhob/Psd4/Myo9b",157
"GO:0097193","intrinsic apoptotic signaling pathway","131/4347","338/28905",0.387573964497041,2.57713950857764,12.2708159139415,9.46673083404764e-27,1.00946906460395e-23,4.33974871392394e-24,"S100a8/S100a9/Bcl2a1b/Tnf/Tnfrsf1b/Mndal/Trp53bp2/Aldh2/Arl6ip5/Polb/Bag5/Chac1/Usp47/Park7/Ifi203/Hipk2/Bok/Herpud1/Bcl2a1d/Ybx3/Stk24/Pnp/Plscr1/Atf4/Rrm2b/Bcl3/Map2k4/Fhit/Cdkn2d/Sfpq/Tnfrsf1a/Snai2/Tmem109/Bcl2l11/Perp/Bcl2a1a/Ikbke/Rack1/Hspb1/Hmox1/Dnaja1/Cdkn1a/Cyp1b1/Nupr1/Sfn/Bax/Rps7/Casp12/Selenok/Nfe2l2/Cycs/Msh2/Pdk1/P4hb/Eda2r/Topors/Triap1/Fyn/Ndufs3/Mmp9/Sgpp1/Hif1a/Ptgs2/Phlda3/Grina/Eno1/Clu/Apaf1/Pdk2/Pink1/Bub1/Dnajc10/Mllt11/Parl/Cd74/Sod2/Prkn/Stk25/Prkra/Brca1/Bmyc/Parp1/Rad9a/Bnip3/Pmaip1/Pik3cb/Wfs1/Fzd1/Itpr1/Trp63/Ddias/G2e3/Prkdc/Muc1/Brca2/Il10/Bcl2l1/Xpa/Ikbkg/Hells/Ripk3/Bcl2/Kdm6a/Hyou1/Flcn/Mcl1/Casp3/Rrp8/Ifi209/Ifi207/Fbh1/Bid/Map3k5/Mbd4/Skil/Hdac2/Erp29/Gskip/Noc2l/Ddit3/Zfp385a/Cebpb/Wwox/Rnf183/Serinc3/Crip1/Shisa5/Sod1/Fnip2/Pias4/Ppif",131
"GO:0008544","epidermis development","145/4347","397/28905",0.365239294710327,2.42862705626915,12.0589097812689,2.34727383700187e-26,2.14540828701971e-23,9.2231977986254e-24,"Sprr2d/Sprr2e/Sprr2f/Tnf/Cd109/Tfap2c/Cstdc4/Ptgs1/Fermt1/Myo6/Sox9/Spint1/Irf6/Ppl/Cdh1/Mafb/Igfbp5/Inhba/Palld/Esrp1/Hes1/Egfr/Ovol1/Evpl/Eda/Yap1/Scel/Krt7/Fgfr2/Klf4/Apc/Cst6/Met/Errfi1/Csta1/Zfp750/Foxq1/Cux1/Rock2/Krt17/Dsp/Stfa1/Grhl1/Notch1/Exph5/Clic4/Krtdap/Ppp3ca/Cyp26b1/Rela/Stfa2l1/Maff/Fzd6/Pphln1/Pax6/Sprr2k/Sprr2h/Il1a/Sprr2i/Cldn4/Dll1/Krt5/Ppard/Cdkn1a/Sprr1a/Sfn/Cflar/Nfkbiz/Sprr1b/Rbpj/Krt6b/Klf7/Vdr/Krt14/Numa1/Tgfb2/Smo/Krt6a/Flnb/Sgpp1/Ptgs2/Gab1/Tprn/Sult2b1/Plod3/Barx2/Cstdc5/Txnip/Ext1/Slc39a2/Gorab/Abca12/Fuz/Nsdhl/Krt1/Alox12/Kazn/Il18/Myo5a/Ntf3/Ripor2/Lrp4/Dicer1/Krt80/Cnfn/Lama5/Celsr1/Trp63/Atp7a/Cdsn/Lncpint/Runx1/Prss8/Scrib/Sav1/Trps1/Ngfr/Pou2f3/Mafg/Bcl2/Tradd/Stard7/Aldh3a2/Cdh3/Casp3/Tgm1/Srf/Mreg/Slc39a7/Wdpcp/Fst/Stk4/Pou3f1/Hdac2/Wnt10a/Jag2/Col6a1/Krt78/Mycl/Cysrt1/Mysm1/Sod1/Pias4/Krt75/Sox21",145
"GO:2001233","regulation of apoptotic signaling pathway","154/4347","436/28905",0.353211009174312,2.34864601338474,11.9380229162395,3.99049748473219e-26,3.19140036341457e-23,1.37199604310595e-23,"S100a8/Il1b/S100a9/Tnf/Sfrp1/Wnt4/Cth/Nr4a2/Slc25a4/Itga6/Traf1/Inhba/Sh3rf1/Tnfrsf12a/Yap1/Bag5/Thbs1/Acaa2/Usp47/G0s2/Sgk3/Park7/Ptprc/Tnfrsf23/Bok/Herpud1/Tmbim1/Ybx3/Igbp1/Plscr1/Zmynd11/Ctnna1/Gas1/Atf4/Rrm2b/Pmp22/Cdkn2d/Sfpq/Rela/Snai2/Bcl2l11/Fas/Fcmr/Mal/Osm/Ctsc/Rack1/Hspb1/Hmox1/Dnaja1/Atf3/Nupr1/Bax/Rps7/Cflar/Gclm/Nfe2l2/Nrg1/Acvr1/Cx3cl1/P4hb/Tgfb2/Tnfrsf22/Triap1/Fyn/Ndufs3/Eya3/Mmp9/Hif1a/Ptgs2/Grina/Tnfaip3/Dab2/Eno1/Clu/Apaf1/Pink1/Bub1/Siah2/Parl/Cd74/Itm2c/Sod2/Prelid1/Prkn/Prkra/Brca1/Bmyc/Parp1/Rad9a/Pmaip1/Tmem14a/Mfn2/Casp8/Pik3cb/Wfs1/Gstp1/Stradb/Fzd1/Trp63/Ddias/G2e3/Tlr4/Mapk9/Pdcd7/Muc1/Unc5b/Il10/Bcl2l1/Trps1/Ngfr/Ikbkg/Slc35f6/Hells/Ripk3/Bcl2/Kdm6a/Hmgb2/Hyou1/Flcn/Mcl1/Icam1/Stx4a/Fbh1/Rffl/Ctss/Bid/Stk4/Skil/Rnf34/Nrp1/Rbck1/Hdac2/Erp29/Caap1/Noc2l/Mnt/Itprip/Vhl/Ddit3/Zfp385a/Mpv17l/Wwox/Pih1d1/Gdnf/Rnf183/Serinc3/Gclc/Acsl5/Sod1/Pias4/Raf1/Dedd2/Ppif",154
"GO:0022411","cellular component disassembly","165/4347","496/28905",0.332661290322581,2.21200243772123,11.4549620587386,1.26244255401253e-24,8.97456384508016e-22,3.85820162998214e-22,"Plek/Tnf/Igfbp3/Lcp1/Chmp4c/Asph/Irgm1/Sema5a/Sh3gl2/Mmp13/Plaat3/Ddr1/Adrb2/Slc25a4/Gsn/Hk2/Vdac1/Scin/Irak3/Apc/Bok/Huwe1/Map2/Ngef/Plin2/Kif5b/Ascc3/Iqsec1/Chmp2a/Add3/Hdgfl3/Arf6/Usp10/Snai2/Klc1/Nedd9/Wdr47/Sh3bp1/Shroom2/Tspo/Tpm1/Rack1/Rac2/Twf2/Adamts5/Bax/Pdpn/Sqstm1/Gabarap/Cfl1/Carmil1/Nrg1/Plin3/Arhgef2/Camsap2/Ccn2/Fkbp8/Pex14/C3/Eef2k/Tgfb2/Arid1a/Dctn1/Nav3/Aqp2/Chmp1a/Cisd2/Cdk1/Sh3pxd2b/Hif1a/Itgam/Top2a/Retreg1/Cln3/Epha4/Cdk5/Stx17/Tex264/Apaf1/Cidea/Specc1l/Pink1/Vps13c/Chmp4b/Optn/Gabarapl1/Parl/Smarcd2/Map1lc3b/Zfand1/Prkn/Ptrh1/Mtif3/Igtp/Ogfod1/Plk1/Nod2/Bmyc/Aurka/Atg9b/Bnip3/Prkaa2/Clasp1/Mfn2/Vps4b/Epg5/Dicer1/Tigar/Dnase1l3/Camsap1/Map1b/Denr/Dnase2a/Dusp3/Srebf1/Eps8/Pik3c3/Nedd1/Snx30/Evl/Pelo/Trnt1/Endog/Uvrag/Atg10/Dyrk3/Ctss/Tpx2/Klhdc10/Smarcd1/Grwd1/Tmem39a/Dffa/Trpv4/Clec16a/Atg2a/Swap70/Supt16/Capza1/Atg14/Hsf1/Tecpr1/Prkaa1/Wipi1/Rnf41/Chmp1b/Cd24a/Phb2/Col6a1/Smcr8/Vps33a/Mid1/Arhgef1/Trip4/Atg7/Il6/Dnajc6/Vps13d/Rubcn/Dhx8/Tom1/Atg4a/Nemp1/Fyco1/Dedd2",165
"GO:0006979","response to oxidative stress","139/4347","388/28905",0.358247422680412,2.38213520878245,11.531658489534,2.20733816543291e-24,1.41225495824398e-21,6.07134171186968e-22,"Slc7a11/Lcn2/Mmp3/Aldh1a1/Epas1/Upk3bl/Ptgs1/Nr4a2/Ucp2/Pawr/Oxr1/Rcan1/Arl6ip5/Egfr/Fos/Net1/Gpx4/Sesn2/Edn1/Park7/Mapkap1/Met/Naprt/Foxo1/Stk24/Sod3/Apod/Slc1a1/Gsr/Capn1/Dapk1/Oser1/Atf4/Rrm2b/Map2k4/Usp25/Rela/Abcc1/Slc4a11/1600014C10Rik/Vkorc1l1/Jun/Prdx6/Rack1/Hspb1/Gpx2/Hmox1/Cyp1b1/Prdx1/Selenok/Gclm/Cfl1/Nfe2l2/Txnrd1/Pex14/Ermp1/Hk3/Fyn/Prdx4/Mmp9/Ccs/Hif1a/Ptgs2/Gab1/Zc3h12a/Nr4a3/Tnfaip3/Mgst1/Pdk2/Pink1/Txnip/Trp53inp1/Txn1/Stk26/Axl/Sod2/Prkn/Stk25/Prkra/Lig1/Sirpa/Gpx8/Gpx7/Parp1/Bnip3/Prkaa2/Pla2r1/Gstp1/Atp7a/Ddias/Tlr4/Mapk9/Scly/Xpa/Ngfr/Ripk3/Bcl2/Msra/Kpna4/Aldh3a2/Endog/Apoe/Casp3/Fbln5/Stx4a/Atp13a2/Tmigd1/Fancc/Als2/Etfdh/Rbpms/Psip1/Pnpt1/Msrb3/Ptk2b/Map3k5/Rad52/Tsc1/Hdac2/Hsf1/Pdgfra/Prkaa1/Stat6/Gch1/Hmox2/Col6a1/Fut8/Atg7/Il6/Gclc/Sirt2/Mctp1/Prr5l/Rnf146/Wrn/Adam9/Sod1/Rhob/Ppif",139
