"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031424","keratinization","22/848","60/28905",0.366666666666667,12.4982311320755,15.4998563155756,7.25774297816116e-19,3.72685101928575e-15,2.56083731187328e-15,"Cnfn/Sprr1a/Krt6b/Krt16/Krt6a/Krt5/Sprr2d/Ppl/Sprr2f/Sprr1b/Cdsn/Krt80/Sprr2i/Krt4/Tgm1/Krt78/Cers3/Sprr2h/Krt7/Abca12/Tmem79/Krt75",22
"GO:0008544","epidermis development","48/848","397/28905",0.120906801007557,4.12123948481536,10.8866749196377,1.09118541646793e-16,2.80161855678141e-13,1.925080797895e-13,"Cnfn/Sprr1a/Krt6b/Krt14/Krt16/Krt6a/Ctsl/Krt5/Cysrt1/Sprr2d/Ppl/Cstdc5/Il18/Sprr2f/Csta1/Sprr1b/Cdsn/Krt80/Spink5/Sprr2i/Krt4/Epha2/Tgm1/Krt78/St14/Prss8/Cers3/Cst6/Tnf/Sprr2h/Nsdhl/Tmprss13/Krt7/Abca12/Ext1/Fgfr1/Tmem79/Ptgs2/Clic5/Fgf2/Krtdap/Wnt5a/Krt75/Stfa2l1/Plod3/Whrn/Plod1/Ncoa3",48
"GO:0030216","keratinocyte differentiation","30/848","162/28905",0.185185185185185,6.31223794549266,11.7875965735108,6.72452994259019e-16,1.15101537517335e-12,7.90899100616222e-13,"Cnfn/Sprr1a/Krt6b/Krt14/Krt16/Krt6a/Krt5/Sprr2d/Ppl/Cstdc5/Sprr2f/Csta1/Sprr1b/Cdsn/Krt80/Sprr2i/Krt4/Epha2/Tgm1/Krt78/St14/Cers3/Sprr2h/Krt7/Abca12/Tmem79/Ptgs2/Krt75/Stfa2l1/Ncoa3",30
"GO:0043588","skin development","42/848","342/28905",0.12280701754386,4.18601042701092,10.3042080826387,5.31247187951548e-15,6.819885775328e-12,4.68615940529892e-12,"Cnfn/Sprr1a/Krt6b/Krt14/Krt16/Krt6a/Ctsl/Krt5/Cysrt1/Sprr2d/Ppl/Cstdc5/Il18/Sprr2f/Csta1/Sprr1b/Cdsn/Dhcr24/Krt80/Sprr2i/Krt4/Epha2/Tgm1/Krt78/St14/Prss8/Cers3/Tnf/Sprr2h/Nsdhl/Tmprss13/Krt7/Abca12/Col5a2/Ext1/Tmem79/Ptgs2/Wnt5a/Krt75/Col5a1/Stfa2l1/Ncoa3",42
"GO:1901342","regulation of vasculature development","40/848","317/28905",0.126182965299685,4.30108326885304,10.2742589680196,9.5428545035645e-15,9.80051157516074e-12,6.73424174651541e-12,"Glul/Ecm1/Ceacam1/Lgals3/Ccr3/Ctsh/Epha2/Emp2/Tnf/Itgax/Wnt4/Ddah1/Ccl2/Col4a2/Dcn/Ptprm/Bmper/Ecscr/Adamts1/Klf2/Serpinf1/Rhoj/Serpine1/Fgf2/Emilin1/Thbs2/Itgb2/Epha1/Eng/Wnt5a/Cyp1b1/Tcf4/Sphk1/Sema3e/Smoc2/Plk2/Il10/Lif/Adam12/Atp2b4",40
"GO:0009913","epidermal cell differentiation","35/848","251/28905",0.139442231075697,4.75303972788093,10.3820634433661,2.22433167558424e-14,1.6724884692031e-11,1.14921977118204e-11,"Cnfn/Sprr1a/Krt6b/Krt14/Krt16/Krt6a/Krt5/Sprr2d/Ppl/Cstdc5/Sprr2f/Csta1/Sprr1b/Cdsn/Krt80/Spink5/Sprr2i/Krt4/Epha2/Tgm1/Krt78/St14/Cers3/Sprr2h/Krt7/Abca12/Fgfr1/Tmem79/Ptgs2/Clic5/Fgf2/Krt75/Stfa2l1/Whrn/Ncoa3",35
"GO:0045765","regulation of angiogenesis","39/848","310/28905",0.125806451612903,4.28824939135727,10.1194481430453,2.27992585869946e-14,1.6724884692031e-11,1.14921977118204e-11,"Glul/Ecm1/Ceacam1/Lgals3/Ccr3/Ctsh/Epha2/Emp2/Tnf/Itgax/Ddah1/Ccl2/Col4a2/Dcn/Ptprm/Bmper/Ecscr/Adamts1/Klf2/Serpinf1/Rhoj/Serpine1/Fgf2/Emilin1/Thbs2/Itgb2/Epha1/Eng/Wnt5a/Cyp1b1/Tcf4/Sphk1/Sema3e/Smoc2/Plk2/Il10/Lif/Adam12/Atp2b4",39
"GO:0050900","leukocyte migration","43/848","402/28905",0.106965174129353,3.64602400732188,9.28790585644955,3.2300088308877e-13,2.07326191832605e-10,1.42460389488626e-10,"Cxcl14/Ccl4/Ppbp/Apod/S100a14/Akirin1/Cxcl2/Gcnt1/Ecm1/Lgals3/Ccl3/Ccr3/Cd200/Capn1/Spns2/Emp2/Tnf/Eps8/Cd99l2/Ccl2/Ccl7/Itgam/Artn/Ext1/Rarres2/Ccl19/Vcam1/Stk10/Fut9/Il33/Serpine1/Plcb1/Emilin1/Itgb2/Dpep1/Wnt5a/Lgals9/Il1r1/Itga1/Sirpa/Cxcl5/Cxcl1/Il23a",43
"GO:0052547","regulation of peptidase activity","43/848","434/28905",0.0990783410138249,3.37719274410921,8.67489415247656,4.27081916832096e-12,2.43673960325868e-09,1.67436091838735e-09,"Ltf/Perp/Ctsl/Spint2/Prss22/Cstdc5/Serpinb11/Ifi209/Ecm1/Slc1a1/Csta1/Anxa8/Ctsh/Dap/Spink5/Pbp2/Mbp/Tnf/Uaca/Nlrp3/Serpinb1a/Gpc3/Epha4/Serping1/Nr4a1/A2m/Bcl2a1d/Serpinf1/Ptgs2/Psmb8/Serpine1/Ifi211/Dpep1/Serpinb3a/Serpine2/Ctsk/Pi15/Psmb9/Stfa2l1/Simc1/Timp1/Serpina3n/Myc",43
"GO:0002697","regulation of immune effector process","45/848","473/28905",0.0951374207188161,3.2428622003271,8.55038639637068,5.43714917273334e-12,2.79197610019857e-09,1.91845516073707e-09,"B2m/H2-Q7/H2-Q6/H60c/Muc4/Ppl/Il18/Arg1/Ceacam1/Lgals3/Pglyrp4/Spink5/Pnp/Bst2/Vamp8/Tnf/Il6/H2-Q4/Pglyrp1/Ccl2/Itgam/Nlrp3/Serping1/Acp5/Ccl19/A2m/Twist1/Ptprc/Rapgef1/Il33/Ncf1/Itgb2/Sphk2/Wnt5a/Lgals9/Nr4a3/Il1r1/Cxcl5/Adora2b/Tap1/Il10/Cxcl1/Il23a/Mavs/Enpp3",45
