"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","11/84","314/28905",0.035031847133758,12.0547088262056,10.6331405363092,1.91654633482136e-09,2.73874471245973e-06,2.14854931219447e-06,"Irgm1/Mmp12/Rtp4/Igtp/Isg20/Dtx3l/Oas3/Stat2/Ifit1/Oasl2/Trim30a",11
"GO:0009615","response to virus","11/84","377/28905",0.0291777188328912,10.0402614626753,9.5385003092736,1.27431211114969e-08,9.10496003416455e-06,7.14285472828643e-06,"Irgm1/Mmp12/Rtp4/Igtp/Isg20/Dtx3l/Oas3/Stat2/Ifit1/Oasl2/Trim30a",11
"GO:0035456","response to interferon-beta","6/84","72/28905",0.0833333333333333,28.6755952380952,12.6935295143619,6.73288641047816e-08,3.20709822685776e-05,2.51597334286289e-05,"Irgm1/Gbp2/Xaf1/Igtp/Ifi47/Ifit1",6
"GO:0045088","regulation of innate immune response","11/84","486/28905",0.0226337448559671,7.78843327454439,8.14793182947552,1.66934364209453e-07,5.22694917612107e-05,4.10054942548631e-05,"Irgm1/Mmp12/Gbp2/Parp14/Igtp/Nlrc4/Oas3/Stat2/Ceacam1/S100a9/Trim30a",11
"GO:0140888","interferon-mediated signaling pathway","6/84","85/28905",0.0705882352941176,24.2899159663866,11.6089914343873,1.8288835465784e-07,5.22694917612107e-05,4.10054942548631e-05,"Irgm1/Mmp12/Parp14/Igtp/Oas3/Stat2",6
"GO:0002832","negative regulation of response to biotic stimulus","7/84","167/28905",0.0419161676646707,14.4236526946108,9.39214453403597,5.90366166543587e-07,0.000140605541998464,0.000110305257433144,"Irgm1/Mmp12/Parp14/Igtp/Oas3/Stat2/Ceacam1",7
"GO:0035458","cellular response to interferon-beta","5/84","63/28905",0.0793650793650794,27.3100907029478,11.2861034919772,1.13117499668562e-06,0.000230921295751964,0.00018115810097296,"Irgm1/Gbp2/Igtp/Ifi47/Ifit1",5
"GO:0001818","negative regulation of cytokine production","8/84","312/28905",0.0256410256410256,8.82326007326007,7.50065685403349,3.60571758860576e-06,0.000644071304264703,0.000505274898929622,"Irgm1/Xaf1/Igtp/Nutf2-ps1/Muc16/Oas3/Ceacam1/Trim30a",8
"GO:0002833","positive regulation of response to biotic stimulus","9/84","431/28905",0.0208816705336427,7.18553198541598,6.98482526816054,4.59609629065651e-06,0.000729757955483129,0.000572496204625636,"Irgm1/Mmp12/Gbp2/Igtp/Nlrc4/Oas3/Klk7/S100a9/Trim30a",9
"GO:0001959","regulation of cytokine-mediated signaling pathway","6/84","154/28905",0.038961038961039,13.4067717996289,8.33406286199315,5.98519741262785e-06,0.000855284710264519,0.000670972130994596,"Irgm1/Mmp12/Parp14/Igtp/Oas3/Stat2",6
"GO:0060759","regulation of response to cytokine stimulus","6/84","164/28905",0.0365853658536585,12.5892857142857,8.03510860274678,8.58281365548698e-06,0.00100066973664636,0.000785026901055852,"Irgm1/Mmp12/Parp14/Igtp/Oas3/Stat2",6
"GO:0019221","cytokine-mediated signaling pathway","9/84","471/28905",0.0191082802547771,6.5752957233849,6.58602654324969,9.36869757933216e-06,0.00100066973664636,0.000785026901055852,"Irgm1/Mmp12/Parp14/Igtp/Krt18/Oas3/Stat2/Ceacam1/Oasl2",9
"GO:0060330","regulation of response to type II interferon","3/84","15/28905",0.2,68.8214285714286,14.1841359965973,1.05038810704656e-05,0.00100066973664636,0.000785026901055852,"Irgm1/Parp14/Igtp",3
"GO:0060334","regulation of type II interferon-mediated signaling pathway","3/84","15/28905",0.2,68.8214285714286,14.1841359965973,1.05038810704656e-05,0.00100066973664636,0.000785026901055852,"Irgm1/Parp14/Igtp",3
"GO:1900226","negative regulation of NLRP3 inflammasome complex assembly","3/84","15/28905",0.2,68.8214285714286,14.1841359965973,1.05038810704656e-05,0.00100066973664636,0.000785026901055852,"Irgm1/Igtp/Trim30a",3
"GO:0098792","xenophagy","3/84","17/28905",0.176470588235294,60.7247899159664,13.2979424270828,1.56322778801984e-05,0.00139615781817522,0.00109528789094811,"Irgm1/Igtp/Rnf213",3
"GO:0141085","regulation of inflammasome-mediated signaling pathway","4/84","53/28905",0.0754716981132075,25.9703504043127,9.82287696546922,1.74324719954455e-05,0.00146535308714656,0.00114957168267179,"Irgm1/Gbp2/Igtp/Trim30a",4
"GO:0045089","positive regulation of innate immune response","8/84","404/28905",0.0198019801980198,6.81400282885431,6.35330883324027,2.34594879108481e-05,0.00186242267914455,0.00146107336988615,"Irgm1/Mmp12/Gbp2/Igtp/Nlrc4/Oas3/S100a9/Trim30a",8
"GO:0001961","positive regulation of cytokine-mediated signaling pathway","4/84","59/28905",0.0677966101694915,23.3292978208232,9.26877558251861,2.67377647599593e-05,0.00191041329209909,0.00149872207733456,"Irgm1/Mmp12/Parp14/Igtp",4
"GO:0141084","inflammasome-mediated signaling pathway","4/84","59/28905",0.0677966101694915,23.3292978208232,9.26877558251861,2.67377647599593e-05,0.00191041329209909,0.00149872207733456,"Irgm1/Gbp2/Igtp/Trim30a",4
"GO:0002218","activation of innate immune response","7/84","303/28905",0.0231023102310231,7.9496699669967,6.56525181699859,2.94867773194633e-05,0.00200650498997681,0.00157410615765556,"Irgm1/Gbp2/Igtp/Nlrc4/Oas3/S100a9/Trim30a",7
"GO:0046470","phosphatidylcholine metabolic process","4/84","62/28905",0.0645161290322581,22.2004608294931,9.021630289846,3.25558604197645e-05,0.00211465111544743,0.00165894695440427,"Gdpd3/Fabp5/Pnpla7/Lpcat4",4
"GO:0031348","negative regulation of defense response","7/84","312/28905",0.0224358974358974,7.72035256410256,6.44322929947695,3.55135345921563e-05,0.00220647134487789,0.00173098006135682,"Irgm1/Mmp12/Parp14/Igtp/Oas3/Stat2/Ceacam1",7
