"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis - Mus musculus (house mouse)","65/2083","136/10650",0.477941176470588,2.44362627432154,8.35458555184246,7.61310670012691e-14,2.63413491824391e-11,1.49056615391958e-11,"12045/21926/64138/14281/22029/12047/11911/16476/12633/13033/13030/11465/18049/11796/12334/12028/229445/19697/12044/12983/12333/22146/21937/14102/13032/12125/18035/13063/11652/12364/74769/53857/235587/26419/11783/11799/12370/16188/56464/11545/16439/13163/71609/12048/16151/58801/12043/13036/13804/26420/18710/12367/12018/17210/21933/16438/17873/66593/12366/13347/13040/16907/12122/64704/16653",65
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","64/2083","149/10650",0.429530201342282,2.19610976682444,7.24992487956985,4.40722579005804e-11,7.62450061680041e-09,4.31444208921471e-09,"14859/16176/14858/21926/13057/70405/14281/17970/20971/16175/16476/14860/15368/18412/11465/14863/22218/13614/20969/18791/14862/19697/16399/66447/11477/19354/21937/18024/17969/103140/22166/14873/14872/211666/11652/16178/17395/74769/26419/18590/16800/12390/22027/20296/12314/108079/56615/12315/14857/170758/16151/18613/12043/14733/26420/19094/18710/14871/63873/18591/18104/26400/16177/105787",64
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway - Mus musculus (house mouse)","53/2083","118/10650",0.449152542372881,2.29643522624637,6.98266274315607,2.83466186476241e-10,3.26931001735931e-08,1.84998984858178e-08,"330122/20310/16176/20311/17392/21926/21938/14281/14825/22029/11911/16476/12633/26397/11796/13614/12051/19697/21937/14102/20312/13650/74568/18035/12702/11652/16362/17395/74769/26419/12981/20296/12977/12370/19225/15953/21929/16182/231991/257632/71609/12915/67457/16151/56532/26420/19094/18710/12367/22031/26400/217344/11491",53
"Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction - Mus musculus (house mouse)","68/2083","170/10650",0.4,2.04512722035526,6.77325838800114,4.8451913849534e-10,4.19109054798469e-08,2.37159367789824e-08,"17698/109711/12443/54357/18260/71960/18759/224912/70497/83814/76089/19878/56449/60595/71978/53624/16476/12740/67938/11867/11465/17356/67771/21873/12695/16456/17999/26401/22146/21844/235442/23859/56332/15163/93737/70737/58220/53857/26419/16800/239931/218518/17274/12638/19079/108079/27375/68328/68089/14924/73699/73608/18749/72065/66713/26420/105782/108099/53310/26400/12739/74094/102098/23828/105787/17475/12394/22323",68
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection - Mus musculus (house mouse)","90/2083","253/10650",0.355731225296443,1.81878902996021,6.49924515424931,1.20024573517229e-09,8.30570048739228e-08,4.69990961562204e-08,"16176/12475/216799/21926/100041194/14281/17920/18479/226421/140580/19878/19264/16573/66395/16476/67938/14433/11867/11465/26397/67771/11796/18643/12363/12028/19697/22146/21415/21937/68724/22152/16593/170625/72318/74568/18035/22166/13063/18704/11652/74769/11841/53857/26419/213575/22027/22154/19349/21416/73710/218035/228545/18481/12370/13191/232943/70297/68089/71609/105855/192176/21898/170760/80837/266632/225326/17113/20130/16151/56532/12043/66713/26420/19094/12367/12018/59288/21933/117149/56212/26400/53413/268973/269338/56382/73178/22151/107607/77573/67665",90
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome - Mus musculus (house mouse)","57/2083","136/10650",0.419117647058824,2.14287227132812,6.61405540719093,1.56518270819601e-09,9.02588695059699e-08,5.1074383109554e-08,"64138/12512/11782/17775/53599/114143/13033/13030/11984/56722/16792/229445/18173/13032/14667/52120/15212/20661/235380/12752/11767/11769/11605/432486/214505/211286/56464/27060/21871/11881/11777/13423/27426/58911/17113/74105/13036/12514/18010/15931/104082/11768/11305/11433/76943/11886/11432/83429/15586/12091/13040/75612/14387/16004/110006/12751/12492",57
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","56/2083","136/10650",0.411764705882353,2.10527802095394,6.39648913910949,4.7377411904947e-09,2.34179778844452e-07,1.32514264876995e-07,"16176/22177/21926/13057/14282/14728/14281/14283/17970/19055/16175/16476/16478/18412/17060/19697/20375/16822/17972/14131/15976/21937/17969/16391/21682/17342/18035/100201/12702/11652/74769/19056/26419/14360/234779/20963/21808/12977/14200/14389/15980/16439/20846/15975/19261/20847/16151/26420/19094/18710/16438/11433/12326/26400/16177/19698",56
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway - Mus musculus (house mouse)","47/2083","112/10650",0.419642857142857,2.14555757492627,6.00940536906876,4.01787444954144e-08,1.73773069942667e-06,9.83321904756194e-07,"16176/17474/14127/56619/66922/216799/21926/240354/70405/18479/69632/19055/16476/56620/12051/19697/16391/17532/18035/11652/56489/16362/74769/19056/26419/234779/20963/12370/83430/19225/12314/16439/20846/12315/16985/20847/20130/16151/208650/17164/26420/19094/18710/16438/16153/19698/16653",47
"Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance - Mus musculus (house mouse)","37/2083","81/10650",0.45679012345679,2.3354847886773,5.94907126231779,8.01275482168535e-08,3.08045907589237e-06,1.74312561033155e-06,"14859/14858/14860/12575/14863/11796/14862/12028/66447/14102/103140/17685/14873/13063/14872/211666/11652/74769/11783/11799/21973/12370/56615/14857/12048/58801/12043/11977/18710/12367/12018/14871/22590/17688/20529/12122/17686",37
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway - Mus musculus (house mouse)","35/2083","75/10650",0.466666666666667,2.38598175708113,5.93926389841088,9.24426285410868e-08,3.1985149475216e-06,1.80992935880444e-06,"16009/12443/20724/64058/12575/55948/12452/26374/230784/12028/21825/53892/333654/14102/12444/13063/11783/12534/12370/268697/98376/12048/12649/58801/12043/12367/20135/21933/12571/17873/12450/12445/29813/66940/12122",35
"Cellular Processes","Cell growth and death","mmu04215","Apoptosis - multiple species - Mus musculus (house mouse)","20/2083","32/10650",0.625,3.19551128180509,6.13301415161208,1.22034016364809e-07,3.83852451474762e-06,2.17208871233057e-06,"11796/12028/51800/21937/12125/13063/26419/11783/11799/12370/12048/58801/12043/18053/26420/12367/12018/66593/12122/64704",20
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism - Mus musculus (house mouse)","34/2083","73/10650",0.465753424657534,2.38131251685201,5.83924624512919,1.49423989635776e-07,4.30839170116489e-06,2.4379703572153e-06,"14859/14858/14768/625249/69065/14782/18263/14860/11758/14863/110208/54486/14862/66447/20603/103140/14776/76263/14630/14873/14872/211666/269951/69590/66988/56615/14857/110175/14871/20135/68044/20810/14854/20133",34
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection - Mus musculus (house mouse)","52/2083","136/10650",0.382352941176471,1.95490101945723,5.52622406678373,2.94244946126685e-07,7.39695977688848e-06,4.18568457104124e-06,"16176/216799/21926/14268/14281/330662/69632/108100/140580/110651/19878/109333/16476/11867/11465/26397/67771/19697/54483/16822/14131/19354/57257/215280/12927/18035/20111/11652/54353/74769/18717/22324/26419/20296/68089/170758/21898/266632/16402/16151/20112/66713/26420/19094/18710/19229/16153/56212/26400/268973/14682/73178",52
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","44/2083","108/10650",0.407407407407407,2.08299994665813,5.57780685990877,2.99298950509938e-07,7.39695977688848e-06,4.18568457104124e-06,"330122/20310/16176/12475/109711/21926/16777/14268/11847/14825/226421/16774/16782/60595/15507/18477/20719/12825/11846/19697/16414/20708/20723/16178/12826/74769/12981/19349/21808/16780/12827/16776/14675/21898/16409/18749/12830/18710/12367/16153/16177/12842/14682/18751",44
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)","41/2083","98/10650",0.418367346938776,2.13903612333075,5.58557398981344,3.2205371294294e-07,7.42870564521715e-06,4.20364846367627e-06,"20201/330122/20202/20310/16176/20311/16819/17392/12985/21926/17386/14282/14281/14825/14283/16476/16478/30940/59008/19697/103213/18035/56489/20306/17395/22032/26419/22027/12981/20296/57890/12370/19225/21929/71609/16151/26420/19094/12367/22031/16172",41
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis - Mus musculus (house mouse)","63/2083","180/10650",0.35,1.78948631781085,5.26735009351257,7.07612138519847e-07,1.53021124954917e-05,8.65893801083497e-06,"16176/14127/56619/12475/21926/240354/70405/16155/69632/108058/19055/16175/114143/13033/11984/12028/19697/16414/14131/21937/22337/13063/11652/19056/26419/11783/16411/12266/12721/19349/20963/21808/108960/12370/83430/14969/12314/15980/20846/257632/27060/21871/12315/71609/21898/16985/16409/18779/266632/225326/12043/56632/26420/19094/12367/16153/117149/18044/14998/13040/12122/216238/15510",63
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway - Mus musculus (house mouse)","42/2083","107/10650",0.392523364485981,2.00690054333927,5.1615605433582,1.79263360618059e-06,3.64853663375579e-05,2.06458111919251e-05,"330122/20303/20310/16176/12475/12045/21926/240354/14825/13607/22029/111173/17096/12047/12633/11796/17060/19697/12044/333654/21937/18035/234779/20963/245527/19225/21929/11545/71609/21898/12048/266632/16151/12043/170720/22031/117149/17873/16177/19698/105844/18751",42
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)","71/2083","217/10650",0.327188940092166,1.67285751895418,4.93779480171104,2.52136084830249e-06,4.84661585284811e-05,2.74253285253955e-05,"330122/20310/20302/16176/12475/17392/216799/21926/13057/70405/16835/14281/14825/226641/17096/19878/17970/108058/11911/19055/16476/26397/12028/19697/17972/21937/18024/14102/17969/57257/108078/18035/13063/11652/56489/17395/74769/19056/22324/26419/11783/22027/20296/12370/12314/54123/12315/21898/12048/11303/266632/16151/12043/18987/13110/26420/19094/18710/12367/22359/21933/16438/22031/117149/26400/20656/11307/12122/21353/15510/16653",71
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","73/2083","229/10650",0.318777292576419,1.62985029569797,4.7510001687649,5.29969141164091e-06,9.65101699172503e-05,5.46117785354687e-05,"22352/21926/12443/15205/252870/17096/16476/12575/26397/12495/17060/12028/12317/19697/17999/19182/20422/15976/14102/12444/15015/16391/14827/12125/18035/12010/13063/11652/56489/246727/74769/26419/11783/234779/19664/19179/20963/12370/21355/14969/21354/21929/54123/59029/12428/20846/71609/15975/17463/266632/20847/70247/16151/12043/26420/23997/19094/18710/12367/12018/50724/22031/12571/26400/17873/19698/56436/14998/12445/60406/15182/12122/66935",73
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer - Mus musculus (house mouse)","37/2083","94/10650",0.393617021276596,2.0124922115198,4.86172726757751,6.738718904866e-06,0.000116579837054182,6.59685113844777e-05,"16777/12443/14268/16403/22029/16774/16782/12575/11796/12028/14198/19697/16399/18035/13063/11652/12826/74769/22032/11783/16780/218772/12827/16776/19225/12048/16151/12043/16398/12830/18710/12367/12018/54124/22031/12571/17873",37
"Metabolism","Global and overview maps","mmu01232","Nucleotide metabolism - Mus musculus (house mouse)","34/2083","85/10650",0.4,2.04512722035526,4.770111561824,1.04620428257647e-05,0.00017237461036736,9.75408504056253e-05,"66355/27369/80914/12495/56248/18950/11717/22271/22436/66588/18102/23959/68556/18103/23917/209558/72269/66566/109674/11639/11821/66422/18605/22171/78801/20135/229665/12496/50773/55936/110074/20133/13178/210808",34
"Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal - Mus musculus (house mouse)","56/2083","167/10650",0.335329341317365,1.71447790927986,4.58869205356792,1.26112824396001e-05,0.000198341078368256,0.00011223437960601,"66922/226421/12633/13033/13030/18412/56486/18518/69635/17532/11652/74781/27103/74769/26419/19349/218035/213948/228545/17274/71648/15251/108079/67727/57436/100502841/217695/12048/74498/52639/225326/20130/12043/18749/72145/329015/26420/18710/12176/16438/66795/245860/641340/170749/78610/100504663/64930/269338/73683/100502698/105787/242557/17966/21353/77573/16653",56
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease - Mus musculus (house mouse)","49/2083","141/10650",0.347517730496454,1.77679492548595,4.57846506953351,1.4753176486392e-05,0.00022193908975181,0.000125587680845259,"330122/11522/20310/16176/12475/11529/21926/12443/20250/11669/14825/11364/20462/26397/12273/19697/56458/21415/21937/14102/18035/64898/11652/56489/26419/12266/21416/14104/12370/19079/108079/11370/71609/21898/20787/64899/266632/16151/26420/19094/12367/11671/107476/108099/22031/117149/26400/105787/16172",49
