"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","71/2229","149/10650",0.476510067114094,2.27673046871472,8.07429554323771,2.3137358703907e-13,8.02866347025574e-11,4.16472456670326e-11,"16176/14859/14858/70405/21926/13057/66447/20969/22218/13614/14281/14860/20971/17970/17969/16175/15368/14873/18412/18024/11465/18791/26398/12314/19354/20296/21937/16476/19697/14863/16800/103140/16399/14862/11652/12390/56615/16178/14872/211666/11477/14870/22027/16177/22329/15894/170758/14857/14733/18613/26420/16598/108079/18591/68214/12043/16151/22339/19252/63873/14871/105787/74769/17258/26408/23797/12315/59004/18709/18708/16410",71
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis - Mus musculus (house mouse)","65/2229","136/10650",0.477941176470588,2.28356820520941,7.75054126286537,2.0141749806821e-12,3.49459359148345e-10,1.81275748261389e-10,"12045/21926/64138/12334/22029/12047/12333/14281/12125/11911/12044/12983/12633/13030/11465/18035/14102/19249/12028/21937/16476/17873/19697/11796/328417/18049/13032/12364/13033/235587/16440/229445/13063/11652/11799/16439/16438/11783/58801/26420/11545/56464/16188/13040/12122/12370/17210/13347/23882/12043/16151/12048/12367/13804/13198/21933/110157/74769/12371/26408/23797/18709/18708/16906/11546",65
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway - Mus musculus (house mouse)","41/2229","75/10650",0.546666666666667,2.61193360251234,7.20717730722312,1.28480954284373e-10,1.48609637122258e-08,7.70885725706238e-09,"12443/20724/16009/21825/12521/230784/12452/382985/64058/55948/12575/14102/12028/333654/17873/53892/13063/12534/268697/98376/12649/11783/58801/12122/12370/140742/20135/13663/12447/23882/12043/12048/12448/18787/12367/21933/12371/68428/12445/12571/107986",41
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection - Mus musculus (house mouse)","96/2229","253/10650",0.379446640316206,1.81296846988227,6.73298357404679,2.71642492263849e-10,2.18133126567462e-08,1.1315263049609e-08,"16176/12475/216799/21926/18479/17920/100041194/226421/140580/67117/19264/12363/170625/14281/19878/16573/227613/11845/67938/66395/67268/76709/12306/20194/14433/11465/18035/26397/26398/12028/11867/21937/232943/16476/19697/66824/11796/72318/50884/68724/69654/74192/74568/22152/56444/13191/16173/56044/22428/21415/16593/13063/56443/80837/18704/11652/105855/73710/218035/19349/16649/213575/228545/22027/26420/170760/18481/192176/16193/100310872/21898/12370/107607/53413/225326/12043/16151/74764/70297/12367/24088/20130/22154/21933/269338/110157/74769/20336/17281/17113/56382/266632/622434/77573/23797/100040563",96
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer - Mus musculus (house mouse)","47/2229","94/10650",0.5,2.38896366083446,6.95877402385374,3.38954600288708e-10,2.18133126567462e-08,1.1315263049609e-08,"12443/16403/22029/16774/12575/18035/16777/16782/12028/12826/12827/17873/19697/11796/14198/14268/16399/19225/13063/11652/16775/22032/218772/16780/22033/22031/11783/54124/16398/12830/16776/12447/23882/12043/16151/12048/12448/12367/13555/74769/12371/12571/23797/18709/107986/18708/16410",47
NA,NA,"mmu04518","Integrin signaling - Mus musculus (house mouse)","66/2229","153/10650",0.431372549019608,2.06106668777875,6.8011665621338,3.77175434986966e-10,2.18133126567462e-08,1.1315263049609e-08,"20750/109711/108101/12443/241639/12550/16403/13649/21825/16774/17295/60595/21923/16414/11465/16777/16782/231470/12826/19354/12827/242022/16409/12266/14268/16399/56637/14118/11652/16775/16402/17974/16780/286940/21828/192897/218952/22329/15894/170758/16419/114249/110829/18591/18596/12842/192176/16398/12830/18595/16776/12843/21803/109700/12833/12834/12835/22339/74769/19303/12445/21894/23797/18709/18708/16410",66
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome - Mus musculus (house mouse)","60/2229","136/10650",0.441176470588235,2.10790911250099,6.68986288153077,8.13096887222584e-10,3.46095587993666e-08,1.79530852561556e-08,"64138/11782/15212/12512/74325/17775/53599/13030/11984/16792/56722/18173/52120/114143/13032/13033/20661/235380/229445/11605/76943/11767/252903/27060/12752/211286/214505/18010/432486/11881/56464/15931/27426/13040/104082/21871/11593/108012/13423/211329/74105/11777/12091/58911/11305/114128/11432/16889/110006/12514/108011/83429/17113/12492/11972/11769/66848/11766/16004/17159",60
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","51/2229","108/10650",0.472222222222222,2.25624345745476,6.7507464830794,8.24968279395201e-10,3.46095587993666e-08,1.79530852561556e-08,"330122/16176/20310/12475/109711/21926/11847/226421/16774/14825/60595/12825/16414/15507/16777/16782/12826/12827/19697/16409/14268/21808/20723/16775/20719/18797/20708/16178/19349/18477/16780/16177/14675/18795/16153/14672/12842/16193/12830/14676/21898/18749/16776/12843/21803/12367/24088/74769/11846/18709/18708",51
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism - Mus musculus (house mouse)","39/2229","73/10650",0.534246575342466,2.55259130883681,6.84801878010392,8.97654262807779e-10,3.46095587993666e-08,1.79530852561556e-08,"14859/14858/14768/66447/54486/69065/625249/382985/14860/14782/18263/11758/14873/14776/14863/76263/103140/14630/14862/56615/110208/14872/211666/14870/20603/67305/269951/14857/66988/16790/66073/69590/20135/110175/68044/68214/20810/14629/14871",39
"Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance - Mus musculus (house mouse)","41/2229","81/10650",0.506172839506173,2.41845703936328,6.59279180776901,2.833133143136e-09,9.83097200668192e-08,5.0996396576448e-08,"14859/14858/66447/14860/12575/14873/14102/12028/11796/14863/103140/14862/13063/11652/17685/56615/21973/14872/11799/211666/14870/12189/11783/58801/14857/11977/22590/12122/17686/12370/68214/12043/12048/12367/14871/74769/12371/26408/23797/18709/18708",41
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway - Mus musculus (house mouse)","53/2229","118/10650",0.449152542372881,2.14601820380044,6.44027939775265,3.62596849538498e-09,1.14382824354417e-07,5.93340299244815e-08,"330122/16176/20310/20311/17392/21926/21938/22029/13614/14825/14281/12051/11911/12633/18035/14102/26397/26398/20296/21937/16476/19697/11796/12977/74568/19225/21929/11652/13650/16362/20312/22033/22031/22329/15894/231991/257632/26420/12608/16193/16182/12370/16151/12915/12367/217344/72542/11909/74769/26408/23797/18709/18708",53
"Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction - Mus musculus (house mouse)","68/2229","170/10650",0.4,1.91117092866756,6.16128486002174,9.39431418441174e-09,2.71652251832573e-07,1.40914712766176e-07,"17698/109711/71960/12443/224912/18260/16456/21873/17356/18759/21872/21844/70497/56449/60595/54357/19878/53624/71978/67938/12740/67268/235442/76709/11465/58220/83814/93742/11867/17999/70737/93737/16476/76089/12695/15163/19052/51792/27375/74192/16800/19079/239931/23859/56443/26401/217325/12394/26420/108079/218518/105782/12638/73608/72065/17475/104027/14924/18749/12289/74094/68328/71908/105787/17274/52432/26408/108097",68
