"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"mmu04382","Cornified envelope formation - Mus musculus (house mouse)","41/432","223/10650",0.183856502242152,4.53257349277529,10.9616842551507,1.7932713152562e-16,5.63087192990446e-14,4.39823385741783e-14,"268482/20753/16688/16664/16666/16665/16687/110308/545548/67860/20758/19041/94179/16669/66166/71932/20194/20754/386463/74127/20763/16682/71908/21816/332131/19143/76560/545975/12333/225256/20762/83603/110310/12827/13510/74591/12826/71913/109052/20198/13850",41
"Human Diseases","Infectious disease: parasitic","mmu05143","African trypanosomiasis - Mus musculus (house mouse)","11/432","39/10650",0.282051282051282,6.95334757834758,7.65823560057146,2.58306211679087e-07,4.05540752336167e-05,3.16764985901196e-05,"100503605/16173/110257/15122/21926/16193/101488143/22329/18795/16775/16153",11
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450 - Mus musculus (house mouse)","14/432","76/10650",0.184210526315789,4.54130116959064,6.37035072904082,1.81601190396623e-06,0.000111925518413837,8.74242232330676e-05,"14873/12409/66447/14860/11522/11670/11529/621603/13849/103140/13078/76263/14857/14859",14
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","15/432","87/10650",0.172413793103448,4.25047892720307,6.25931314158949,1.87100048067205e-06,0.000111925518413837,8.74242232330676e-05,"17392/13039/16173/20310/20302/21926/16193/20296/11433/16476/16414/13038/20311/14825/83430",15
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","14/432","77/10650",0.181818181818182,4.48232323232323,6.30563262415641,2.13870417351281e-06,0.000111925518413837,8.74242232330676e-05,"70405/21926/26415/16193/16409/216799/12258/16476/16414/50909/50908/20311/16153/83430",14
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","14/432","77/10650",0.181818181818182,4.48232323232323,6.30563262415641,2.13870417351281e-06,0.000111925518413837,8.74242232330676e-05,"100503605/16173/110257/15122/21926/16193/101488143/20296/22329/21826/16414/16153/15529/12985",14
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","15/432","95/10650",0.157894736842105,3.89254385964912,5.8227209114128,5.82631081777062e-06,0.000261351656682854,0.000204139912863241,"57266/20303/57349/16173/20310/20302/12771/21926/16193/20296/20306/24047/20311/16153/14825",15
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","19/432","149/10650",0.12751677852349,3.1436428038777,5.41805691801985,8.96259982801584e-06,0.000351782043249622,0.000274774442095749,"14873/13039/70405/66447/11465/14860/21926/26415/20296/22329/16598/16476/17969/16177/103140/15529/14857/14859/11898",19
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","15/432","108/10650",0.138888888888889,3.42399691358025,5.20589940750229,2.8521167728239e-05,0.000995071851851893,0.00077724351820815,"11846/20310/21926/16193/16409/12827/12826/14268/18795/16414/16775/20248/16177/16153/14825",15
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)","14/432","98/10650",0.142857142857143,3.5218253968254,5.15672531646355,3.81538160766337e-05,0.0011980298248063,0.000935772541669017,"17392/20310/21926/26415/16193/20296/20306/16819/19225/16476/20311/14825/56489/12985",14
