"celltype","MG53 WT Uninjured","MG53 WT Injured","MG53 KO Uninjured","MG53 KO Injured"
"Corneal epithelial cells",5380,406,4177,933
"Corneal basal epithelial cells",29,466,24,756
"Transient amplifying cells (TACs)",686,795,562,803
"Limbal stem cells (LSCs)",299,296,332,361
"Conjunctival epithelial cells",263,100,257,323
"Conjunctival basal epithelial cells",168,343,170,403
"Keratocytes",209,266,137,179
"Fibroblasts",205,462,170,374
"Myofibroblasts",22,53,21,28
"Endothelial cells",10,55,17,27
"Schwann cells",5,72,10,49
"Immune cells",21,1877,19,1785
