"celltype","MG53 WT Uninjured","MG53 WT Injured","MG53 KO Uninjured","MG53 KO Injured"
"Corneal epithelial cells",73.73,7.82,70.84,15.5
"Corneal basal epithelial cells",0.4,8.98,0.41,12.56
"Transient amplifying cells (TACs)",9.4,15.31,9.53,13.34
"Limbal stem cells (LSCs)",4.1,5.7,5.63,6
"Conjunctival epithelial cells",3.6,1.93,4.36,5.36
"Conjunctival basal epithelial cells",2.3,6.61,2.88,6.69
"Keratocytes",2.86,5.12,2.32,2.97
"Fibroblasts",2.81,8.9,2.88,6.21
"Myofibroblasts",0.3,1.02,0.36,0.47
"Endothelial cells",0.14,1.06,0.29,0.45
"Schwann cells",0.07,1.39,0.17,0.81
"Immune cells",0.29,36.16,0.32,29.65
