"cluster","celltype"
"0","Corneal epithelial cells"
"1","Transient amplifying cells (TACs)"
"2","Corneal epithelial cells"
"3","Corneal epithelial cells"
"4","Corneal epithelial cells"
"5","Corneal epithelial cells"
"6","Immune cells"
"7","Immune cells"
"8","Limbal stem cells (LSCs)"
"9","Corneal epithelial cells"
"10","Conjunctival basal epithelial cells"
"11","Conjunctival epithelial cells"
"12","Keratocytes"
"13","Corneal basal epithelial cells"
"14","Fibroblasts"
"15","Immune cells"
"16","Corneal basal epithelial cells"
"17","Transient amplifying cells (TACs)"
"18","Fibroblasts"
"19","Fibroblasts"
"20","Schwann cells"
"21","Myofibroblasts"
"22","Endothelial cells"
"23","Immune cells"
"24","Immune cells"
"25","Unknown"
